Description,Category
"DEP4E integrates DocBook XML and DocBook XSL into Eclipse IDE to create, edit and process DocBook projects.DEP4E integrates DocBook XML and DocBook XSL into Eclipse IDE to create, edit and process DocBook projects.","Categories
DocBook, Build Tools, Documentation"
A radius protocol application is running on Windows platform. now the code of this application is copyed from freeradius 2.1.12 and be edited to fit the VS 2010.A radius protocol application is running on Windows platform. now the code of this application is copyed from freeradius 2.1.12 and be edited to fit the VS 2010.,"Categories
Data Formats"
"Use this suite of Application Programming Interface (API) platforms to share web content across multiple channels. Mobile and tablet applications, widgets, and web pages may use the APIs to deliver and update content. The APIs allow content reuse and reduce development costs and product time-to-market. The APIs are available as .NET or Java instances. For more information, see the ReadMe.txt file in the downloadable zip archive.

The Centers for Disease Control and Prevention (CDC) and the Department of Health and Human Services (HHS) Assistant Secretary for Public Affairs office (ASPA) developed these APIs in collaboration with the Food and Drug Administration’s (FDA) Center for Tobacco Products (CTP).

The CDC, FDA/CTP, HHS/ASPA, and the National Institute of Health’s National Institute for Allergy and Infectious Diseases (NIH/NIAID) use these platforms.

https://syndication.hhs.gov
http://tools.cdc.gov
http://tools.niaid.nih.gov
http://tools.fda.govUse this suite of Application Programming Interface (API) platforms to share web content across multiple channels. Mobile and tablet applications, widgets, and web pages may use the APIs to deliver and update content. The APIs allow content reuse and reduce development costs and product time-to-market. The APIs are available as .NET or Java instances. For more information, see the ReadMe.txt file in the downloadable zip archive.

The Centers for Disease Control and Prevention (CDC) and the Department of Health and Human Services (HHS) Assistant Secretary for Public Affairs office (ASPA) developed these APIs in collaboration with the Food and Drug Administration’s (FDA) Center for Tobacco Products (CTP).

The CDC, FDA/CTP, HHS/ASPA, and the National Institute of Health’s National Institute for Allergy and Infectious Diseases (NIH/NIAID) use these platforms.

https://syndication.hhs.gov
http://tools.cdc.gov
http://tools.niaid.nih.gov
http://tools.fda.gov","Categories
RSS, Medical, Multimedia"
htmldom parses the HTML file and provides methods for iterating and searching the parse tree in a similar way as Jquery. To report bugs please mail me at bhimsen.pes@gmail.comhtmldom parses the HTML file and provides methods for iterating and searching the parse tree in a similar way as Jquery. To report bugs please mail me at bhimsen.pes@gmail.com,"Categories
HTML/XHTML, Internet, Libraries"
"TinyREST allows a Java programmer to easily create a REST server without having to install a J2EE server. Creating a new server is as easy as copying the service jar, setting up a configuration file and writing your own service handler class. The resulting project can be made to start up as a service.

Annotations can now be used to write handler class and methods.

JDBC database access as well as file system access is allowed from the service.TinyREST allows a Java programmer to easily create a REST server without having to install a J2EE server. Creating a new server is as easy as copying the service jar, setting up a configuration file and writing your own service handler class. The resulting project can be made to start up as a service.

Annotations can now be used to write handler class and methods.

JDBC database access as well as file system access is allowed from the service.","Categories
HTTP Servers, Web Services, Application Servers"
"Java application for creating graphs, with a simple and intuitive interface. Obtaining LaTeX code for designed graph is a single-click operation. Allows creating less and more complicated graphs for LaTeX documents without any knowledge about TikZ library.

The program lets you design and edit vertices, edges and labels to your liking thanks to a wide range of variants adequate to TikZ library.

GraTeX incorporates common editing mechanisms like saving/loading projects, undo-redo & copy-paste operations, and many other useful features.

The application has been developed by two students of University of Science and Technology in Krakow, Poland.Java application for creating graphs, with a simple and intuitive interface. Obtaining LaTeX code for designed graph is a single-click operation. Allows creating less and more complicated graphs for LaTeX documents without any knowledge about TikZ library.

The program lets you design and edit vertices, edges and labels to your liking thanks to a wide range of variants adequate to TikZ library.

GraTeX incorporates common editing mechanisms like saving/loading projects, undo-redo & copy-paste operations, and many other useful features.

The application has been developed by two students of University of Science and Technology in Krakow, Poland.","Categories
TeX/LaTeX"
"enc2ly is a small tool to dump musical information contained in an Encore binary file to a Lilypond text one. Encore is a popular music notation program from GVOX, which uses a proprietary data format.enc2ly is a small tool to dump musical information contained in an Encore binary file to a Lilypond text one. Encore is a popular music notation program from GVOX, which uses a proprietary data format.","Categories
Data Formats"
"Restful Web Service adapter for the NextBus prediction and transit network reporting service. This implementation uses XSD Schema, JAXB and a domain object model to decouple the consuming application from the over-the-wire representation of the data. NextBus is currently providing real-time bus data in several major metro transit agencies including, but not limited to MBTA (Boston), Toronto, Seattle, Brooklyn, Staten Island as well as a number of University towns. In additional to the standalone Adapter, an Enterprise Service Bus pump and demonstration subscription client are available for those interested in Asynchronous integration of the transit feed.Restful Web Service adapter for the NextBus prediction and transit network reporting service. This implementation uses XSD Schema, JAXB and a domain object model to decouple the consuming application from the over-the-wire representation of the data. NextBus is currently providing real-time bus data in several major metro transit agencies including, but not limited to MBTA (Boston), Toronto, Seattle, Brooklyn, Staten Island as well as a number of University towns. In additional to the standalone Adapter, an Enterprise Service Bus pump and demonstration subscription client are available for those interested in Asynchronous integration of the transit feed.","Categories
XML, XML-RPC, Libraries"
"Specialized tool for PostProcessors of books produced by Project Gutenberg Distributed Proofreaders.
Parses the markup structure of a project file out of the formatting rounds; reports about the text structure found, and identifies markup errors.
Planned future features: generation of normalized dp output by rejoining split paragraphs and moving around footnotes, renumbering of pages; conversion to basic LaTeX and basic HTML markup for further processing.Specialized tool for PostProcessors of books produced by Project Gutenberg Distributed Proofreaders.
Parses the markup structure of a project file out of the formatting rounds; reports about the text structure found, and identifies markup errors.
Planned future features: generation of normalized dp output by rejoining split paragraphs and moving around footnotes, renumbering of pages; conversion to basic LaTeX and basic HTML markup for further processing.","Categories
HTML/XHTML, TeX/LaTeX"
"This is my first Project originally named ""CoLiBro"". It is a C-HTTP and HTML Wrapper to process webdata automatically.

Some examples are:
- Receive website to check if it is up
- Download your personal data from eg. Online-Banking, Bills, ...
- Process data contained in websites eg. weather data
- Receive mass of data, especially to crawl a website?
- ...

Examples and API Documentation plannedThis is my first Project originally named ""CoLiBro"". It is a C-HTTP and HTML Wrapper to process webdata automatically.

Some examples are:
- Receive website to check if it is up
- Download your personal data from eg. Online-Banking, Bills, ...
- Process data contained in websites eg. weather data
- Receive mass of data, especially to crawl a website?
- ...

Examples and API Documentation planned","Categories
Browsers, Dynamic Content, Web Services"
