Description,Category
"BrewBlogger is a easy to set up, easy to use, web-based beer homebrewing log. It is a PHP/MySQL-based system that provides today's brewer not only an easy way to record their beer brewing activities, but also blog-like forum to share their efforts.BrewBlogger is a easy to set up, easy to use, web-based beer homebrewing log. It is a PHP/MySQL-based system that provides today's brewer not only an easy way to record their beer brewing activities, but also blog-like forum to share their efforts.","Categories
Communications, Games/Entertainment, Dynamic Content"
Emu10k1 sound driverEmu10k1 sound driver,"Categories
File Sharing, Hardware Drivers"
"AppKonference , a high-performance Asterisk conferencing module, is a fork of AppConference focused on voice.AppKonference , a high-performance Asterisk conferencing module, is a fork of AppConference focused on voice.","Categories
Conferencing, Telephony"
"Development of CRG is now in

https://www.facebook.com/groups/126006504596245 (This is for DEVELOPERS). For Users, use the normal Derby Scoreboard group

https://www.facebook.com/groups/derbyscoreboard/Development of CRG is now in

https://www.facebook.com/groups/126006504596245 (This is for DEVELOPERS). For Users, use the normal Derby Scoreboard group

https://www.facebook.com/groups/derbyscoreboard/","Categories
Chat, Other/Nonlisted Topic, Sports Games"
"Acarsdec is an open source, multi-channels realtime ACARS decoder for Linux.

It features :
- up to four channels decoded simultaneously
- error detection AND correction
- input from sound file , alsa sound card or software defined radio (SRD) via a rtl dongle (http://sdr.osmocom.org/trac/wiki/rtl-sdr) or airspy (http://www.airspy.com)
- could send decoded acars to a server via UDP in planeploter format or its own dedicated format.

The 4 channels decoding is particularly useful with the rtl dongle. It allows to directly listen simultaneously to 4 different frequencies , with a very low cost hardware.

Since version 3.0, acarsdec comes with acarsserv : a database backend program to store received acars messages.Acarsdec is an open source, multi-channels realtime ACARS decoder for Linux.

It features :
- up to four channels decoded simultaneously
- error detection AND correction
- input from sound file , alsa sound card or software defined radio (SRD) via a rtl dongle (http://sdr.osmocom.org/trac/wiki/rtl-sdr) or airspy (http://www.airspy.com)
- could send decoded acars to a server via UDP in planeploter format or its own dedicated format.

The 4 channels decoding is particularly useful with the rtl dongle. It allows to directly listen simultaneously to 4 different frequencies , with a very low cost hardware.

Since version 3.0, acarsdec comes with acarsserv : a database backend program to store received acars messages.","Categories
Ham Radio"
"ANts P2P realizes a third generation P2P net. It protects your privacy while you are connected and makes you not trackable, hiding your identity (ip) and crypting everything you are sending/receiving from others.ANts P2P realizes a third generation P2P net. It protects your privacy while you are connected and makes you not trackable, hiding your identity (ip) and crypting everything you are sending/receiving from others.","Categories
File Sharing, Security, Intelligent Agents"
"Plugin for ChatZilla which monitors torrent IRC announce channels, downloads torrent files based on a user-defined filter, and then sends the torrent files to a local or remote torrent client. Supports several different private trackers.Plugin for ChatZilla which monitors torrent IRC announce channels, downloads torrent files based on a user-defined filter, and then sends the torrent files to a local or remote torrent client. Supports several different private trackers.","Categories
IRC Clients, BitTorrent"
What is t38modem? From your application view point it's a fax/voice modem pool. From IP network view point it's a H.323/SIP endpoint with T.38 fax support. From your view point it's a gateway between an application and IP network. Works with HylaFAX.What is t38modem? From your application view point it's a fax/voice modem pool. From IP network view point it's a H.323/SIP endpoint with T.38 fax support. From your view point it's a gateway between an application and IP network. Works with HylaFAX.,"Categories
Fax, VoIP"
"Unofficial fork of the GyachE (www.phrozensmoke.com), intended for bug-fixes and further development.Unofficial fork of the GyachE (www.phrozensmoke.com), intended for bug-fixes and further development.","Categories
Chat, Conferencing, Speech"
"Vuze (formerly Azureus) is an extremely powerful and configurable BitTorrent client. Search and download torrent files. Play, convert and transcode videos and music for playing on many devices such as PSP, TiVo, XBox, PS3, iTunes (iPhone, iPod, Apple TV).Vuze (formerly Azureus) is an extremely powerful and configurable BitTorrent client. Search and download torrent files. Play, convert and transcode videos and music for playing on many devices such as PSP, TiVo, XBox, PS3, iTunes (iPhone, iPod, Apple TV).","Categories
BitTorrent, Internet"
"MsgViewer is email-viewer utility for .msg e-mail messages, implemented in pure Java. MsgViewer works on Windows/Linux/Mac Platforms. Also provides a java api to read mail messges (msg files) programmatically.MsgViewer is email-viewer utility for .msg e-mail messages, implemented in pure Java. MsgViewer works on Windows/Linux/Mac Platforms. Also provides a java api to read mail messges (msg files) programmatically.","Categories
Data Formats, Email"
eMule Morph Mod - eMule Modding ProjecteMule Morph Mod - eMule Modding Project,"Categories
File Sharing"
MLDonkey is a multi-platform multi-network peer-to-peer client.MLDonkey is a multi-platform multi-network peer-to-peer client.,"Categories
File Sharing, File Transfer Protocol (FTP)"
"VideoWhisper Video Conference is a modern web based multiple way video chat and real time file sharing tool. It can be used stand alone or integrated as extra feature to existing sites.

Homepage: https://videowhisper.com/?p=PHP+Video+Conference
Demo: https://www.videowhisper.com/demos/conference/

Video Conference key features
+ many to many 2 way video chat
+ 3 default video panels
+ unlimited extra video panels
+ user list with online participants
+ room list with avatars
+ file sharing
+ private messaging
+ profile picture , info and link
+ push to talk
+ P2P group streaming support
+ codec setup (H264, Speex, NellyMoser)
+ acoustic echo cancellation
+ session timer and control with scripts
+ 100% web based for clients

PHP Video Conference Edition:
+ Webcam Video Conferencing Rooms
+ Create Private Rooms
+ Simple Setup
+ Easy to Install
+ Full PHP Source Code
+ Easy to Integrate
+ Profile Picture and Avatar from Webcam SnapshotVideoWhisper Video Conference is a modern web based multiple way video chat and real time file sharing tool. It can be used stand alone or integrated as extra feature to existing sites.

Homepage: https://videowhisper.com/?p=PHP+Video+Conference
Demo: https://www.videowhisper.com/demos/conference/

Video Conference key features
+ many to many 2 way video chat
+ 3 default video panels
+ unlimited extra video panels
+ user list with online participants
+ room list with avatars
+ file sharing
+ private messaging
+ profile picture , info and link
+ push to talk
+ P2P group streaming support
+ codec setup (H264, Speex, NellyMoser)
+ acoustic echo cancellation
+ session timer and control with scripts
+ 100% web based for clients

PHP Video Conference Edition:
+ Webcam Video Conferencing Rooms
+ Create Private Rooms
+ Simple Setup
+ Easy to Install
+ Full PHP Source Code
+ Easy to Integrate
+ Profile Picture and Avatar from Webcam Snapshot","Categories
Communications, Web Conferencing, Video Conferencing"
"This email notifier sits in your system tray and pops up a notification when new messages arrive. Preview your email before downloading it to your mail client or launching webmail applications. Create rules to delete or change the priority of messages.

This program builds upon the open source PopTray mail notifier adding many new features including Windows Vista/7/8/10 support, UTF-8 and unicode support, HTML Preview, IMAP support, TLS & SASL support, etc.This email notifier sits in your system tray and pops up a notification when new messages arrive. Preview your email before downloading it to your mail client or launching webmail applications. Create rules to delete or change the priority of messages.

This program builds upon the open source PopTray mail notifier adding many new features including Windows Vista/7/8/10 support, UTF-8 and unicode support, HTML Preview, IMAP support, TLS & SASL support, etc.","Categories
Email Clients"
"Send SMTP email silently from command line (CLI), or a batch file using Exchange, Gmail, Hotmail, or Yahoo! Plus.

Supports XML settings files, variables, or all settings explicitly from the command line.

Now supporting Exit Codes for batch file use (will return ""0"" for successful delivery, or ""1"" for error delivering) - handle your batch file accordingly.Send SMTP email silently from command line (CLI), or a batch file using Exchange, Gmail, Hotmail, or Yahoo! Plus.

Supports XML settings files, variables, or all settings explicitly from the command line.

Now supporting Exit Codes for batch file use (will return ""0"" for successful delivery, or ""1"" for error delivering) - handle your batch file accordingly.","Categories
POP3, Communications, Email"
"FAXCOVER SUPPORT AVAILABLE! START INSTALLER TO LEARN MORE.
Enhanced version of Winprint HylaFAX. Fully supports Vista / 7 / 8 /10 and 64 bit systems. Can send multiple documents as a single fax. Supports multiple recipients and delayed send. Can read fax numbers from Extended MAPI (Outlook) and ODBC sources. Multilanguage. Terminal Services compliant. NOTE: this is NOT a standalone faxing program. It requires HylaFAX to do its work.FAXCOVER SUPPORT AVAILABLE! START INSTALLER TO LEARN MORE.
Enhanced version of Winprint HylaFAX. Fully supports Vista / 7 / 8 /10 and 64 bit systems. Can send multiple documents as a single fax. Supports multiple recipients and delayed send. Can read fax numbers from Extended MAPI (Outlook) and ODBC sources. Multilanguage. Terminal Services compliant. NOTE: this is NOT a standalone faxing program. It requires HylaFAX to do its work.","Categories
Fax"
Complete mail business rules processor and MTA. Also provides antivirus (ClamAV) and anti spam (Spamassassin) solutions. Based in Java and OSGI with Spring DM and MySQL data base for statistics. Can be easily extended.Complete mail business rules processor and MTA. Also provides antivirus (ClamAV) and anti spam (Spamassassin) solutions. Based in Java and OSGI with Spring DM and MySQL data base for statistics. Can be easily extended.,"Categories
Email, Enterprise"
"Audio toolkit for streaming, aiming at complex Internet radio systems. Our stream generator is highly extensible and flexible. Script based, it can be a fully automatic daemon streamer, but is also used for live shows with an user-friendly GUI.Audio toolkit for streaming, aiming at complex Internet radio systems. Our stream generator is highly extensible and flexible. Script based, it can be a fully automatic daemon streamer, but is also used for live shows with an user-friendly GUI.","Categories
Streaming, Video, Sound/Audio"
A Note is faulty. Do not use it any more! It will do more bad than good. Your notes may just disappear.A Note is faulty. Do not use it any more! It will do more bad than good. Your notes may just disappear.,"Categories
Office/Business, Desktop Environment, File Sync"
"The FNET is a free, open source, dual TCP/IPv4 and IPv6 Stack (under Apache Version 2.0 license) for building embedded communication software on 32bit MCUs.The FNET is a free, open source, dual TCP/IPv4 and IPv6 Stack (under Apache Version 2.0 license) for building embedded communication software on 32bit MCUs.","Categories
Communications, Internet"
"Apple Disk Transfer ProDOS (ADTPro) transfers classic 8-bit Apple disk images over a serial, ethernet or audio link to a more modern computer. Based on the seminal ADT, ADTPro can transfer any ProDOS- or SOS-visible volume.Apple Disk Transfer ProDOS (ADTPro) transfers classic 8-bit Apple disk images over a serial, ethernet or audio link to a more modern computer. Based on the seminal ADT, ADTPro can transfer any ProDOS- or SOS-visible volume.","Categories
Communications, Emulators"
"Vem ai o Disc-OS 3.0 Aguardem..
Estamos Voltando!
Modificações:
Asterisk 17
Nova Interface UI
Centos 8
Nodejs
Disc-OS é uma distribuição de um PABX IP baseado em software livre. Desenvolvido para o mercado brasileiro com interfaces em português, de fácil instalação e configuração, contendo Linux customizado, software Asterisk 1.4 e configurador Disc.Vem ai o Disc-OS 3.0 Aguardem..
Estamos Voltando!
Modificações:
Asterisk 17
Nova Interface UI
Centos 8
Nodejs
Disc-OS é uma distribuição de um PABX IP baseado em software livre. Desenvolvido para o mercado brasileiro com interfaces em português, de fácil instalação e configuração, contendo Linux customizado, software Asterisk 1.4 e configurador Disc.","Categories
Internet Phone, VoIP"
"Asterisk Monitor is a HTML interface that acts a operator pannel for asterisk to display user/peer status and calls. This uses a reverse AJAX, PHP and Python to originate, transfer and hangup calls, manage queues and meetme rooms.Asterisk Monitor is a HTML interface that acts a operator pannel for asterisk to display user/peer status and calls. This uses a reverse AJAX, PHP and Python to originate, transfer and hangup calls, manage queues and meetme rooms.","Categories
VoIP"
"OpenSIPS (former OpenSER) is an GPL implementation of a multi-functionality SIP Server that targets to deliver a high-level technical solution (performance, security and quality) to be used in professional SIP server platforms.

IMPORTANT: this is no longer the main hosting for the project. This was moved on GITHUB - https://github.com/OpenSIPS/opensipsOpenSIPS (former OpenSER) is an GPL implementation of a multi-functionality SIP Server that targets to deliver a high-level technical solution (performance, security and quality) to be used in professional SIP server platforms.

IMPORTANT: this is no longer the main hosting for the project. This was moved on GITHUB - https://github.com/OpenSIPS/opensips","Categories
VoIP, SIP Servers"
"This ASN.1 compiler turns ASN.1 specifications into C code. The asn1c is shipped together with conformant BER/DER/XER/PER codecs. The X.509, GSM TAP3, MEGACO, RRC and LDAP encoding and decoding examples are part of the source code distribution.

NOTE: THE asn1c PROJECT HAS LARGELY MOVED TO GITHUB: http://github.com/vlm/asn1cThis ASN.1 compiler turns ASN.1 specifications into C code. The asn1c is shipped together with conformant BER/DER/XER/PER codecs. The X.509, GSM TAP3, MEGACO, RRC and LDAP encoding and decoding examples are part of the source code distribution.

NOTE: THE asn1c PROJECT HAS LARGELY MOVED TO GITHUB: http://github.com/vlm/asn1c","Categories
Telephony, Cryptography, Code Generators, Compilers, Networking, Interface Engine/Protocol Translator"
"A cross-platform ANSI-BBS terminal designed to connect to remote BBSs via telnet, rlogin, or SSH. Supports ANSI music and the IBM charset when possible. Will run from a console, under X11 using XLib, or using SDL.A cross-platform ANSI-BBS terminal designed to connect to remote BBSs via telnet, rlogin, or SSH. Supports ANSI music and the IBM charset when possible. Will run from a console, under X11 using XLib, or using SDL.","Categories
Telnet, BBS, SSH"
"JMSN is a pure Java Microsoft MSN Messenger clone, including Instant messaging, File Send/Receive, msnlib (for developers), and additional chat log etc. JMSN has many interesting features that MSN doesn't have.JMSN is a pure Java Microsoft MSN Messenger clone, including Instant messaging, File Send/Receive, msnlib (for developers), and additional chat log etc. JMSN has many interesting features that MSN doesn't have.","Categories
Chat"
"MathJax is a modular javascript framework for including mathematics in web pages. It can take input in various formats, like TeX and MathML, and can produce output in various forms, such as MathML or HTML-with-CSS. Components are loaded as needed.MathJax is a modular javascript framework for including mathematics in web pages. It can take input in various formats, like TeX and MathML, and can produce output in various forms, such as MathML or HTML-with-CSS. Components are loaded as needed.","Categories
BBS, Message Board, Mathematics, Computer Aided Instruction (CAI), Blogging, Wiki"
"Convert text to International Morse Code. Input is ASCII text. Output can be: - . -..- - on the console, raw 8bit PCM suitable for piping to /dev/audio, .wav files or even (mp3|ogg). Good for headlines on your MP3 player or code practice.Convert text to International Morse Code. Input is ASCII text. Output can be: - . -..- - on the console, raw 8bit PCM suitable for piping to /dev/audio, .wav files or even (mp3|ogg). Good for headlines on your MP3 player or code practice.","Categories
Ham Radio, Sound Synthesis"
EM stands for enforcement module. It is a security module which create bastion host machine. the process involved reading an XML policy file and translate it into Linux/Unix system call set. the translation process is created by CSG(command set generatorEM stands for enforcement module. It is a security module which create bastion host machine. the process involved reading an XML policy file and translate it into Linux/Unix system call set. the translation process is created by CSG(command set generator,"Categories
Communications, Security"
A graphical notification plugin for the instant message client gaim. Now hosted at http://plugins.guifications.org/tracA graphical notification plugin for the instant message client gaim. Now hosted at http://plugins.guifications.org/trac,"Categories
AOL Instant Messenger, IRC Clients, ICQ"
Undernet Coder Committee -- ircu developmentUndernet Coder Committee -- ircu development,"Categories
IRC Clients"
The Hamlib project's purpose is to develop flexible and portable shared libraries that offer a standardized API to control any radio oriented equipment through a computer interface.The Hamlib project's purpose is to develop flexible and portable shared libraries that offer a standardized API to control any radio oriented equipment through a computer interface.,"Categories
Ham Radio, Interface Engine/Protocol Translator"
"G4J is a set of API that communicate to GMail. Use this API to login, retrive/search/browse message, download attachment and do others action on GMail account! An email application (Gmailer for java) is included to demonstrate the usage of the API.G4J is a set of API that communicate to GMail. Use this API to login, retrive/search/browse message, download attachment and do others action on GMail account! An email application (Gmailer for java) is included to demonstrate the usage of the API.","Categories
Email Clients"
"PHP app to access Gmail/Googlemail/Gmail-for-Your-Domain accounts on wireless devices. Convenient alternative access method to your email account on the move, gmail-mobile incorporates as many Gmail features as possible within limits of a mobile device.PHP app to access Gmail/Googlemail/Gmail-for-Your-Domain accounts on wireless devices. Convenient alternative access method to your email account on the move, gmail-mobile incorporates as many Gmail features as possible within limits of a mobile device.","Categories
Email Clients, WAP, CGI Scripts"
"The SF repository for all projects on my.gnus.org: Tutorial, FAQ, dotfiles, HowTosThe SF repository for all projects on my.gnus.org: Tutorial, FAQ, dotfiles, HowTos","Categories
Emacs, Usenet News, Email Clients"
"This program allows you to use SSH, TELNET, VNC, FTP and any other Internet application from behind HTTP(HTTPS) and SOCKS(4/5) proxy servers. This ""proxifier"" provides proxy server support to any app.This program allows you to use SSH, TELNET, VNC, FTP and any other Internet application from behind HTTP(HTTPS) and SOCKS(4/5) proxy servers. This ""proxifier"" provides proxy server support to any app.","Categories
Communications, Security, Internet, Proxy Servers"
"TorrentFlux is a PHP front end for bittorrent. Manage all of your Torrent downloads through a convenient web interface from anywhere. Requires Apache with PHP module, MySQL and, BitTornado or BitTorrent source (included).TorrentFlux is a PHP front end for bittorrent. Manage all of your Torrent downloads through a convenient web interface from anywhere. Requires Apache with PHP module, MySQL and, BitTornado or BitTorrent source (included).","Categories
BitTorrent"
"Comgt is a command line tool for controlling, configuring and interacting with Option Wireless 3G and 2G ( HSDPA, UMTS, EDGE, GPRS, GSM) data devices within the Linux environment.Comgt is a command line tool for controlling, configuring and interacting with Option Wireless 3G and 2G ( HSDPA, UMTS, EDGE, GPRS, GSM) data devices within the Linux environment.","Categories
Communications, Wireless, Command Line Tools"
PHP2ICQ is a libary which lets you easily send ICQ Messages from your own php scripts by using a direct connection to the ICQ server via the Oscar protocol (ICQ v7/v8/v9). It is completely written from scratch.PHP2ICQ is a libary which lets you easily send ICQ Messages from your own php scripts by using a direct connection to the ICQ server via the Oscar protocol (ICQ v7/v8/v9). It is completely written from scratch.,"Categories
ICQ, CGI Scripts"
"Paleta de Componentes para as Linguagens Delphi e Lazarus, compatível com Windows e Linux, que permite acesso direto a equipamentos de Automação Comercial, sem DLL's, interagindo com eles direto na porta serial.Paleta de Componentes para as Linguagens Delphi e Lazarus, compatível com Windows e Linux, que permite acesso direto a equipamentos de Automação Comercial, sem DLL's, interagindo com eles direto na porta serial.","Categories
Communications, Office/Business, Frameworks, Hardware Drivers, Interface Engine/Protocol Translator"
"This project is a software oscilloscope for the Universal Software Radio Peripheral. It includes such features as maximum level triggers on any channel, a spectrum analyzer, and more.This project is a software oscilloscope for the Universal Software Radio Peripheral. It includes such features as maximum level triggers on any channel, a spectrum analyzer, and more.","Categories
Communications, Audio Analysis"
"Sshpass is a tool for non-interactivly performing password authentication with SSH's so called ""interactive keyboard password authentication"". Most user should use SSH's more secure public key authentiaction instead.Sshpass is a tool for non-interactivly performing password authentication with SSH's so called ""interactive keyboard password authentication"". Most user should use SSH's more secure public key authentiaction instead.","Categories
Communications"
"OpenDocMan is a web based document management system (DMS) written in PHP designed to comply with ISO 17025 and OIE standard for document management. It features fine grained control of access to files, and automated install and upgrades.OpenDocMan is a web based document management system (DMS) written in PHP designed to comply with ISO 17025 and OIE standard for document management. It features fine grained control of access to files, and automated install and upgrades.","Categories
File Sharing, Content Management Systems (CMS), Knowledge Management, Document Management"
VMukti open source is leading Asterisk/ Yate enabled p2p Video IP Communications Suite for Web / PSTN. These serverless broadband ready platform enable OS community to save 90% on capital & operating costs over proprietary software for conferencing &VMukti open source is leading Asterisk/ Yate enabled p2p Video IP Communications Suite for Web / PSTN. These serverless broadband ready platform enable OS community to save 90% on capital & operating costs over proprietary software for conferencing &,"Categories
Internet Phone, Enterprise, Video"
"Fldigi is a modem program for most of the digital modes used by radio amateurs today: CW, PSK, MFSK, RTTY, Hell, DominoEX, Olivia, and Throb are all supported. It can help calibrate a sound card to a time signal and do frequency measurement tests.

NOTICE: You must proceed to the Files section to locate the correct fldigi, flrig etal download for your particular operating system. Do not blithely use the big green Download button! Use the ""Files"" menu item or the ""Browse All Files"" link.Fldigi is a modem program for most of the digital modes used by radio amateurs today: CW, PSK, MFSK, RTTY, Hell, DominoEX, Olivia, and Throb are all supported. It can help calibrate a sound card to a time signal and do frequency measurement tests.

NOTICE: You must proceed to the Files section to locate the correct fldigi, flrig etal download for your particular operating system. Do not blithely use the big green Download button! Use the ""Files"" menu item or the ""Browse All Files"" link.","Categories
Ham Radio"
OpenNX is an OSS drop-in replacement for Nomachine's nxclient.OpenNX is an OSS drop-in replacement for Nomachine's nxclient.,"Categories
Communications"
"Longing for the good old days of Asterisk@Home? Welcome back to the steroid-enhanced version. PBX in a Flash 3.0 & Incredible PBX 2020/2021/2022/2027 are the latest Lean, Mean Asterisk Machines, high-performance, turnkey Asterisk PBXs that are easy to upgrade. Features include Rocky8, CentOS/SL 7.x, Ubuntu 22.04 & 20.04, Debian 10 and Raspbian 10 support with Asterisk 20/18/16 and FreePBX 16/15 GPL modules. Add-ons include one-click installs of Incredible Fax and many other Asterisk utilities. Visit Nerd Vittles for the latest tutorials.Longing for the good old days of Asterisk@Home? Welcome back to the steroid-enhanced version. PBX in a Flash 3.0 & Incredible PBX 2020/2021/2022/2027 are the latest Lean, Mean Asterisk Machines, high-performance, turnkey Asterisk PBXs that are easy to upgrade. Features include Rocky8, CentOS/SL 7.x, Ubuntu 22.04 & 20.04, Debian 10 and Raspbian 10 support with Asterisk 20/18/16 and FreePBX 16/15 GPL modules. Add-ons include one-click installs of Incredible Fax and many other Asterisk utilities. Visit Nerd Vittles for the latest tutorials.","Categories
PBX"
"goText is a free software for Mobile Phones to send free SMS messages over GPRS/EDGE/UMTS/WiFi connection. It is coded in Java (J2ME) with MIDP 1.0 and CLDC 1.0 profiles, so it can be used an almost any java enabled mobile phone/device!goText is a free software for Mobile Phones to send free SMS messages over GPRS/EDGE/UMTS/WiFi connection. It is coded in Java (J2ME) with MIDP 1.0 and CLDC 1.0 profiles, so it can be used an almost any java enabled mobile phone/device!","Categories
Internet Phone, Mobile"
GTK-based BitTorrent client. You can find Ubuntu packages of Flush at http://bit.ly/cYBYQf. Git repository: http://bit.ly/cdwdPE.GTK-based BitTorrent client. You can find Ubuntu packages of Flush at http://bit.ly/cYBYQf. Git repository: http://bit.ly/cdwdPE.,"Categories
BitTorrent, Internet"
"phpFreeChat is a free, simple to install, fast and customizable chat that uses by default files for message and nickname storage. It uses AJAX to smoothly refresh and display the chat zone and the nickname zone.phpFreeChat is a free, simple to install, fast and customizable chat that uses by default files for message and nickname storage. It uses AJAX to smoothly refresh and display the chat zone and the nickname zone.","Categories
Chat, Dynamic Content"
