Description,Category
"Feb. 7, 2019

Transmission is a respected Fast, Easy, and Free BitTorrent Client, as from their site https://transmissionbt.com/about

Unofficial Windows build runs perfect either Windows service or daemon.

32 bit and 64 bit versions.
32 (runs everywhere), 64 only 64-bit Windows.

Decision made to maintain choice 2.7x core rather than somewhat buggy 2.8x-2.9x cores. That's why you will see infrequent and less bug fixes than official branches. All the features of 2.8x-2.9x (except rename). Run this solid 2.77+ port for extended days, it doesn't crash or lock. Prime for seedbox use.

The included remote GUI port is fine tuned to the daemon released here.

Temporary piece support. https://trac.transmissionbt.com/ticket/532 plus many featured enhancements! Tested, stable enhancements users requested.

Specifically modified and bug tested for Linux GCC and Windows (cygwin gcc/g++) compilers.

Current release 14734-18 020619
https://github.com/cfpp2p/transmission/releasesFeb. 7, 2019

Transmission is a respected Fast, Easy, and Free BitTorrent Client, as from their site https://transmissionbt.com/about

Unofficial Windows build runs perfect either Windows service or daemon.

32 bit and 64 bit versions.
32 (runs everywhere), 64 only 64-bit Windows.

Decision made to maintain choice 2.7x core rather than somewhat buggy 2.8x-2.9x cores. That's why you will see infrequent and less bug fixes than official branches. All the features of 2.8x-2.9x (except rename). Run this solid 2.77+ port for extended days, it doesn't crash or lock. Prime for seedbox use.

The included remote GUI port is fine tuned to the daemon released here.

Temporary piece support. https://trac.transmissionbt.com/ticket/532 plus many featured enhancements! Tested, stable enhancements users requested.

Specifically modified and bug tested for Linux GCC and Windows (cygwin gcc/g++) compilers.

Current release 14734-18 020619
https://github.com/cfpp2p/transmission/releases","Categories
BitTorrent"
CyanogenMod 7 for Samsung Galaxy S Series Phones Sources: http://github.com/CyanogenModCyanogenMod 7 for Samsung Galaxy S Series Phones Sources: http://github.com/CyanogenMod,"Categories
Telephony, Mobile"
"This is my version of a Nokia PC Suite(r) but for Ubuntu. Nokuntu could be no longer exist!! (I have no time to develop it!!) please donate so I can hire a programmer!!
Upubuntu makes a better job with a PPA, to add Nokuntu just:
sudo add-apt-repository ppa:upubuntu-com/mobile
sudo apt-get update
sudo apt-get install obextool nokuntuspThis is my version of a Nokia PC Suite(r) but for Ubuntu. Nokuntu could be no longer exist!! (I have no time to develop it!!) please donate so I can hire a programmer!!
Upubuntu makes a better job with a PPA, to add Nokuntu just:
sudo add-apt-repository ppa:upubuntu-com/mobile
sudo apt-get update
sudo apt-get install obextool nokuntusp","Categories
Communications"
Google Wave Notifier for your Windows desktop and Wine on Linux.Google Wave Notifier for your Windows desktop and Wine on Linux.,"Categories
Chat, Email"
"A cross-platform Duke3D (Duke Nukem 3D) port which provides many new features for mod authors, including an enhanced scripting system and OpenGL renderer. Go to http://www.eduke32.com for downloads and http://bit.ly/dn_3d to get the game!A cross-platform Duke3D (Duke Nukem 3D) port which provides many new features for mod authors, including an enhanced scripting system and OpenGL renderer. Go to http://www.eduke32.com for downloads and http://bit.ly/dn_3d to get the game!","Categories
File Sharing, First Person Shooters, Game Development Frameworks"
"Server bundle of : Apache2 , MySQL , PostgreSQL , OpenSSL , Xmail , SlimFTPd
Software developing triad of : PHP , Perl and Python
+ Apache2TriadCP , PHPmyadmin , PHPPgAdmin , AWStats , UebiMiau , PHPXMail , PHPSFTPd.
All latest stables , all manualsServer bundle of : Apache2 , MySQL , PostgreSQL , OpenSSL , Xmail , SlimFTPd
Software developing triad of : PHP , Perl and Python
+ Apache2TriadCP , PHPmyadmin , PHPPgAdmin , AWStats , UebiMiau , PHPXMail , PHPSFTPd.
All latest stables , all manuals","Categories
Email, Database, File Transfer Protocol (FTP), Site Management, HTTP Servers, Interpreters, Email Servers"
"Blocks ""known bad"" IP-addresses from accessing your machine, especially corporate/governmental agencies. This is a fork of PeerGuardian 2, fixing various Vista/Win7 problems.Blocks ""known bad"" IP-addresses from accessing your machine, especially corporate/governmental agencies. This is a fork of PeerGuardian 2, fixing various Vista/Win7 problems.","Categories
File Sharing, Firewall"
"small-footprint UNIX/Linux daemon to relay multicast UDP traffic to client's TCP (HTTP) connection.

This app targets home users and is designed for small-scale usage. For enterprise purposes please consider Gigapxy (gigapxy.com),small-footprint UNIX/Linux daemon to relay multicast UDP traffic to client's TCP (HTTP) connection.

This app targets home users and is designed for small-scale usage. For enterprise purposes please consider Gigapxy (gigapxy.com),","Categories
Streaming"
"Enterprise telephony recording and retrieval system with web based user interface. The project currently supports recording voice from VoIP SIP, Cisco Skinny (aka SCCP), raw RTP and audio sound device and runs on multiple operating systems and database systems.
It can record audio from most PBX and telephony systems such as BroadWorks, Metaswitch, Asterisk, FreeSwitch, OpenSIPS, Avaya, Nortel, Mitel, Siemens, Cisco Call Manager, Cosmocom, NEC, etc...
It is amongst others being used in Call Centers and Contact Centers for Quality monitoring (QM) purposes.Enterprise telephony recording and retrieval system with web based user interface. The project currently supports recording voice from VoIP SIP, Cisco Skinny (aka SCCP), raw RTP and audio sound device and runs on multiple operating systems and database systems.
It can record audio from most PBX and telephony systems such as BroadWorks, Metaswitch, Asterisk, FreeSwitch, OpenSIPS, Avaya, Nortel, Mitel, Siemens, Cisco Call Manager, Cosmocom, NEC, etc...
It is amongst others being used in Call Centers and Contact Centers for Quality monitoring (QM) purposes.","Categories
Telephony, CRM, Audio Recording, PBX"
"HeXHub is an IOCP-based file-sharing hub and web server with anti-flood protection, built-in firewall designed to filter DDoS, and to prevent most common forms of DoS currently used against hubs, anti-spam protection, content filtering and more.HeXHub is an IOCP-based file-sharing hub and web server with anti-flood protection, built-in firewall designed to filter DDoS, and to prevent most common forms of DoS currently used against hubs, anti-spam protection, content filtering and more.","Categories
File Sharing"
