Description,Category
"BtiTracker is a complete php tracker system for BitTorrent, easy to setup and configure. Full remote admin management.BtiTracker is a complete php tracker system for BitTorrent, easy to setup and configure. Full remote admin management.","Categories
BitTorrent"
"Open Phone Abstraction Library (OPAL) is a C++ multi-platform, multi-protocol library for Fax, Video & Voice over IP and other networks. Also included is the Portable Tool Library (PTLib) which is a C++ multi-platform abstraction library and collection oOpen Phone Abstraction Library (OPAL) is a C++ multi-platform, multi-protocol library for Fax, Video & Voice over IP and other networks. Also included is the Portable Tool Library (PTLib) which is a C++ multi-platform abstraction library and collection o","Categories
Internet Phone, VoIP"
UDT: UDP-based Data Transfer ProtocolUDT: UDP-based Data Transfer Protocol,"Categories
Communications, Networking, Internet"
JTL Mage Connect strives at offering a connector to provide integration between the ERP system JTL-Wawi and the popular online shop Magento. Initial version provided by Sysgrade GmbH (www.sysgrade.de) and Onedrop Solutions GmbH & Co KG (www.1drop.de)JTL Mage Connect strives at offering a connector to provide integration between the ERP system JTL-Wawi and the popular online shop Magento. Initial version provided by Sysgrade GmbH (www.sysgrade.de) and Onedrop Solutions GmbH & Co KG (www.1drop.de),"Categories
Enterprise, ERP, File Sync"
"pcapsipdump is libpcap-based SIP sniffer with per-call sorting capabilities. It writes SIP/RTP sessions to disk in a same format, as ""tcpdump -w"", but one file per SIP session (even if there is thousands of concurrent SIP sessions).

Getting started: http://pcapsipdump.sf.net/pcapsipdump is libpcap-based SIP sniffer with per-call sorting capabilities. It writes SIP/RTP sessions to disk in a same format, as ""tcpdump -w"", but one file per SIP session (even if there is thousands of concurrent SIP sessions).

Getting started: http://pcapsipdump.sf.net/","Categories
Monitoring, Logging, VoIP"
"Add support for making Gmail the default mail application for the GNOME desktop. ""Gmail"" will be a choice for Mail Reader in the Preferred Applications dialog. ""Mailto"" links, ""Send Link"", etc., will be handled by Gmail.Add support for making Gmail the default mail application for the GNOME desktop. ""Gmail"" will be a choice for Mail Reader in the Preferred Applications dialog. ""Mailto"" links, ""Send Link"", etc., will be handled by Gmail.","Categories
Email Clients, GNOME"
"JLibModbus is an implementation of the Modbus protocol v1.1b in java language.

The library supports the most popular communication libraries (jssc, rxtx, jSerialComm, purejavacomm, java comm api);

Maven dependency:
<dependency>
<groupId>com.intelligt.modbus</groupId>
<artifactId>jlibmodbus</artifactId>
<version>1.2.9.7</version>
</dependency>

Implemented MODBUS functions:
0x01 Read Coils
0x02 Read Discrete Inputs
0x03 Read Holding Registers
0x04 Read Input Registers
0x05 Write Single Coil
0x06 Write Single Register
0x07 Read Exception Status
0x08 Diagnostics
0x0B Get Comm Event Counter
0x0C Get Comm Event Log
0x0F Write Multiple Coils
0x10 Write Multiple Registers
0x11 Report Slave Id
0x14 Read File Record
0x15 Write File Record
0x16 Mask Write Register
0x17 Read Write Multiple Registers
0x18 Read Fifo Queue
0x2B Encapsulated Interface Transport (Read Device Identification interface)JLibModbus is an implementation of the Modbus protocol v1.1b in java language.

The library supports the most popular communication libraries (jssc, rxtx, jSerialComm, purejavacomm, java comm api);

Maven dependency:
<dependency>
<groupId>com.intelligt.modbus</groupId>
<artifactId>jlibmodbus</artifactId>
<version>1.2.9.7</version>
</dependency>

Implemented MODBUS functions:
0x01 Read Coils
0x02 Read Discrete Inputs
0x03 Read Holding Registers
0x04 Read Input Registers
0x05 Write Single Coil
0x06 Write Single Register
0x07 Read Exception Status
0x08 Diagnostics
0x0B Get Comm Event Counter
0x0C Get Comm Event Log
0x0F Write Multiple Coils
0x10 Write Multiple Registers
0x11 Report Slave Id
0x14 Read File Record
0x15 Write File Record
0x16 Mask Write Register
0x17 Read Write Multiple Registers
0x18 Read Fifo Queue
0x2B Encapsulated Interface Transport (Read Device Identification interface)","Categories
Communications, Scientific/Engineering"
"ScriptCommunicator (scriptable data terminal) script which routes:
- serial port (RS232, USB to serial) <-> TCP/IP (Client/Server)
- serial port (RS232, USB to serial) <-> UDP/IP
- TCP/IP (Client/Server) <-> UDP/IP

ScriptCommunicator can be found here: https://sourceforge.net/projects/scriptcommunicator/ScriptCommunicator (scriptable data terminal) script which routes:
- serial port (RS232, USB to serial) <-> TCP/IP (Client/Server)
- serial port (RS232, USB to serial) <-> UDP/IP
- TCP/IP (Client/Server) <-> UDP/IP

ScriptCommunicator can be found here: https://sourceforge.net/projects/scriptcommunicator/","Categories
Serial, Communications, Router"
"MSHV Amateur Radio Software.
Developed by LZ2HV - Christo mail: lz2hv@abv.bg
Supported working modes: MSK144 MSKMS JTMS FSK441 FSK315 ISCAT JT6M FT8/4 JT65 PI4 Q65
System Requirements: Microsoft Windows Xp, Windows 7,8,10 32 or 64 Bit, Linux Fedora (Red hat), Ubuntu (Debian) .
Compiling:
MinGw recommended GCC 7.3.0 thread model posix.
QT5.6.3 library.
IDE recommended QDevelop 0.29.
All other libraries included inside the source.

Acknowledgements to K1JT Joe Taylor and WSJT Development Group.
The algorithms, source code, look-and-feel of WSJT-X and related
programs, and protocol specifications for the modes FSK441, FT8, JT4,
JT6M, JT9, JT65, JTMS, QRA64, ISCAT, MSK144, are Copyright © 2001-2017
by one or more of the following authors: Joseph Taylor, K1JT; Bill
Somerville, G4WJS; Steven Franke, K9AN; Nico Palermo, IV3NWV; Greg Beam,
KI7MT; Michael Black, W9MDB; Edson Pereira, PY2SDR; Philip Karn, KA9Q;
and other members of the WSJT Development Group.MSHV Amateur Radio Software.
Developed by LZ2HV - Christo mail: lz2hv@abv.bg
Supported working modes: MSK144 MSKMS JTMS FSK441 FSK315 ISCAT JT6M FT8/4 JT65 PI4 Q65
System Requirements: Microsoft Windows Xp, Windows 7,8,10 32 or 64 Bit, Linux Fedora (Red hat), Ubuntu (Debian) .
Compiling:
MinGw recommended GCC 7.3.0 thread model posix.
QT5.6.3 library.
IDE recommended QDevelop 0.29.
All other libraries included inside the source.

Acknowledgements to K1JT Joe Taylor and WSJT Development Group.
The algorithms, source code, look-and-feel of WSJT-X and related
programs, and protocol specifications for the modes FSK441, FT8, JT4,
JT6M, JT9, JT65, JTMS, QRA64, ISCAT, MSK144, are Copyright © 2001-2017
by one or more of the following authors: Joseph Taylor, K1JT; Bill
Somerville, G4WJS; Steven Franke, K9AN; Nico Palermo, IV3NWV; Greg Beam,
KI7MT; Michael Black, W9MDB; Edson Pereira, PY2SDR; Philip Karn, KA9Q;
and other members of the WSJT Development Group.","Categories
Ham Radio"
"Aegis Implicit Mail is a free and open source library which is designed to provide fast and developer friendly API to send emails using SMTP ports.

Binaries are available in the form of NuGet package:
https://www.nuget.org/packages/AIM

Please check http://pki.tools/aim.html as well

AIM Supports :
* None Ssl Mails
* Implicit Ssl Mails
* Explicit Ssl Mails
* Smtp Connection test
* Detect Ssl type of mail server
* Attachments for MIME and S/MIME message.
* In-line attachment and separate file attachment
* All content types and mimes
* SMIME , Signed and Encrypted mails
In an integrated way

Sadly, Microsoft.Net.Mail Ssl Mails does not support Implicit Ssl Mail and it is still used by many servers, including port 465 of Gmail here AIM comes to make a readable and fast alternative to send your smtp mails.


For unicode issues please refer to https://sourceforge.net/p/netimplicitssl/tickets/4/ . We really appriciate any help in testing of different encodingsAegis Implicit Mail is a free and open source library which is designed to provide fast and developer friendly API to send emails using SMTP ports.

Binaries are available in the form of NuGet package:
https://www.nuget.org/packages/AIM

Please check http://pki.tools/aim.html as well

AIM Supports :
* None Ssl Mails
* Implicit Ssl Mails
* Explicit Ssl Mails
* Smtp Connection test
* Detect Ssl type of mail server
* Attachments for MIME and S/MIME message.
* In-line attachment and separate file attachment
* All content types and mimes
* SMIME , Signed and Encrypted mails
In an integrated way

Sadly, Microsoft.Net.Mail Ssl Mails does not support Implicit Ssl Mail and it is still used by many servers, including port 465 of Gmail here AIM comes to make a readable and fast alternative to send your smtp mails.


For unicode issues please refer to https://sourceforge.net/p/netimplicitssl/tickets/4/ . We really appriciate any help in testing of different encodings","Categories
Email, Email Clients, Cryptography, Email Servers"
