Description,Category
RC4Crypt is a petite library that allows you to use RC4 encryption easily in PHP. It's OO and can produce outputs in binary and hex.RC4Crypt is a petite library that allows you to use RC4 encryption easily in PHP. It's OO and can produce outputs in binary and hex.,"Categories
Cryptography"
"The PHP Web Toolkit enables the rapid development of multi-layered web applications and is designed to be easy to use, extensible, reliable, reusable, scalable and secure. It integrates with ADOdb, FCKeditor, kses, Libmcrypt, Libmhash and Smarty.The PHP Web Toolkit enables the rapid development of multi-layered web applications and is designed to be easy to use, extensible, reliable, reusable, scalable and secure. It integrates with ADOdb, FCKeditor, kses, Libmcrypt, Libmhash and Smarty.","Categories
Database, Cryptography, Dynamic Content, Frameworks, Object Oriented, Authentication/Directory"
"SSHDOS is a DOS port of SSH, SCP, SFTP and Telnet clients. Needs a packet driver (or a PPP driver for dialup connection) only. There are two separate packages for SSH1 and for SSH2.SSHDOS is a DOS port of SSH, SCP, SFTP and Telnet clients. Needs a packet driver (or a PPP driver for dialup connection) only. There are two separate packages for SSH1 and for SSH2.","Categories
Terminals, Communications, Cryptography, Internet"
"chaRME is a web based open source Risk management engine, which currently supports the steps necessary to implement and maintain an ISO/IEC 27001 compliant Information Security Management System. It also supports the international payment card standard PchaRME is a web based open source Risk management engine, which currently supports the steps necessary to implement and maintain an ISO/IEC 27001 compliant Information Security Management System. It also supports the international payment card standard P","Categories
Security"
"The Entropy Gathering Daemon is a portable perl script which provides a source of randomness on systems that lack an in-kernel /dev/random. GnuPG, OpenSSH, and the OpenSSL toolkit can use EGD to seed their random number generators.The Entropy Gathering Daemon is a portable perl script which provides a source of randomness on systems that lack an in-kernel /dev/random. GnuPG, OpenSSH, and the OpenSSL toolkit can use EGD to seed their random number generators.","Categories
Cryptography"
"A pure Python module that implements client side RADIUS authentication, as defined by RFC2138.

This project has moved to GitHub.

http://github.com/btimby/py-radius/A pure Python module that implements client side RADIUS authentication, as defined by RFC2138.

This project has moved to GitHub.

http://github.com/btimby/py-radius/","Categories
Security, Networking, Internet"
"This project allows placing rules into an iptables based policy, and having these rules expire after a set time. This is useful for opening ports after successful port knocking, or for blocking source IPs using port sentry.This project allows placing rules into an iptables based policy, and having these rules expire after a set time. This is useful for opening ports after successful port knocking, or for blocking source IPs using port sentry.","Categories
Security"
a smal tool tat can split a file into to files for encryption only both files can restore the orginal filea smal tool tat can split a file into to files for encryption only both files can restore the orginal file,"Categories
Cryptography"
A security scanner coded in a tcl/tk extension for use with linux and unix systems . It automatically downloads patches and exploits how ever testing of them is left up to the user for security reasonsA security scanner coded in a tcl/tk extension for use with linux and unix systems . It automatically downloads patches and exploits how ever testing of them is left up to the user for security reasons,"Categories
Security, Source Code Control System (SCCS)"
The Leeter is an easy-to-use and convinient program to easily write hardly understandable text. While this is mainly not the intention of normal chatters it may be a nice joke to try out on friends. Provides 5 different options to scramble up your text.The Leeter is an easy-to-use and convinient program to easily write hardly understandable text. While this is mainly not the intention of normal chatters it may be a nice joke to try out on friends. Provides 5 different options to scramble up your text.,"Categories
Text Processing, Chat, Cryptography"
"BankOfEuler stores a set of accounts, each with a set of values. Value can be split into two parts, merged into a sum, or transferred between accounts. The server is never aware of the quantities being manipulated because they are encrypted.BankOfEuler stores a set of accounts, each with a set of values. Value can be split into two parts, merged into a sum, or transferred between accounts. The server is never aware of the quantities being manipulated because they are encrypted.","Categories
Cryptography"
"This is a program that creates one-time-pads, encodes plaintext files with the one-time-pads, decodes them, and creates number-stations-like sound files for message transmission.This is a program that creates one-time-pads, encodes plaintext files with the one-time-pads, decodes them, and creates number-stations-like sound files for message transmission.","Categories
Cryptography"
Umbrella is a security mechanism that implements a combination of Process-Based Access Control (PBAC) and authentication of Digital Signed Binaries (DSB). Umbrella is designed for Linux-based consumer electronic devices.Umbrella is a security mechanism that implements a combination of Process-Based Access Control (PBAC) and authentication of Digital Signed Binaries (DSB). Umbrella is designed for Linux-based consumer electronic devices.,"Categories
Security, Operating System Kernels"
"The High Interaction Honeypot Analysis Toolkit (HIHAT) allows to transform arbitrary PHP applications into a web-based Honeypot. A semi-automatic user interface supports the analysis process, scans for attacks etc.The High Interaction Honeypot Analysis Toolkit (HIHAT) allows to transform arbitrary PHP applications into a web-based Honeypot. A semi-automatic user interface supports the analysis process, scans for attacks etc.","Categories
Security, Monitoring, Logging"
FLAG was designed to simplify the process of log file analysis and forensic investigations. FLAG facilitates efficient analysis of large quantities of data within an interactive environment. PyFlag is the reimplementation of FLAG in Python.FLAG was designed to simplify the process of log file analysis and forensic investigations. FLAG facilitates efficient analysis of large quantities of data within an interactive environment. PyFlag is the reimplementation of FLAG in Python.,"Categories
Front-Ends, Database Engines/Servers, Security, Data Visualization"
"This programm is able to block your computer.
so other people are only able to access you computer if they know how to use the program and if they know your personal password.This programm is able to block your computer.
so other people are only able to access you computer if they know how to use the program and if they know your personal password.","Categories
Security"
"Libnids - NIDS E-component, based on Linux kernel. This library provides IP defragmentation, TCP reassembly and port scan detection.Libnids - NIDS E-component, based on Linux kernel. This library provides IP defragmentation, TCP reassembly and port scan detection.","Categories
Security, Monitoring, Internet"
"This project is moved to https://github.com/salarcode/ASProxy
ASProxy is a free and open-source service which allows the user to surf the net anonymously. It hides your identity and allows you to pass any filtering system. ASProxy supports most current web technologies such as AJAX, HTTPS, JavaScript, FTP and so onThis project is moved to https://github.com/salarcode/ASProxy
ASProxy is a free and open-source service which allows the user to surf the net anonymously. It hides your identity and allows you to pass any filtering system. ASProxy supports most current web technologies such as AJAX, HTTPS, JavaScript, FTP and so on","Categories
Security, Browsers, Dynamic Content"
"Coyote Linux is a security centric distribution of Linux designed to provide firewall, VPN service, IP routing, and various other functions.Coyote Linux is a security centric distribution of Linux designed to provide firewall, VPN service, IP routing, and various other functions.","Categories
Security, Firewall"
