Description,Category
"czoom is a program to magnify the console letters (both local or via telnet), to allow people with subnormal vision to use console Linux.czoom is a program to magnify the console letters (both local or via telnet), to allow people with subnormal vision to use console Linux.","Categories
Terminals"
"FreeHost3270 is a complete 3270-to-web solution, providing single-point deployment of legacy 3270 applications to unlimited clients. It delivers either a java applet-based TN3270 emulator, or a stand alone application with rich GUI.FreeHost3270 is a complete 3270-to-web solution, providing single-point deployment of legacy 3270 applications to unlimited clients. It delivers either a java applet-based TN3270 emulator, or a stand alone application with rich GUI.","Categories
Terminal Emulators, Telnet"
"h3270 is a program that allows you to use IBM 3270 hosts from within a web browser. It is different from other, similar systems because of its highly configurable layout engine that is based on regular expressions.h3270 is a program that allows you to use IBM 3270 hosts from within a web browser. It is different from other, similar systems because of its highly configurable layout engine that is based on regular expressions.","Categories
Terminal Emulators, WWW/HTTP"
"Multisetup is a networking application server that provides a multiple os, thin (multimedia) client based, legacy device friendly environment for home networks. Its an alternative to single OS networks and XP Media Center.Multisetup is a networking application server that provides a multiple os, thin (multimedia) client based, legacy device friendly environment for home networks. Its an alternative to single OS networks and XP Media Center.","Categories
Terminals, Communications, Games/Entertainment, System Shells, Video, Sound/Audio"
"A PHP Server application allowing a single machine with a good sound card to play MP3 files, at the request of client machines.A PHP Server application allowing a single machine with a good sound card to play MP3 files, at the request of client machines.","Categories
Telnet, WAP, CGI Scripts, MP3"
This project has been moved off sourceforge. Look at http://software.schmorp.de for more info.This project has been moved off sourceforge. Look at http://software.schmorp.de for more info.,"Categories
Terminal Emulators, Desktop Environment"
"K_TTY provides keyman(TM) style keyboard interpretation for Linux
console and attached (or pseudo) terminals (including X terminals, telnet
sessions, etc.) so you can type in IPA / non-roman scripts on Linux.K_TTY provides keyman(TM) style keyboard interpretation for Linux
console and attached (or pseudo) terminals (including X terminals, telnet
sessions, etc.) so you can type in IPA / non-roman scripts on Linux.","Categories
Terminals, System"
"FTC is a DOS-based distribution to enable any PC with minimal hardware configuration to serve as a Citrix Thin-Client. It currently boots from CD or HD, with as little as 8mb! of space, and connects to an application server using Citrix ICA. Hundreds oFTC is a DOS-based distribution to enable any PC with minimal hardware configuration to serve as a Citrix Thin-Client. It currently boots from CD or HD, with as little as 8mb! of space, and connects to an application server using Citrix ICA. Hundreds o","Categories
Terminal Emulators"
"Server that allow control windows remotly by console aplication with some features such as reduction of lag, reverse proxy and more.Server that allow control windows remotly by console aplication with some features such as reduction of lag, reverse proxy and more.","Categories
Telnet, Communications, System Shells, Monitoring"
"Scriptable text editor where you can customize menus, windows and manage text such as find and replace with a command-like language or run UNIX command without being a prisoner in a terminal window.Scriptable text editor where you can customize menus, windows and manage text such as find and replace with a command-like language or run UNIX command without being a prisoner in a terminal window.","Categories
Text Editors, Terminals"
