Description,Category
"Eclipse plug-ins for editing, building, and debugging Action Script 3 code as an IDE. Based on the free Adobe Flex SDK 3, uses fcsh to do fast compilation and fdb to do debug. Provide syntax coloring, error/warning markers, code assistance, and more...Eclipse plug-ins for editing, building, and debugging Action Script 3 code as an IDE. Based on the free Adobe Flex SDK 3, uses fcsh to do fast compilation and fdb to do debug. Provide syntax coloring, error/warning markers, code assistance, and more...","Categories
Build Tools"
"You know the component scanning feature of Spring? You'll love this: component scanning as easy as select(javaClasses()).from(""your.package"").returning(allAnnotatedWith(YourAnnotation.class)). Can support any language running on the JVM.

----------

eXtcos is now also available from Maven Central. To include it into your Maven project just add this dependency:

groupId: net.sf.extcos
artifactId: extcos
version: 0.4b

Unfortunately Sourceforge doesn't support XML snippets in the description, so you'll have to build it yourself if needed.

-----------

To read the user manual click the website link below.You know the component scanning feature of Spring? You'll love this: component scanning as easy as select(javaClasses()).from(""your.package"").returning(allAnnotatedWith(YourAnnotation.class)). Can support any language running on the JVM.

----------

eXtcos is now also available from Maven Central. To include it into your Maven project just add this dependency:

groupId: net.sf.extcos
artifactId: extcos
version: 0.4b

Unfortunately Sourceforge doesn't support XML snippets in the description, so you'll have to build it yourself if needed.

-----------

To read the user manual click the website link below.","Categories
Frameworks, Object Oriented, Libraries"
"This is the most complete and standalone Sudoku puzzle suite for Windows. It includes comfort playing with undo steps and powerful Sudoku generator with different difficulty levels. Also you can create Sudoku game manually and print it on an A4/Letter paper. Tutorial mode with solving hints for newbies is included too. Also there is High Score table and built-in timer for professional players.

The Sudoku generation algorithm used by this app is my ultimate proud. Primarily it was based on a Deep Neural Network. But I analyzed more than 100 scientific publications on Sudoku generation problem and have reduced the Deep Neural Network to a relatively simple and very elegant deterministic algorithm that works pretty fast. As a result, the app can generate Sudoku fields in 7 difficulty levels from 'Yellow Belt' to 'Sudoku Game Jedi Master'.

The application supports Quick Start mode, see features below [QS Step 1] and [QS Step 2] (buttons in an application window).This is the most complete and standalone Sudoku puzzle suite for Windows. It includes comfort playing with undo steps and powerful Sudoku generator with different difficulty levels. Also you can create Sudoku game manually and print it on an A4/Letter paper. Tutorial mode with solving hints for newbies is included too. Also there is High Score table and built-in timer for professional players.

The Sudoku generation algorithm used by this app is my ultimate proud. Primarily it was based on a Deep Neural Network. But I analyzed more than 100 scientific publications on Sudoku generation problem and have reduced the Deep Neural Network to a relatively simple and very elegant deterministic algorithm that works pretty fast. As a result, the app can generate Sudoku fields in 7 difficulty levels from 'Yellow Belt' to 'Sudoku Game Jedi Master'.

The application supports Quick Start mode, see features below [QS Step 1] and [QS Step 2] (buttons in an application window).","Categories
Puzzle Games, Neural Network Libraries"
"LibreOffice is a free and powerful office suite. Word processor, spreadsheet, presentations, diagrams, databases, formula editors, charts, and more. Compatible with Windows, Mac, and Linux.Features
Multi-tabbed editor
Line and text markers
Smart highlighting
Advanced search
Find in Files
Auto-save and backup
File metadata
Jump menu
Load/Save session
Recent files
Favorites
File History Manager
Tab bar positioning and style
Custom themes
Zoom in/out
Multiple selection/typing/paste
Rectangular selection
Support for multiple programming languages
Syntax highlighting
Autocompletion
Code tooltips (calltips)
Insertion of parameters
Autoclose brackets
Templates
Custom ""Syntax Type"" menu
Line numbering
Code folding
Automatic indentation
Indentation guides
Show white spaces
Hexadecimal/decimal conversion
Run with Associated Application
Command line parameters
Explorer context menu
Custom ""Tools"" menu
Facilities for AutoHotkey:
Dedicated ""AHK"" menu
Run without save (AHK)
StdErr capture (AHK)
AutoHotkey Debugger
AHK help file integration
AHK-WinAPI table
Auto-GUI - Windows form designer
MagicBox - message box generator
Expressive - regular expression tool
Constantine - Windows API constants
A_Variables - AHK built-in variables
AutoHotkey Scripts Manager
ActiveX/COM object inspector
Win32 structure offsets, etc
ErrorView - Win32 error messages
AutoHotkey directives generator
XML Syntax Checker
Sort Panel - text sorting tool","Categories
Text Editors, Integrated Development Environments (IDE), Software Development"
"Gerber2PDF is a command-line tool to convert Gerber files to PDF for proofing and hobbyist printing purposes.

It converts multiple Gerber files at once, placing the resulting layers each on it's own page within the PDF. Each layer has a PDF bookmark for easy reference.

Layers can optionally be combined onto a single page and rendered with custom colours and transparency.

There is a Drill to Gerber converter available from the downloads page.Gerber2PDF is a command-line tool to convert Gerber files to PDF for proofing and hobbyist printing purposes.

It converts multiple Gerber files at once, placing the resulting layers each on it's own page within the PDF. Each layer has a PDF bookmark for easy reference.

Layers can optionally be combined onto a single page and rendered with custom colours and transparency.

There is a Drill to Gerber converter available from the downloads page.","Categories
Electronic Design Automation (EDA), PDF, Command Line Tools"
"This is the complete package of runtime files and redistributable libraries for running or distributing applications written in Visual Basic 6.0 and together with some third-party redistributable components.

Notes and Disclaimer:
* Visual Basic 6.0 is a trademark of Microsoft Corporation.
* All trademarks and components are owned by their respective owners.
* The developer's scope was the collection of VB6 redistributables and creation of installer only.
* Use at your own risk, the developers was not responsible for any damages for using this software.This is the complete package of runtime files and redistributable libraries for running or distributing applications written in Visual Basic 6.0 and together with some third-party redistributable components.

Notes and Disclaimer:
* Visual Basic 6.0 is a trademark of Microsoft Corporation.
* All trademarks and components are owned by their respective owners.
* The developer's scope was the collection of VB6 redistributables and creation of installer only.
* Use at your own risk, the developers was not responsible for any damages for using this software.","Categories
Frameworks, Software Distribution, Libraries"
"Docmenta is a Java web-application for single source publishing and help authoring. The application allows collaborative creation of documentation, e-books and online-help. Supported output formats are PDF, HTML, WebHelp, EPUB (eBook) and DocBook.

For more information, visit: http://www.docmenta.orgDocmenta is a Java web-application for single source publishing and help authoring. The application allows collaborative creation of documentation, e-books and online-help. Supported output formats are PDF, HTML, WebHelp, EPUB (eBook) and DocBook.

For more information, visit: http://www.docmenta.org","Categories
Documentation, Desktop Publishing"
"This Library includes a DMX Master, DMX Slave and various examples on how to use its implementation. This projects has been started to support the use of our Shielded DMX / RDM Shield for Arduino. The library is made available under the GNU Lesser General Public License

If you would like to make contributions to the source code feel free to contact the project adminThis Library includes a DMX Master, DMX Slave and various examples on how to use its implementation. This projects has been started to support the use of our Shielded DMX / RDM Shield for Arduino. The library is made available under the GNU Lesser General Public License

If you would like to make contributions to the source code feel free to contact the project admin","Categories
Communications, Embedded Systems, Libraries"
"PyInstaller is a program that converts (packages) Python programs into stand-alone executables, under Windows, Linux, Mac OS X, AIX and Solaris. Its main advantages over similar tools are that PyInstaller works with any version of Python since 2.3, it builds smaller executables thanks to transparent compression, it is fully multi-platform, and uses the OS support to load the dynamic libraries, thus ensuring full compatibility.

The main goal of PyInstaller is to be compatible with 3rd-party packages out-of-the-box. This means that, with PyInstaller, all the required tricks to make external packages work are already integrated within PyInstaller itself so that there is no user intervention required. You'll never be required to look for tricks in wikis and apply custom modification to your files or your setup scripts. As an example, libraries like PyQt, Django or matplotlib are fully supported, without having to handle plugins or external data files manually.PyInstaller is a program that converts (packages) Python programs into stand-alone executables, under Windows, Linux, Mac OS X, AIX and Solaris. Its main advantages over similar tools are that PyInstaller works with any version of Python since 2.3, it builds smaller executables thanks to transparent compression, it is fully multi-platform, and uses the OS support to load the dynamic libraries, thus ensuring full compatibility.

The main goal of PyInstaller is to be compatible with 3rd-party packages out-of-the-box. This means that, with PyInstaller, all the required tricks to make external packages work are already integrated within PyInstaller itself so that there is no user intervention required. You'll never be required to look for tricks in wikis and apply custom modification to your files or your setup scripts. As an example, libraries like PyQt, Django or matplotlib are fully supported, without having to handle plugins or external data files manually.","Categories
Build Tools, Compilers, Interpreters"
"Plugin development moved to GitHub: https://github.com/peter-frentrup/NppMenuSearch. Binaries continue to be served here.

Notepad++ Menu Search Plugin
This plugin adds a text field to the toolbar for searching menu items and preference dialog options.

The plugin is inspired by a similar Visual Studio 2012 functionality. It is written in C# using the approach described in http://sourceforge.net/projects/notepad-plus/forums/forum/482781/topic/4404278Plugin development moved to GitHub: https://github.com/peter-frentrup/NppMenuSearch. Binaries continue to be served here.

Notepad++ Menu Search Plugin
This plugin adds a text field to the toolbar for searching menu items and preference dialog options.

The plugin is inspired by a similar Visual Studio 2012 functionality. It is written in C# using the approach described in http://sourceforge.net/projects/notepad-plus/forums/forum/482781/topic/4404278","Categories
User Interface (UI)"
Serveur domotique développé en PHP permettant de controler plusieurs cartes IPX800 (Gce.electronics).Serveur domotique développé en PHP permettant de controler plusieurs cartes IPX800 (Gce.electronics).,"Categories
User Interface (UI), Home Automation"
"DRAKON is a diagram language developed within the Russian space program. Its primary objective is presenting complex software systems in a way which is easy to understand by humans.
DRAKON's motto: took a glance - understood at once.
DRAKON Editor helps software architects, quality specialists and developers.
Architects and quality assurers can express a high-level view of how their product works. DRAKON serves them to explain the dynamics of a software system.
Software engineers can use DRAKON Editor to build algorithms in Go, Java, Processing.org, D, C#, C, C++, Python, Tcl, Javascript, Erlang and Lua.DRAKON is a diagram language developed within the Russian space program. Its primary objective is presenting complex software systems in a way which is easy to understand by humans.
DRAKON's motto: took a glance - understood at once.
DRAKON Editor helps software architects, quality specialists and developers.
Architects and quality assurers can express a high-level view of how their product works. DRAKON serves them to explain the dynamics of a software system.
Software engineers can use DRAKON Editor to build algorithms in Go, Java, Processing.org, D, C#, C, C++, Python, Tcl, Javascript, Erlang and Lua.","Categories
UML"
NetBeans Portable just makes NetBeans IDE (http://netbeans.org) usable from a USB-Stick. See also: http://portableapps.com.NetBeans Portable just makes NetBeans IDE (http://netbeans.org) usable from a USB-Stick. See also: http://portableapps.com.,"Categories
Software Development"
A free replacement firmware for the T/S 2000 derived from the T/S 1000 ROM.A free replacement firmware for the T/S 2000 derived from the T/S 1000 ROM.,"Categories
Software Development, Hardware"
JAAD is an open-source AAC decoder and MP4 demultiplexer library written completely in Java. It is platform-independent and portable.JAAD is an open-source AAC decoder and MP4 demultiplexer library written completely in Java. It is platform-independent and portable.,"Categories
Audio Conversion, Libraries"
"YAFU (with assistance from other free software) uses the most powerful modern algorithms (and implementations of them) to factor input integers in a completely automated way. The automation within YAFU is state-of-the-art, combining factorization algorithms in an intelligent and adaptive methodology that minimizes the time to find the factors of arbitrary input integers. Most algorithm implementations are multi-threaded, allowing YAFU to fully utilize multi- or many-core processors (including SNFS, GNFS, SIQS, and ECM).

YAFU is primarily a command-line driven tool. You provide the number to factor and, via screen output and log files, YAFU will provide you the factors. There is also an interactive environment similar to MATLAB or PARI/GP, where you can type commands and store results. YAFU is very customizable, through the optional use of many many command line parameters and a very capable expression interpreter.YAFU (with assistance from other free software) uses the most powerful modern algorithms (and implementations of them) to factor input integers in a completely automated way. The automation within YAFU is state-of-the-art, combining factorization algorithms in an intelligent and adaptive methodology that minimizes the time to find the factors of arbitrary input integers. Most algorithm implementations are multi-threaded, allowing YAFU to fully utilize multi- or many-core processors (including SNFS, GNFS, SIQS, and ECM).

YAFU is primarily a command-line driven tool. You provide the number to factor and, via screen output and log files, YAFU will provide you the factors. There is also an interactive environment similar to MATLAB or PARI/GP, where you can type commands and store results. YAFU is very customizable, through the optional use of many many command line parameters and a very capable expression interpreter.","Categories
Mathematics, Libraries"
