Description,Category
"Luminance HDR is a complete suite for HDR imaging workflow. It provides a wide range of functionalities, during both the fusion stage and the tonemapping stage. Its graphical user interface, based on Qt5, runs on a variety of platforms, such as Microsoft Windows, Mac OS X 10.9 and later and several Unix flavors (Linux, FreeBSD and others).

Input images can be supplied in multiple formats, from JPEG to RAW files. In the same way, output can be saved in many different formats as well, from JPEG to TIFF (both 8 bit and 16 bit per channel), enabling all the power of your post processing tools.Luminance HDR is a complete suite for HDR imaging workflow. It provides a wide range of functionalities, during both the fusion stage and the tonemapping stage. Its graphical user interface, based on Qt5, runs on a variety of platforms, such as Microsoft Windows, Mac OS X 10.9 and later and several Unix flavors (Linux, FreeBSD and others).

Input images can be supplied in multiple formats, from JPEG to RAW files. In the same way, output can be saved in many different formats as well, from JPEG to TIFF (both 8 bit and 16 bit per channel), enabling all the power of your post processing tools.","Categories
Image Viewers, Digital Camera, Image Converters, Data Visualization"
"The official website of this project is https://danielnoethen.de/butt

butt (broadcast using this tool) is an easy to use, multi OS streaming tool.
It supports ShoutCast and IceCast and runs on Linux, MacOS and Windows.
The main purpose of butt is to stream live audio data from your computers Mic or Line input
to an Shoutcast or Icecast server. Recording is also possible.
It is NOT intended to be a server by itself or automatically stream a set of audio files.The official website of this project is https://danielnoethen.de/butt

butt (broadcast using this tool) is an easy to use, multi OS streaming tool.
It supports ShoutCast and IceCast and runs on Linux, MacOS and Windows.
The main purpose of butt is to stream live audio data from your computers Mic or Line input
to an Shoutcast or Icecast server. Recording is also possible.
It is NOT intended to be a server by itself or automatically stream a set of audio files.","Categories
Streaming, Audio Recording"
"ChanSort allows you to organize your TV's channel lists on your PC. It supports:
* Hisense UHD SMART TVs 2016- (channel.db)
* Samsung's series B,C,D,E, F, H and J
* most LG's models released 2009-2015
* Panasonic models released 2011-2015 (svl.db or svl.bin)
* Toshiba models released 2009-2012 (zip/chmgt.db )
* VDR channels.conf lists

REQUIREMENTS:
* Microsoft .NET Framework 4.0 (Full)
* Microsoft Visual C++ 2010 x86 Redistributable Package
* Microsoft Windows XP SP3 or laterChanSort allows you to organize your TV's channel lists on your PC. It supports:
* Hisense UHD SMART TVs 2016- (channel.db)
* Samsung's series B,C,D,E, F, H and J
* most LG's models released 2009-2015
* Panasonic models released 2011-2015 (svl.db or svl.bin)
* Toshiba models released 2009-2012 (zip/chmgt.db )
* VDR channels.conf lists

REQUIREMENTS:
* Microsoft .NET Framework 4.0 (Full)
* Microsoft Visual C++ 2010 x86 Redistributable Package
* Microsoft Windows XP SP3 or later","Categories
Multimedia"
"OS X FOSS portable applications are packaged so you can carry around on any portable device, USB thumb drive, iPod, portable hard drive, memory card, other portable device (or also on your internal hard disk), taking your preferences with you.OS X FOSS portable applications are packaged so you can carry around on any portable device, USB thumb drive, iPod, portable hard drive, memory card, other portable device (or also on your internal hard disk), taking your preferences with you.","Categories
Text Editors, Communications, Other/Nonlisted Topic, Office/Business, Internet, Simulation, Physics, Multimedia"
"Andorid PDF Viewer is a viewer for PDF-Files on ANDROID mobiles. The implementation will be a port of the pdf-renderer which is published by SUN under the LGPL: https://pdf-renderer.dev.java.net/. The first version will be very slow, so do not hurry...Andorid PDF Viewer is a viewer for PDF-Files on ANDROID mobiles. The implementation will be a port of the pdf-renderer which is published by SUN under the LGPL: https://pdf-renderer.dev.java.net/. The first version will be very slow, so do not hurry...","Categories
Image Viewers, Mobile, PDF Readers"
"OptiPNG is a PNG optimizer that recompresses image files to a smaller size, without losing any information. This program also converts external formats (BMP, GIF, PNM and TIFF) to optimized PNG, and performs PNG integrity checks and corrections.OptiPNG is a PNG optimizer that recompresses image files to a smaller size, without losing any information. This program also converts external formats (BMP, GIF, PNM and TIFF) to optimized PNG, and performs PNG integrity checks and corrections.","Categories
File Compression, Image Converters"
"SMPlayer is a free media player for Windows and Linux with built-in codecs that can also play YouTube videos.

One of the most interesting features of SMPlayer: it remembers the settings of all files you play. So you start to watch a movie but you have to leave... don't worry, when you open that movie again it will be resumed at the same point you left it, and with the same settings: audio track, subtitles, volume...

SMPlayer is a graphical user interface (GUI) for the award-winning MPlayer, which is capable of playing almost all known video and audio formats. But apart from providing access for the most common and useful options of MPlayer, SMPlayer adds other interesting features like the possibility to play YouTube videos subtitles.

Note: for those people complaining about malware in the windows installer: be sure you download SMPlayer from the official website. Our installer is completely safe and free of malware.SMPlayer is a free media player for Windows and Linux with built-in codecs that can also play YouTube videos.

One of the most interesting features of SMPlayer: it remembers the settings of all files you play. So you start to watch a movie but you have to leave... don't worry, when you open that movie again it will be resumed at the same point you left it, and with the same settings: audio track, subtitles, volume...

SMPlayer is a graphical user interface (GUI) for the award-winning MPlayer, which is capable of playing almost all known video and audio formats. But apart from providing access for the most common and useful options of MPlayer, SMPlayer adds other interesting features like the possibility to play YouTube videos subtitles.

Note: for those people complaining about malware in the windows installer: be sure you download SMPlayer from the official website. Our installer is completely safe and free of malware.","Categories
Players, Video, DVD, Thumbnail Makers"
TV-Browser is a java-based TV guide which can be easily extended with lots of plugins. It is designed to look like your paper TV guide.TV-Browser is a java-based TV guide which can be easily extended with lots of plugins. It is designed to look like your paper TV guide.,"Categories
Games/Entertainment, Internet, Multimedia"
MediaInfo is a convenient unified display of the most relevant technical and tag data for video and audio files.MediaInfo is a convenient unified display of the most relevant technical and tag data for video and audio files.,"Categories
Video, Audio Analysis"
"DivFix++ is yours AVI video repair and preview software. It designed for repair and preview files which are on download from ed2k(emule), torrent, gnutella, ftp. web or any other source on the internet. It can repair AVI and DivX files (for now.)DivFix++ is yours AVI video repair and preview software. It designed for repair and preview files which are on download from ed2k(emule), torrent, gnutella, ftp. web or any other source on the internet. It can repair AVI and DivX files (for now.)","Categories
Video"
"A GUI for mkvextract utility (part of MKVToolNix) which incorporates most (if not all) functionality of mkvextract and mkvinfo utilities.
Written in C# .NET 4.0, in order to attain high compatibility with Windows OS (WinXP and newer Windows), as well as Linux through Mono (v1.6.4 and newer), and perhaps OSX (not tested).A GUI for mkvextract utility (part of MKVToolNix) which incorporates most (if not all) functionality of mkvextract and mkvinfo utilities.
Written in C# .NET 4.0, in order to attain high compatibility with Windows OS (WinXP and newer Windows), as well as Linux through Mono (v1.6.4 and newer), and perhaps OSX (not tested).","Categories
Video"
This project aims to provide an easy-to-use C# library that wraps the functionality of the native Nikon MAID SDK. The library allows you to control your Nikon DSLR via USB using just a few lines of C#.This project aims to provide an easy-to-use C# library that wraps the functionality of the native Nikon MAID SDK. The library allows you to control your Nikon DSLR via USB using just a few lines of C#.,"Categories
Digital Camera"
"A video player, interactive image viewer, and flipbook for use in VFX, 3D computer graphics and professional illustration.A video player, interactive image viewer, and flipbook for use in VFX, 3D computer graphics and professional illustration.","Categories
Image Viewers, Image Converters, Media Players"
Speedy MIDI is an editor designed for choirs and singers to quickly generate MIDI files for rehearsal.Speedy MIDI is an editor designed for choirs and singers to quickly generate MIDI files for rehearsal.,"Categories
Audio Editing, MIDI"
TiMidity++ is an open source MIDI to WAVE converter and player.TiMidity++ is an open source MIDI to WAVE converter and player.,"Categories
Players, MIDI"
"Mpxplay is a commander-style console audio player for DOS and Win32 operating systems.
MMC is a GUI version of Mpxplay for Windows 7 with FFmpeg audio&video playing and translucent windows.
x265vfw is a H265/HEVC video encoder/decoder codec for Windows, based on x264vfw and x265 library, usefull with VirtualDub.Mpxplay is a commander-style console audio player for DOS and Win32 operating systems.
MMC is a GUI version of Mpxplay for Windows 7 with FFmpeg audio&video playing and translucent windows.
x265vfw is a H265/HEVC video encoder/decoder codec for Windows, based on x264vfw and x265 library, usefull with VirtualDub.","Categories
Players, Codec, Media Players"
"puddletag is an audio tag editor (primarily created) for GNU/Linux similar to the Windows program, Mp3tag. Unlike most taggers for GNU/Linux, it uses a spreadsheet-like layout so that all the tags you want to edit by hand are visible and easily editable.

The usual tag editor features are supported like extracting tag information from filenames, renaming files based on their tags by using patterns and basic tag editing.

Then there’re Functions, which can do things like replace text, trim it, do case conversions, etc. Actions can automate repetitive tasks. Doing web lookups using Amazon (including cover art), Discogs (does cover art too!), FreeDB and MusicBrainz is also supported. There’s quite a bit more, but I’ve reached my comma quota.

Supported formats: ID3v1, ID3v2 (mp3), MP4 (mp4, m4a, etc.), VorbisComments (ogg, flac), Musepack (mpc), Monkey’s Audio (.ape) and WavPack (wv).puddletag is an audio tag editor (primarily created) for GNU/Linux similar to the Windows program, Mp3tag. Unlike most taggers for GNU/Linux, it uses a spreadsheet-like layout so that all the tags you want to edit by hand are visible and easily editable.

The usual tag editor features are supported like extracting tag information from filenames, renaming files based on their tags by using patterns and basic tag editing.

Then there’re Functions, which can do things like replace text, trim it, do case conversions, etc. Actions can automate repetitive tasks. Doing web lookups using Amazon (including cover art), Discogs (does cover art too!), FreeDB and MusicBrainz is also supported. There’s quite a bit more, but I’ve reached my comma quota.

Supported formats: ID3v1, ID3v2 (mp3), MP4 (mp4, m4a, etc.), VorbisComments (ogg, flac), Musepack (mpc), Monkey’s Audio (.ape) and WavPack (wv).","Categories
Audio Editing"
