Description,Category
"NEWS: NumPy 1.11.2 is the last release that will be made on sourceforge. Wheels for Windows, Mac, and Linux as well as archived source distributions can be found on PyPI.

Numerical Python adds a fast and sophisticated array facility to the Python language. NumPy is the most recent and most actively supported package. Numarray and Numeric are no longer supported.NEWS: NumPy 1.11.2 is the last release that will be made on sourceforge. Wheels for Windows, Mac, and Linux as well as archived source distributions can be found on PyPI.

Numerical Python adds a fast and sophisticated array facility to the Python language. NumPy is the most recent and most actively supported package. Numarray and Numeric are no longer supported.","Categories
Scientific/Engineering"
"Joone is a neural net framework written in Java(tm). It's composed by a core engine, a GUI editor and a distributed training environment and can be extended by writing new modules to implement new algorithms or architectures starting from base componentJoone is a neural net framework written in Java(tm). It's composed by a core engine, a GUI editor and a distributed training environment and can be extended by writing new modules to implement new algorithms or architectures starting from base component","Categories
Software Development, Distributed Computing, Artificial Intelligence"
"Luminance HDR is a complete suite for HDR imaging workflow. It provides a wide range of functionalities, during both the fusion stage and the tonemapping stage. Its graphical user interface, based on Qt5, runs on a variety of platforms, such as Microsoft Windows, Mac OS X 10.9 and later and several Unix flavors (Linux, FreeBSD and others).

Input images can be supplied in multiple formats, from JPEG to RAW files. In the same way, output can be saved in many different formats as well, from JPEG to TIFF (both 8 bit and 16 bit per channel), enabling all the power of your post processing tools.Luminance HDR is a complete suite for HDR imaging workflow. It provides a wide range of functionalities, during both the fusion stage and the tonemapping stage. Its graphical user interface, based on Qt5, runs on a variety of platforms, such as Microsoft Windows, Mac OS X 10.9 and later and several Unix flavors (Linux, FreeBSD and others).

Input images can be supplied in multiple formats, from JPEG to RAW files. In the same way, output can be saved in many different formats as well, from JPEG to TIFF (both 8 bit and 16 bit per channel), enabling all the power of your post processing tools.","Categories
Image Viewers, Digital Camera, Image Converters, Data Visualization"
NETGEN is an automatic 3d tetrahedral mesh generator. It accepts input from constructive solid geometry (CSG) or boundary representation (BRep) from STL file format. The connection to a geometry kernel allows the handling of IGES and STEP files. NETGEN contains modules for mesh optimization and hierarchical mesh refinement. Netgen is open source based on the LGPL license. It is available for Unix/Linux and Windows.NETGEN is an automatic 3d tetrahedral mesh generator. It accepts input from constructive solid geometry (CSG) or boundary representation (BRep) from STL file format. The connection to a geometry kernel allows the handling of IGES and STEP files. NETGEN contains modules for mesh optimization and hierarchical mesh refinement. Netgen is open source based on the LGPL license. It is available for Unix/Linux and Windows.,"Categories
Simulation, Mathematics"
"OS X FOSS portable applications are packaged so you can carry around on any portable device, USB thumb drive, iPod, portable hard drive, memory card, other portable device (or also on your internal hard disk), taking your preferences with you.OS X FOSS portable applications are packaged so you can carry around on any portable device, USB thumb drive, iPod, portable hard drive, memory card, other portable device (or also on your internal hard disk), taking your preferences with you.","Categories
Text Editors, Communications, Other/Nonlisted Topic, Office/Business, Internet, Simulation, Physics, Multimedia"
"SkyChart is a software to draw chart of the night sky for the amateur astronomer from a bunch of stars and nebulae catalogs. See main web page for full download.
This software is part of a full suite for astronomical observation:
https://sourceforge.net/projects/ccdciel/
https://sourceforge.net/projects/indistarter/
https://sourceforge.net/projects/eqmodgui/
Requirement:
https://sourceforge.net/projects/libpasastro/
See also:
https://sourceforge.net/projects/indi/SkyChart is a software to draw chart of the night sky for the amateur astronomer from a bunch of stars and nebulae catalogs. See main web page for full download.
This software is part of a full suite for astronomical observation:
https://sourceforge.net/projects/ccdciel/
https://sourceforge.net/projects/indistarter/
https://sourceforge.net/projects/eqmodgui/
Requirement:
https://sourceforge.net/projects/libpasastro/
See also:
https://sourceforge.net/projects/indi/","Categories
Astronomy"
"Please participate in the SURVEY on rgedit's future:
https://www.surveymonkey.com/s/VNMMJMJ
your answers are much appreciated!

Gedit (Gnome editor, www.gedit.org) plug-in allowing it to become an easy-to-use and yet light-weight IDE for the statistical programming environment, R (www.r-project.org).Please participate in the SURVEY on rgedit's future:
https://www.surveymonkey.com/s/VNMMJMJ
your answers are much appreciated!

Gedit (Gnome editor, www.gedit.org) plug-in allowing it to become an easy-to-use and yet light-weight IDE for the statistical programming environment, R (www.r-project.org).","Categories
Integrated Development Environments (IDE), Statistics"
"myFocuserPro2 is an ASCOM - INDI - LINUX telescope focuser with a large range of options.

226,000+ file downloads. The most popular focuser project.

(c) Copyright Robert Brown 2014-2023. All Rights Reserved.
Code or portions of code may not be copied or used without appropriate credit given to author.

myFP2E WiFi - https://sourceforge.net/projects/myfocuserpro2-esp32/ [ESP32/ESP8266]

myFP2N - Nextion touch screen display - https://sourceforge.net/projects/arduinoascomfocuserpro2diy/files/myFocuserPro2N%20NEXTION%20TFT%20DISPLAY/

Build a simple controller
https://sourceforge.net/projects/arduinoascomfocuserpro2diy/files/Documentation/Build%20a%20simple%20myFP2M-100.pdf/download

Spreadsheet to calculate what stepper motor to use.
https://sourceforge.net/projects/arduinoascomfocuserpro2diy/files/Documentation/Nema-Stepper-Motors.xlsx/download

CONTRIBUTIONS
If you find this useful, please send a donation to me via PayPal to rbb1brown@gmail.com (Robert Brown)myFocuserPro2 is an ASCOM - INDI - LINUX telescope focuser with a large range of options.

226,000+ file downloads. The most popular focuser project.

(c) Copyright Robert Brown 2014-2023. All Rights Reserved.
Code or portions of code may not be copied or used without appropriate credit given to author.

myFP2E WiFi - https://sourceforge.net/projects/myfocuserpro2-esp32/ [ESP32/ESP8266]

myFP2N - Nextion touch screen display - https://sourceforge.net/projects/arduinoascomfocuserpro2diy/files/myFocuserPro2N%20NEXTION%20TFT%20DISPLAY/

Build a simple controller
https://sourceforge.net/projects/arduinoascomfocuserpro2diy/files/Documentation/Build%20a%20simple%20myFP2M-100.pdf/download

Spreadsheet to calculate what stepper motor to use.
https://sourceforge.net/projects/arduinoascomfocuserpro2diy/files/Documentation/Nema-Stepper-Motors.xlsx/download

CONTRIBUTIONS
If you find this useful, please send a donation to me via PayPal to rbb1brown@gmail.com (Robert Brown)","Categories
Hardware, Astronomy, IoT"
"Mecrisp - A family of optimising native code Forth implementations for MSP430, ARM Cortex M, RISC-V RV32IM(C), MIPS M4K and FPGAs.Mecrisp - A family of optimising native code Forth implementations for MSP430, ARM Cortex M, RISC-V RV32IM(C), MIPS M4K and FPGAs.","Categories
Compilers, Scientific/Engineering, Assemblers"
"SUMO is an open source, highly portable, microscopic and continuous traffic simulation package designed to handle large networks. It allows for intermodal simulation including pedestrians and comes with a large set of tools for scenario creation.
The code and the issue tracker can be found at https://github.com/eclipse/sumo/
The documentation can be found at https://sumo.dlr.de/docs/SUMO is an open source, highly portable, microscopic and continuous traffic simulation package designed to handle large networks. It allows for intermodal simulation including pedestrians and comes with a large set of tools for scenario creation.
The code and the issue tracker can be found at https://github.com/eclipse/sumo/
The documentation can be found at https://sumo.dlr.de/docs/","Categories
Simulation, Education, Mechanical and Civil Engineering"
"Design PCR primers from DNA sequence. Widely used (190k Google hits for ""primer3""). From mispriming libraries to sequence quality data to the generation of internal oligos, primer3 does it. C&perl. Developers/testers/documenters needed.Design PCR primers from DNA sequence. Widely used (190k Google hits for ""primer3""). From mispriming libraries to sequence quality data to the generation of internal oligos, primer3 does it. C&perl. Developers/testers/documenters needed.","Categories
Bio-Informatics"
An Open Source model rocket simulator.An Open Source model rocket simulator.,"Categories
Simulation, Physics, Hobbies"
"A data visualization and processing tool for scanning probe microscopy (SPM, i.e. AFM, STM, MFM, SNOM/NSOM, ...) and profilometry data, useful also for general image and 2D data analysis.A data visualization and processing tool for scanning probe microscopy (SPM, i.e. AFM, STM, MFM, SNOM/NSOM, ...) and profilometry data, useful also for general image and 2D data analysis.","Categories
Bio-Informatics, Data Visualization, Physics, Data Analytics"
"The FFT library to ""Keep It Simple, Stupid""
This is the original home of kissfft.
Most recent development is at
https://github.com/mborgerding/kissfft
Please ask questions on stackoverflow.comThe FFT library to ""Keep It Simple, Stupid""
This is the original home of kissfft.
Most recent development is at
https://github.com/mborgerding/kissfft
Please ask questions on stackoverflow.com","Categories
Mathematics, Audio Analysis"
obo An umbrella organization for ontologies and structured shared controlled vocabularies for use across all biological and biomedical domainsobo An umbrella organization for ontologies and structured shared controlled vocabularies for use across all biological and biomedical domains,"Categories
Bio-Informatics"
"SaVi - simulate Starlink, Iridium, Globalstar, O3b, GPS, Galileo and other satellite constellations, modify them, or design your own. Requires Tcl/Tk and Unix libraries; 3D viewing option requires Geomview running on X Window.SaVi - simulate Starlink, Iridium, Globalstar, O3b, GPS, Galileo and other satellite constellations, modify them, or design your own. Requires Tcl/Tk and Unix libraries; 3D viewing option requires Geomview running on X Window.","Categories
3D Modeling, 3D Rendering, Simulation, Data Visualization, Astronomy"
"Free open source GPL instrument / musical chromatic tuner (like an electronic guitar tuner) for Windows, Windows Mobile, & Pocket PC. Displays name of note played & accurate indication of whether pitch is sharp, flat, or exact (relative to 440Hz A).Free open source GPL instrument / musical chromatic tuner (like an electronic guitar tuner) for Windows, Windows Mobile, & Pocket PC. Displays name of note played & accurate indication of whether pitch is sharp, flat, or exact (relative to 440Hz A).","Categories
Data Visualization, Audio Analysis"
"An easy to use application to design your kitchen garden or your house farm. Helps you plan your plants ( vegetables, fruit trees, herbs, flowers ) so that it respects the rules of crop rotation and companion planting. Based on square foot gardening. Requires Java 8.An easy to use application to design your kitchen garden or your house farm. Helps you plan your plants ( vegetables, fruit trees, herbs, flowers ) so that it respects the rules of crop rotation and companion planting. Based on square foot gardening. Requires Java 8.","Categories
Other/Nonlisted Topic, Ecosystem Sciences, Data Visualization"
Gpredict is a real-time satellite tracking and orbit prediction application. Gpredict can track an unlimited number of satellites and display the data in tables and various graphical view.Gpredict is a real-time satellite tracking and orbit prediction application. Gpredict can track an unlimited number of satellites and display the data in tables and various graphical view.,"Categories
Ham Radio, Astronomy, Physics"
CLIPS is a forward-chaining rule-based programming language written in C that also provides procedural and object-oriented programming facilities.CLIPS is a forward-chaining rule-based programming language written in C that also provides procedural and object-oriented programming facilities.,"Categories
Interpreters, Artificial Intelligence"
"NASA World Wind is a graphically rich 3D virtual globe for use on desktop computers running Windows. It combines NASA imagery generated from satellites that have produced Blue Marble, Landsat 7, SRTM, MODIS and more.NASA World Wind is a graphically rich 3D virtual globe for use on desktop computers running Windows. It combines NASA imagery generated from satellites that have produced Blue Marble, Landsat 7, SRTM, MODIS and more.","Categories
Image Viewers, Data Visualization, Education, GIS"
This repository is now frozen. The latest version of the RepRap project can be found at https://github.com/reprap.This repository is now frozen. The latest version of the RepRap project can be found at https://github.com/reprap.,"Categories
Printing, 3D Modeling, Robotics"
"An easy to use Java program that allows you to digitize data points off of scanned plots, scaled drawings, or orthographic photographs. Includes an automatic digitization feature that can automatically digitize many types of functional data.An easy to use Java program that allows you to digitize data points off of scanned plots, scaled drawings, or orthographic photographs. Includes an automatic digitization feature that can automatically digitize many types of functional data.","Categories
Image Converters, Information Analysis"
"The Spinal Cord Toolbox is a comprehensive and open-source library of analysis tools for multi-parametric MRI of the spinal cord.

IMPORTANT: SCT WEBSITE HAS NOW MOVED HERE: https://spinalcordtoolbox.com/The Spinal Cord Toolbox is a comprehensive and open-source library of analysis tools for multi-parametric MRI of the spinal cord.

IMPORTANT: SCT WEBSITE HAS NOW MOVED HERE: https://spinalcordtoolbox.com/","Categories
Software Development, Medical Physics"
"JaCoP is a Java Constraint Programming solver. It provides a significant number of (global) constraints to facilitate efficient modeling of combinatorial problems, as well as modular design of search. Documentation is available at project Web site.
Please, note that the sources from version 4.0 are only available at GitHub.JaCoP is a Java Constraint Programming solver. It provides a significant number of (global) constraints to facilitate efficient modeling of combinatorial problems, as well as modular design of search. Documentation is available at project Web site.
Please, note that the sources from version 4.0 are only available at GitHub.","Categories
Artificial Intelligence, Business Intelligence, Research"
A HP41CV simulator for the Android platform. This version is the second beta release and includes nearly all functionality of the HP41CV including running programmes. Programmes can be imported / exported on csv format. A simple programme editor inclA HP41CV simulator for the Android platform. This version is the second beta release and includes nearly all functionality of the HP41CV including running programmes. Programmes can be imported / exported on csv format. A simple programme editor incl,"Categories
Mathematics, Mobile"
"Artha is a handy thesaurus based on WordNet with distinct features like global hotkey look-up, passive desktop notifications, regular expression based search, etc.. Artha may be used as a free open-source replacement to the proprietary WordWeb Pro.Artha is a handy thesaurus based on WordNet with distinct features like global hotkey look-up, passive desktop notifications, regular expression based search, etc.. Artha may be used as a free open-source replacement to the proprietary WordWeb Pro.","Categories
Communications, Education, Linguistics"
"Qalculate! is a multi-purpose desktop calculator for GNU/Linux (now ported to Mac via MacPorts). It is small and simple to use but with much power and versatility underneath. Features include customizable functions, units, arbitrary precision, plotting, and a user-friendly interface (GTK+).

Qalculate! has now moved to GitHub (https://github.com/Qalculate). Get the latest version from http://qalculate.github.io/downloads.html.Qalculate! is a multi-purpose desktop calculator for GNU/Linux (now ported to Mac via MacPorts). It is small and simple to use but with much power and versatility underneath. Features include customizable functions, units, arbitrary precision, plotting, and a user-friendly interface (GTK+).

Qalculate! has now moved to GitHub (https://github.com/Qalculate). Get the latest version from http://qalculate.github.io/downloads.html.","Categories
KDE, GNOME, Mathematics, Calculators"
"JChart2D is a easy to use component for displaying two- dimensional traces in a coordinate system written in Java. It supports real-time (animated) charting, custom trace rendering, Multithreading, viewports, automatic scaling and labels.
Former UI controls (right click context menu, file menu) have been ported to the subproject jchart2d-uimenu (https://sourceforge.net/projects/jchart2d-uimenu.jchart2d.p/) for the benefit of having no dependencies to 3rd party libraries.JChart2D is a easy to use component for displaying two- dimensional traces in a coordinate system written in Java. It supports real-time (animated) charting, custom trace rendering, Multithreading, viewports, automatic scaling and labels.
Former UI controls (right click context menu, file menu) have been ported to the subproject jchart2d-uimenu (https://sourceforge.net/projects/jchart2d-uimenu.jchart2d.p/) for the benefit of having no dependencies to 3rd party libraries.","Categories
User Interface (UI), Library, Graphics, Data Visualization, Charting Libraries"
"Barbecue is a Java library that enables the creation of barcodes in a variety of standard formats that can be displayed as Swing/AWT components, included in printed output, generated as EPS and SVG and displayed in a web application.Barbecue is a Java library that enables the creation of barcodes in a variety of standard formats that can be displayed as Swing/AWT components, included in printed output, generated as EPS and SVG and displayed in a web application.","Categories
Point of Sale (POS), Dynamic Content, Printing, Graphics, Scientific/Engineering"
