Description,Category
Interactive console based front-end for The SWORD Project.Interactive console based front-end for The SWORD Project.,"Categories
Religion and Philosophy"
"برنامج الاذان.
برنامج اوقات الصلاة.برنامج الاذان.
برنامج اوقات الصلاة.","Categories
Religion and Philosophy"
"Program do analizy i studiowania, komentowania Pisma Świętego.Program do analizy i studiowania, komentowania Pisma Świętego.","Categories
Religion and Philosophy"
"LibreOffice is a free and powerful office suite. Word processor, spreadsheet, presentations, diagrams, databases, formula editors, charts, and more. Compatible with Windows, Mac, and Linux.Project Samples","Categories
Religion and Philosophy, Education, Mobile"
"من خلال هدا السكريبت تستطيع البحث في القران الكريم بعدة طرق متوفرة كما يمكنك معرفة تفسيرها وكدا التفسير بللغة الإنجليزية يمكن إضافة تفاسير اخري مع القت فقط تابع موقعنا علي
http://quran4search.sourceforge.netمن خلال هدا السكريبت تستطيع البحث في القران الكريم بعدة طرق متوفرة كما يمكنك معرفة تفسيرها وكدا التفسير بللغة الإنجليزية يمكن إضافة تفاسير اخري مع القت فقط تابع موقعنا علي
http://quran4search.sourceforge.net","Categories
Religion and Philosophy, Education"
"A new Christian OS based on OpenSUSE 13.2 with K Desktop Environment, xiphos and Bibletime for Bible Study, Openlp for projection software, libreoffice for office suite, and kwin5 for windows manager, plus much more. Enjoy!A new Christian OS based on OpenSUSE 13.2 with K Desktop Environment, xiphos and Bibletime for Bible Study, Openlp for projection software, libreoffice for office suite, and kwin5 for windows manager, plus much more. Enjoy!","Categories
KDE, Religion and Philosophy, OS distribution"
"Este proyecto busca poner a disposición de la gente la Biblia Platense, traducción de la Biblia de Mons. Juan Straubinger directamente al español, en un formato adecuado para su lectura y consulta en dispositivos móviles, sitios web o libros electrónicos.Este proyecto busca poner a disposición de la gente la Biblia Platense, traducción de la Biblia de Mons. Juan Straubinger directamente al español, en un formato adecuado para su lectura y consulta en dispositivos móviles, sitios web o libros electrónicos.","Categories
Religion and Philosophy, Printing"
Only in the Zikr of Allah will your heart find peace.Only in the Zikr of Allah will your heart find peace.,"Categories
Religion and Philosophy"
"Astrology software project that will chart user data to an Astrological chart, a Tarot display, the Kabbalah tree of Life highlighting aspects and planets correspondence to those systems.

Most of the code has already been written and will be uploaded soon.

Need for C# developers volunteers to refactor, enhance and develop the remainder of the application. Please volunteer by sending an email and describing your C# skills.

The source will be posted after we have refactored and updated part of the components like a Bing Map API that are obsolete, and dependencies to some libraries.

Get in touch and help us bring it out to everyone.Astrology software project that will chart user data to an Astrological chart, a Tarot display, the Kabbalah tree of Life highlighting aspects and planets correspondence to those systems.

Most of the code has already been written and will be uploaded soon.

Need for C# developers volunteers to refactor, enhance and develop the remainder of the application. Please volunteer by sending an email and describing your C# skills.

The source will be posted after we have refactored and updated part of the components like a Bing Map API that are obsolete, and dependencies to some libraries.

Get in touch and help us bring it out to everyone.","Categories
Religion and Philosophy, New Age, Education"
"Finally an operating system specifically set up for Christians in ministry with one of the best desktop environments available - KDE. Xiphos for Bible Study. Chromium for web-browsing. Openlp for worship projection software. And much more to aid in your ministry needs. As a young minister, I use my laptop for a lot in ministry. I hope this helps you too.
God Bless and if you have any problems, please let me know. I'd be happy to work on it.Finally an operating system specifically set up for Christians in ministry with one of the best desktop environments available - KDE. Xiphos for Bible Study. Chromium for web-browsing. Openlp for worship projection software. And much more to aid in your ministry needs. As a young minister, I use my laptop for a lot in ministry. I hope this helps you too.
God Bless and if you have any problems, please let me know. I'd be happy to work on it.","Categories
KDE, Religion and Philosophy, OS distribution"
"LibreOffice is a free and powerful office suite. Word processor, spreadsheet, presentations, diagrams, databases, formula editors, charts, and more. Compatible with Windows, Mac, and Linux.License
Other License","Categories
Desktop Environment, Games/Entertainment, New Age"
"Alive Parish is a Parish / Church Management software of professional quality, but simple and easy to use. Live demo: https://demo.aliveparish.com, Website: www.aliveparish.com

Alive Parish takes care of all day-to-day parish office functions: Family registers, Subscription payment, Mass Bookings with Receipts. Certificates for Membership, Baptism, Marriage etc. Surveys to help Pastors better assess and plan programs to enliven their Church / Parish. Version 2.0 adds complete Church accounting for your parish.

Write back in our Discussion Forum / Mailing List with any questions or help. We'd love to hear from you.Alive Parish is a Parish / Church Management software of professional quality, but simple and easy to use. Live demo: https://demo.aliveparish.com, Website: www.aliveparish.com

Alive Parish takes care of all day-to-day parish office functions: Family registers, Subscription payment, Mass Bookings with Receipts. Certificates for Membership, Baptism, Marriage etc. Surveys to help Pastors better assess and plan programs to enliven their Church / Parish. Version 2.0 adds complete Church accounting for your parish.

Write back in our Discussion Forum / Mailing List with any questions or help. We'd love to hear from you.","Categories
Religion and Philosophy"
"Create a cross themed wallpaper by adjusting the sliders then pressing the camera icon. Change background or particle shape.

A free live wallpaper version is available for Android via the Play Store (""ColorCross Free"".) The video is of that live wallpaper in action.

Done in 9 events in Construct 2.Create a cross themed wallpaper by adjusting the sliders then pressing the camera icon. Change background or particle shape.

A free live wallpaper version is available for Android via the Play Store (""ColorCross Free"".) The video is of that live wallpaper in action.

Done in 9 events in Construct 2.","Categories
Screen Savers, Religion and Philosophy, Graphics"
"Islamic Prayer Times is particularly useful for Muslims who cannot hear the traditional call-to-prayers. It can help them accurately calculate the prayer times for their location and reminds them about the next Azan.

The first thing you need to do is select your location, so that the application can re-calculate the prayer times taking into consideration the time zone you are in. The list of countries covers the entire Globe and the geographical coordinates are automatically determined.Islamic Prayer Times is particularly useful for Muslims who cannot hear the traditional call-to-prayers. It can help them accurately calculate the prayer times for their location and reminds them about the next Azan.

The first thing you need to do is select your location, so that the application can re-calculate the prayer times taking into consideration the time zone you are in. The list of countries covers the entire Globe and the geographical coordinates are automatically determined.","Categories
Religion and Philosophy, New Age, Humanitarianism"
"Liturgia Godzin na telefon Android.
Potrzebuje połączenia z siecią do pobrania danych (mała porcja).
Ponieważ aplikacja poza google market to w ustawieniach telefonu należy zaznaczyć możliwość instalowania aplikacji z nieznanych źródeł.
(Ustawienia->Aplikacje->Nieznane źródła)
W przypadku uwag proszę o kontakt.Liturgia Godzin na telefon Android.
Potrzebuje połączenia z siecią do pobrania danych (mała porcja).
Ponieważ aplikacja poza google market to w ustawieniach telefonu należy zaznaczyć możliwość instalowania aplikacji z nieznanych źródeł.
(Ustawienia->Aplikacje->Nieznane źródła)
W przypadku uwag proszę o kontakt.","Categories
Religion and Philosophy"
"This software is specifically intended to french islamic translators. However, it can, and maybe would, be adapted to other languages in a near future.
It gather a set of tools that can be usefull for arabic-french islamic translators.This software is specifically intended to french islamic translators. However, it can, and maybe would, be adapted to other languages in a near future.
It gather a set of tools that can be usefull for arabic-french islamic translators.","Categories
Religion and Philosophy, Languages, Dictionary"
Lo scopo di questo software è quello di facilitare l'applicazione della legge del buon samaritano in base alla quale un indigente può ritirare gratuitamente certi prodotti alimentari da un operatore consentendo all'operatore di scaricare l'iva e lo stesso puo' fare una onlusLo scopo di questo software è quello di facilitare l'applicazione della legge del buon samaritano in base alla quale un indigente può ritirare gratuitamente certi prodotti alimentari da un operatore consentendo all'operatore di scaricare l'iva e lo stesso puo' fare una onlus,"Categories
Religion and Philosophy, Politics"
"Do you recycle what other people call garbage?
Do you like to give stuff away? Are you a ""Freegan""?
Do you want to be notified before your food expires?
Do you want to be notified about product recalls?

If yes to any of those questions, this App might be for you.Do you recycle what other people call garbage?
Do you like to give stuff away? Are you a ""Freegan""?
Do you want to be notified before your food expires?
Do you want to be notified about product recalls?

If yes to any of those questions, this App might be for you.","Categories
Social Networking, Humanitarianism"
"multi function Islamic prayer time software
* Prayer Times.
* Qibla Directions.
* Hijri Converter for check your Iqama Expiry or Other Expiry Date.

prayer time, Islamic prayer time, prayer timing , azan time, download best prayer time software, best namaz software, best athan software, hijri converter, arabic date converter, best Arabic date converter, best hijri to Gregorian converter, free date converter, best free date converter, best hijri to Gregorian date converter,azan time. wadho, namaz time, salah time, hijri to Gregorian converter, Gregorian to hijri converter, Arabic date converter, English date converter, qibla direction, makkah azan, madina azan, best azan, bismillah, bismillah wallpaper.
prayer time, Islamic prayer time, prayer timing , azan time, download best prayer time software, best namaz software, best athan software, hijri converter, arabic date converter, best Arabic date converter, best hijri to Gregorian converter, free date converter, best free date comulti function Islamic prayer time software
* Prayer Times.
* Qibla Directions.
* Hijri Converter for check your Iqama Expiry or Other Expiry Date.

prayer time, Islamic prayer time, prayer timing , azan time, download best prayer time software, best namaz software, best athan software, hijri converter, arabic date converter, best Arabic date converter, best hijri to Gregorian converter, free date converter, best free date converter, best hijri to Gregorian date converter,azan time. wadho, namaz time, salah time, hijri to Gregorian converter, Gregorian to hijri converter, Arabic date converter, English date converter, qibla direction, makkah azan, madina azan, best azan, bismillah, bismillah wallpaper.
prayer time, Islamic prayer time, prayer timing , azan time, download best prayer time software, best namaz software, best athan software, hijri converter, arabic date converter, best Arabic date converter, best hijri to Gregorian converter, free date converter, best free date co","Categories
Office/Business, Religion and Philosophy, Desktop Publishing"
"This software is main objective is to give the possibility to the end-user to query the Quran file to find some verse or word and to display it with the desired translation.
There is actually 80 translations. You can either download the Full Version with all the translations include or the Minimal Version with only English and French translation then download other translation file of your choice.This software is main objective is to give the possibility to the end-user to query the Quran file to find some verse or word and to display it with the desired translation.
There is actually 80 translations. You can either download the Full Version with all the translations include or the Minimal Version with only English and French translation then download other translation file of your choice.","Categories
Religion and Philosophy"
"Software in Java 7 Swing and Derby database to handle events of solidarity in neighborhoods and view events in Android app.

Un software in Java 7 Swing e database Derby per gestire eventi di solidarietà nei quartieri e visualizzare gli eventi in app AndroidSoftware in Java 7 Swing and Derby database to handle events of solidarity in neighborhoods and view events in Android app.

Un software in Java 7 Swing e database Derby per gestire eventi di solidarietà nei quartieri e visualizzare gli eventi in app Android","Categories
Sociology, Humanitarianism"
Haqq - Al-Qur'an Reading Scoring SystemHaqq - Al-Qur'an Reading Scoring System,"Categories
Religion and Philosophy, Education"
"LibreOffice is a free and powerful office suite. Word processor, spreadsheet, presentations, diagrams, databases, formula editors, charts, and more. Compatible with Windows, Mac, and Linux.","Categories
Front-Ends, Religion and Philosophy, JSON"
"LibreOffice is a free and powerful office suite. Word processor, spreadsheet, presentations, diagrams, databases, formula editors, charts, and more. Compatible with Windows, Mac, and Linux.License
GNU Library or Lesser General Public License version 2.0 (LGPLv2), GNU General Public License version 3.0 (GPLv3)","Categories
Religion and Philosophy, Information Analysis, History"
"LibreOffice is a free and powerful office suite. Word processor, spreadsheet, presentations, diagrams, databases, formula editors, charts, and more. Compatible with Windows, Mac, and Linux.License
Public Domain","Categories
Front-Ends, Dynamic Content, Religion and Philosophy"
"Ensiklopedia Islam is a set of Al-Qur'an and hadith applications. This application is depended on gambas3-ide, gambas3-gb-db-sqlite3 and Ayat 1.2.2. Its installation is on the Wiki page.

Ensiklopedia Islam adalah kumpulan aplikasi Al-Qur'an dan hadits. Dependensi aplikasi ini adalah gambas3-ide, gambas3-gb-db-sqlite3, dan Ayat 1.2.2. Cara pemasangannya ada di halaman Wiki.Ensiklopedia Islam is a set of Al-Qur'an and hadith applications. This application is depended on gambas3-ide, gambas3-gb-db-sqlite3 and Ayat 1.2.2. Its installation is on the Wiki page.

Ensiklopedia Islam adalah kumpulan aplikasi Al-Qur'an dan hadits. Dependensi aplikasi ini adalah gambas3-ide, gambas3-gb-db-sqlite3, dan Ayat 1.2.2. Cara pemasangannya ada di halaman Wiki.","Categories
GNOME, Religion and Philosophy, Digital Preservation"
"This is an application designed to arrange / lay out a Chinese or Japanese Sutra text in the traditional layout (from top to bottom, from right to left). The input can be any file (the application can pick out the relevant parts) and the output is the layout (arranged in HTML file(s)) and the content (a plain text file with the content). Beside this, you can get a statistics about the ideograms and can exclude certain characters or ideograms from the content.This is an application designed to arrange / lay out a Chinese or Japanese Sutra text in the traditional layout (from top to bottom, from right to left). The input can be any file (the application can pick out the relevant parts) and the output is the layout (arranged in HTML file(s)) and the content (a plain text file with the content). Beside this, you can get a statistics about the ideograms and can exclude certain characters or ideograms from the content.","Categories
Text Processing, Religion and Philosophy, Printing"
"Description:
Call Of Heaven is a religious application for all Muslims.
It runs only Windows operating system.
The application will remind you everyday about your 5 prayer times by saying beautiful Azan.

Instruction:
After Installation when you run the application for the first time a window will appear to you for setting up the 5 prayer times.
N.B: The application is build up on 12 hour basis.
So please check out the AM/PM.
While you fixed some time schedule then
click on OK button then the form will closed and a system tray icon will appear in left bottom of your computer.
Clicking the right button of the mouse over the system tray icon you can edit schedule / stop azan / get help / exit the application.
Once you set up it will work for everyday.
Developer:
Md. Musabbir Al Mamun

Contact:
musabbir.mamun@gmail.com
http://www.facebook.com/musabbir.mamun
cell no.+8801726315133
ID: CE-10021, Dept.of CSE, MBSTU.
Bangladesh.Description:
Call Of Heaven is a religious application for all Muslims.
It runs only Windows operating system.
The application will remind you everyday about your 5 prayer times by saying beautiful Azan.

Instruction:
After Installation when you run the application for the first time a window will appear to you for setting up the 5 prayer times.
N.B: The application is build up on 12 hour basis.
So please check out the AM/PM.
While you fixed some time schedule then
click on OK button then the form will closed and a system tray icon will appear in left bottom of your computer.
Clicking the right button of the mouse over the system tray icon you can edit schedule / stop azan / get help / exit the application.
Once you set up it will work for everyday.
Developer:
Md. Musabbir Al Mamun

Contact:
musabbir.mamun@gmail.com
http://www.facebook.com/musabbir.mamun
cell no.+8801726315133
ID: CE-10021, Dept.of CSE, MBSTU.
Bangladesh.","Categories
Religion and Philosophy"
"DBST is a cross-platform, open source, Bible study tool aiming to provide a feature-rich experience to learning the Word of God.DBST is a cross-platform, open source, Bible study tool aiming to provide a feature-rich experience to learning the Word of God.","Categories
Religion and Philosophy, Education"
"WP-MyChurch ist eine freie Software für die Verwaltung von Kirchen/Gemeinden. Die Idee ist durch MyChurchManager (https://sourceforge.net/projects/mychurchmanager/) entstanden. Als Grundlage wird ein portabler WebServer (http://www.usbwebserver.net/en/) und WordPress mit vorinstallierten und vorkonfigurierten Plugins eingesetzt. Dadurch ist das portable System sehr flexibel und lässt sich schnell und einfach erweitern, beziehungsweise anpassen. Das Verwalten einer Gemeinde oder Kirche wird zu einer bequemen Sache, und Sie können die alten Excel-Listen vergessen!

Weitere Informationen finden Sie im Wiki


Ich hoffe diese Software gefällt euch. Wenn nicht, lasst es mich wissen. Verbesserungsvorschläge sind sehr erwünscht!

Gruß SergejWP-MyChurch ist eine freie Software für die Verwaltung von Kirchen/Gemeinden. Die Idee ist durch MyChurchManager (https://sourceforge.net/projects/mychurchmanager/) entstanden. Als Grundlage wird ein portabler WebServer (http://www.usbwebserver.net/en/) und WordPress mit vorinstallierten und vorkonfigurierten Plugins eingesetzt. Dadurch ist das portable System sehr flexibel und lässt sich schnell und einfach erweitern, beziehungsweise anpassen. Das Verwalten einer Gemeinde oder Kirche wird zu einer bequemen Sache, und Sie können die alten Excel-Listen vergessen!

Weitere Informationen finden Sie im Wiki


Ich hoffe diese Software gefällt euch. Wenn nicht, lasst es mich wissen. Verbesserungsvorschläge sind sehr erwünscht!

Gruß Sergej","Categories
Religion and Philosophy"
Command line cyber magic sorcery tool for casting spells and creating mantras.Command line cyber magic sorcery tool for casting spells and creating mantras.,"Categories
New Age"
