Description,Category
"PINN is an enhancement of NOOBS for the Raspberry Pi.
It allows the installation of MULTIPLE OSes on the same SD/HDD/SSD device with an OS chooser when booting.
Built-in Admin tools allow you to backup & restore your OSes and fix OS problems by including basic disk checking, password changing, and a command shell.PINN is an enhancement of NOOBS for the Raspberry Pi.
It allows the installation of MULTIPLE OSes on the same SD/HDD/SSD device with an OS chooser when booting.
Built-in Admin tools allow you to backup & restore your OSes and fix OS problems by including basic disk checking, password changing, and a command shell.","Categories
Installation/Setup, OS distribution"
"RedDwarf is a horizontally scalable application server for low latency apps such as online games, virtual worlds, and social networking applications. It is the official community fork for Project Darkstar, previously sponsored by Sun Microsystems.RedDwarf is a horizontally scalable application server for low latency apps such as online games, virtual worlds, and social networking applications. It is the official community fork for Project Darkstar, previously sponsored by Sun Microsystems.","Categories
Games/Entertainment, Distributed Computing, Application Servers"
"One-JAR(TM) is a simple solution to a vexing problem in Java: how to distribute an application as a single jar-file, when it depends on multiple other jar-files. One-JAR uses a custom classloader to discover library jar files inside the main jar.One-JAR(TM) is a simple solution to a vexing problem in Java: how to distribute an application as a single jar-file, when it depends on multiple other jar-files. One-JAR uses a custom classloader to discover library jar files inside the main jar.","Categories
Build Tools, Installation/Setup"
"NetHogs is a small 'net top' tool. Instead of breaking the traffic down per protocol or per subnet, like most tools do, it groups bandwidth by process. NetHogs does not rely on a special kernel module to be loaded.NetHogs is a small 'net top' tool. Instead of breaking the traffic down per protocol or per subnet, like most tools do, it groups bandwidth by process. NetHogs does not rely on a special kernel module to be loaded.","Categories
Monitoring"
"QP real-time embedded frameworks (RTEFs) provide lightweight, modern event-driven architecture based on active objects (actors) and hierarchical state machines. The matching QM model-based design tool and other host-based tools complement the QP frameworks by supporting graphical modeling, code generation, software tracing and unit testing for event-driven embedded software. Visit https://www.state-machine.com for more information.

The QP RTEFs can run on bare-metal single-chip microcontrollers, completely replacing a traditional RTOS. The frameworks contain a selection of built-in real-time kernels (RTOS kernels), such as the cooperative QV kernel, the preemptive non-blocking QK kernel, and the unique preemptive, dual-mode (blocking/non-blocking) QXK kernel. Native QP ports and ready-to-use examples are provided for ARM Cortex-M (M0/M0+/M3/M4F/M7) as well as other CPUs.

The QP RTEFs can also work with many traditional RTOSes and desktop OSes, such as Linux and Windows.QP real-time embedded frameworks (RTEFs) provide lightweight, modern event-driven architecture based on active objects (actors) and hierarchical state machines. The matching QM model-based design tool and other host-based tools complement the QP frameworks by supporting graphical modeling, code generation, software tracing and unit testing for event-driven embedded software. Visit https://www.state-machine.com for more information.

The QP RTEFs can run on bare-metal single-chip microcontrollers, completely replacing a traditional RTOS. The frameworks contain a selection of built-in real-time kernels (RTOS kernels), such as the cooperative QV kernel, the preemptive non-blocking QK kernel, and the unique preemptive, dual-mode (blocking/non-blocking) QXK kernel. Native QP ports and ready-to-use examples are provided for ARM Cortex-M (M0/M0+/M3/M4F/M7) as well as other CPUs.

The QP RTEFs can also work with many traditional RTOSes and desktop OSes, such as Linux and Windows.","Categories
Frameworks, Operating System Kernels, Embedded Systems"
"NetworkMiner is a Network Forensic Analysis Tool (NFAT) for Windows that can detect the OS, hostname and open ports of network hosts through packet sniffing or by parsing a PCAP file. NetworkMiner can also extract transmitted files from network traffic.

New versions of NetworkMiner are released exclusively on www.netresec.com since version 2.0 of NetworkMiner. This page on SourceForge is only kept to provide hosting of older versions of the software.

To get the latest version of NetworkMiner, please visit:
http://www.netresec.com/?page=NetworkMinerNetworkMiner is a Network Forensic Analysis Tool (NFAT) for Windows that can detect the OS, hostname and open ports of network hosts through packet sniffing or by parsing a PCAP file. NetworkMiner can also extract transmitted files from network traffic.

New versions of NetworkMiner are released exclusively on www.netresec.com since version 2.0 of NetworkMiner. This page on SourceForge is only kept to provide hosting of older versions of the software.

To get the latest version of NetworkMiner, please visit:
http://www.netresec.com/?page=NetworkMiner","Categories
Security, Monitoring, Information Analysis"
"PeerGuardian is a privacy oriented firewall application. It blocks connections to and from hosts specified in huge blocklists (thousands or millions of IP ranges). Its origin seeds in targeting aggressive IPs while you use P2P.

PeerGuardian Linux:
Not developed actively anymore. Team might still be around. Some unreleased changes on git. Outdated technology.

Peerguardian OS X:
Not developed anymore. We've lost contact with the OS X developer.

PeerGuardian Windows:
Not developed anymore. It's highly recommended to use PeerBlock instead, which is a continuation of PeerGuardian's development in Windows, with bug fixes and support for Windows Vista and Windows 7. Collaboration with peerblock.com is welcome!

PeerGuardian is an open project. Not only is its source code open for you to read, use, and modify - but the project is open for you to join and contribute in any form (code, documentation, bug reports, web and support).PeerGuardian is a privacy oriented firewall application. It blocks connections to and from hosts specified in huge blocklists (thousands or millions of IP ranges). Its origin seeds in targeting aggressive IPs while you use P2P.

PeerGuardian Linux:
Not developed actively anymore. Team might still be around. Some unreleased changes on git. Outdated technology.

Peerguardian OS X:
Not developed anymore. We've lost contact with the OS X developer.

PeerGuardian Windows:
Not developed anymore. It's highly recommended to use PeerBlock instead, which is a continuation of PeerGuardian's development in Windows, with bug fixes and support for Windows Vista and Windows 7. Collaboration with peerblock.com is welcome!

PeerGuardian is an open project. Not only is its source code open for you to read, use, and modify - but the project is open for you to join and contribute in any form (code, documentation, bug reports, web and support).","Categories
File Sharing, Firewall"
"Untangle is a Linux-based network gateway with pluggable modules for network applications like spam blocking, web filtering, anti-virus, anti-spyware, intrusion prevention, bandwidth control, captive portal, VPN, firewall, and more. Visit http://untangle.comUntangle is a Linux-based network gateway with pluggable modules for network applications like spam blocking, web filtering, anti-virus, anti-spyware, intrusion prevention, bandwidth control, captive portal, VPN, firewall, and more. Visit http://untangle.com","Categories
Email, Security, Networking, Logging, Internet"
"A GNU Emacs binary distribution for users who want to use Emacs natively in 64-Bit Windows (x86_64). This project will focus on providing unmodified, up-to-date (from git master and newest release), and optimized w64 binary builds.

Also available on GitHub:

https://github.com/zklhp/emacs-w64/releases

For details concerning the build, please see the wiki page on https://sourceforge.net/p/emacsbinw64/wiki/Build%20guideline%20for%20MSYS2-MinGW-w64%20system/. 中文版请看这里：
http://chriszheng.science/2015/03/19/Chinese-version-of-Emacs-building-guideline/.A GNU Emacs binary distribution for users who want to use Emacs natively in 64-Bit Windows (x86_64). This project will focus on providing unmodified, up-to-date (from git master and newest release), and optimized w64 binary builds.

Also available on GitHub:

https://github.com/zklhp/emacs-w64/releases

For details concerning the build, please see the wiki page on https://sourceforge.net/p/emacsbinw64/wiki/Build%20guideline%20for%20MSYS2-MinGW-w64%20system/. 中文版请看这里：
http://chriszheng.science/2015/03/19/Chinese-version-of-Emacs-building-guideline/.","Categories
Emacs, OS distribution"
"Get Linux is a portable and open source download client, which interacts with a server side library for downloading numerous Linux-based operating systems. With the help of this utility, you can download more than 100 Linux distributions, by simply selecting their name from the available list. This makes it easy to obtain the most updated Linux OS, without having to manually search and download the ISO file via a browser.Get Linux is a portable and open source download client, which interacts with a server side library for downloading numerous Linux-based operating systems. With the help of this utility, you can download more than 100 Linux distributions, by simply selecting their name from the available list. This makes it easy to obtain the most updated Linux OS, without having to manually search and download the ISO file via a browser.","Categories
Installation/Setup"
