Description,Category
"IIPImage is a high performance image server and client for viewing, navigating and zooming within high resolution images on the internet. Images in TIFF or JPEG2000 format are efficiently streamed by the server to a choice of clients that can be embedded within a web page.IIPImage is a high performance image server and client for viewing, navigating and zooming within high resolution images on the internet. Images in TIFF or JPEG2000 format are efficiently streamed by the server to a choice of clients that can be embedded within a web page.","Categories
Dynamic Content, Data Visualization, Web Services"
mod_aspdotnet is a loadable Apache 2 module for serving ASP.NET content using the Microsoft's ASP.NET hosting and .NET runtime within the Apache HTTP Server process. Non-Windows users should look at mono (mod_mono) for an alternate implementation.mod_aspdotnet is a loadable Apache 2 module for serving ASP.NET content using the Microsoft's ASP.NET hosting and .NET runtime within the Apache HTTP Server process. Non-Windows users should look at mono (mod_mono) for an alternate implementation.,"Categories
Dynamic Content, Application Servers"
"GeSHi - Generic Syntax Highlighter for PHP. Used to highlight almost any code for the web. Nearly 150 supported languages: PHP, HTML, C and more. Styles can be changed on the fly and CSS classes can be used to reduce the amount of XHTML compliant output.GeSHi - Generic Syntax Highlighter for PHP. Used to highlight almost any code for the web. Nearly 150 supported languages: PHP, HTML, C and more. Styles can be changed on the fly and CSS classes can be used to reduce the amount of XHTML compliant output.","Categories
Dynamic Content, Software Development, Presentation"
"Cyberfox is a Mozilla-based Internet browser designed to take advantage of 64-bit architecture but a 32-bit version is also available. The application provides a higher memory performance when navigating your favorite pages.

Compatible Windows Operating Systems:

Windows 7/7 SP1 OS x86|x64
Windows 8/8.x OS x86|x64
Windows 10 OS x86|x64
(Windows XP Unsupported, Windows Vista Unsupported)

Dedicated support forums.
https://8pecxstudios.com/Forums/index.php

Dedicated Contact Forms.
https://cyberfox.8pecxstudios.com/contact-us

Profile Buddy:
Transfer your profile from any Mozilla base browser.
https://8pecxstudios.com/Forums/viewtopic.php?f=6&t=350

See notifications for critical release information:
https://cyberfox.8pecxstudios.com/notifications

Tell us what you think and write a review.

Future direction of project https://8pecxstudios.com/Forums/viewtopic.php?f=6&t=1756Cyberfox is a Mozilla-based Internet browser designed to take advantage of 64-bit architecture but a 32-bit version is also available. The application provides a higher memory performance when navigating your favorite pages.

Compatible Windows Operating Systems:

Windows 7/7 SP1 OS x86|x64
Windows 8/8.x OS x86|x64
Windows 10 OS x86|x64
(Windows XP Unsupported, Windows Vista Unsupported)

Dedicated support forums.
https://8pecxstudios.com/Forums/index.php

Dedicated Contact Forms.
https://cyberfox.8pecxstudios.com/contact-us

Profile Buddy:
Transfer your profile from any Mozilla base browser.
https://8pecxstudios.com/Forums/viewtopic.php?f=6&t=350

See notifications for critical release information:
https://cyberfox.8pecxstudios.com/notifications

Tell us what you think and write a review.

Future direction of project https://8pecxstudios.com/Forums/viewtopic.php?f=6&t=1756","Categories
Browsers"
"A small, easy-to-use program to access itunesU media & podcasts in Linux and Android.A small, easy-to-use program to access itunesU media & podcasts in Linux and Android.","Categories
Browsers, Education, Podcast"
"AirSnort is a wireless LAN (WLAN) tool which cracks encryption keys on 802.11b WEP networks. AirSnort operates by passively monitoring transmissions, computing the encryption key when enough packets have been gathered.AirSnort is a wireless LAN (WLAN) tool which cracks encryption keys on 802.11b WEP networks. AirSnort operates by passively monitoring transmissions, computing the encryption key when enough packets have been gathered.","Categories
Cryptography, Monitoring, Internet"
"ILIAS is a web base learning management system (LMS, VLE). Features: Courses, SCORM 1.2 and 2004, mail, forum, chat, groups, podcast, file sharing, authoring, CMS, test, wiki, personal desktop, LOM, LDAP, role based access, see http://www.ilias.de/ILIAS is a web base learning management system (LMS, VLE). Features: Courses, SCORM 1.2 and 2004, mail, forum, chat, groups, podcast, file sharing, authoring, CMS, test, wiki, personal desktop, LOM, LDAP, role based access, see http://www.ilias.de/","Categories
Site Management, Education, Learning Management Systems (LMS)"
YPOPs! is an application which emulates a POP3/SMTP mail server and provides free POP3 and SMTP access to Yahoo! Mail. It does not depend on Yahoo's POP3/SMTP mail server. You can use a mail client of your choice!YPOPs! is an application which emulates a POP3/SMTP mail server and provides free POP3 and SMTP access to Yahoo! Mail. It does not depend on Yahoo's POP3/SMTP mail server. You can use a mail client of your choice!,"Categories
POP3, Mail Transfer Agents, Browsers, Email Servers"
"OpenAS2 is a java-based implementation of the EDIINT AS2 standard. It is intended to be used as a server. It is extremely configurable and supports a wide variety of signing and encryption algorithms.
Requirements:
- Java 1.8 or newer (tested with the LTS versions of Java up to 17)
- Any OS that runs Java

Planned enhancements in the next major release:
- User interace configuration GUI
- Certificate Exchange Management

IMPORTANT: Java 1.7 is no longer supported.OpenAS2 is a java-based implementation of the EDIINT AS2 standard. It is intended to be used as a server. It is extremely configurable and supports a wide variety of signing and encryption algorithms.
Requirements:
- Java 1.8 or newer (tested with the LTS versions of Java up to 17)
- Any OS that runs Java

Planned enhancements in the next major release:
- User interace configuration GUI
- Certificate Exchange Management

IMPORTANT: Java 1.7 is no longer supported.","Categories
Communications, Security, Internet, Load Balancers"
"Compiere ERP+CRM is the leading open source ERP solution for Distribution, Retail, Manufacturing and Service industries. Compiere automates accounting, supply chain, inventory and sales orders. Compiere ERP is distributed under GPL V2 by Compiere, Inc.Compiere ERP+CRM is the leading open source ERP solution for Distribution, Retail, Manufacturing and Service industries. Compiere automates accounting, supply chain, inventory and sales orders. Compiere ERP is distributed under GPL V2 by Compiere, Inc.","Categories
Enterprise, CRM, ERP, Accounting, Point of Sale (POS), Dynamic Content, Build Tools"
