Description,Category
"A dynamic server-side weblog (blog) system, implementing; RSS XML output, XML-RPC Blogger API, Flexible design using Java custom tags, secure web interface to post / manage content. Compatible with 3rd party blog tools.A dynamic server-side weblog (blog) system, implementing; RSS XML output, XML-RPC Blogger API, Flexible design using Java custom tags, secure web interface to post / manage content. Compatible with 3rd party blog tools.","Categories
Communications, Other/Nonlisted Topic, Dynamic Content, Sociology"
"Android jAlcoMeter software (distributed in Android Market with the name jAlcoMeter). Localized to English and Finnish. This project also includes the old Java MIDP alcometer software for mobile phones, which is only in Finnish.Android jAlcoMeter software (distributed in Android Market with the name jAlcoMeter). Localized to English and Finnish. This project also includes the old Java MIDP alcometer software for mobile phones, which is only in Finnish.","Categories
Sociology"
"Blogfish - natural selection for your memes.
Blogfish is a Gnome panel applet that enables you to find the newest and coolest stuff on the web, via some tiny fish. No bait required.Blogfish - natural selection for your memes.
Blogfish is a Gnome panel applet that enables you to find the newest and coolest stuff on the web, via some tiny fish. No bait required.","Categories
GNOME, Search Engines, Sociology"
"Resources to support computer aided Egyptologic research. Our products include several open source Ancient Egyptian language dictionaries, cross references, and various software applications and libraries developed to generate these resources.Resources to support computer aided Egyptologic research. Our products include several open source Ancient Egyptian language dictionaries, cross references, and various software applications and libraries developed to generate these resources.","Categories
History, Computer Aided Instruction (CAI)"
Gedapi is an AJAX javascript library built to interact with a server side RESTful web service api that exposes data stored in GEDCOM files. Gedapi provides the ability to link between distinct GEDCOM files without modifying or merging the GEDCOM files.Gedapi is an AJAX javascript library built to interact with a server side RESTful web service api that exposes data stored in GEDCOM files. Gedapi provides the ability to link between distinct GEDCOM files without modifying or merging the GEDCOM files.,"Categories
Genealogy, Web Services"
Mitandao is a multiplatform free and open source social network analyzer written in Java. It can be used as a stand-alone application as well as a library in your projects.Mitandao is a multiplatform free and open source social network analyzer written in Java. It can be used as a stand-alone application as well as a library in your projects.,"Categories
Algorithms, Sociology"
"This is a tool to track External Relations, appointments, communications etc. with companies/contact persons. For each contact you can add notes, follow-ups, tasks to do and have an overview/history about it. Scripted in PHP+Smarty. Thought for AIESEC.This is a tool to track External Relations, appointments, communications etc. with companies/contact persons. For each contact you can add notes, follow-ups, tasks to do and have an overview/history about it. Scripted in PHP+Smarty. Thought for AIESEC.","Categories
Scheduling, History"
"Word stemming library (Porter algorithms). Stemming refers to stripping a word down to a simpler prefix. This is useful for ""fuzzy"" word matching by finding common prefixes between similar words.Word stemming library (Porter algorithms). Stemming refers to stripping a word down to a simpler prefix. This is useful for ""fuzzy"" word matching by finding common prefixes between similar words.","Categories
Sociology"
"Genesis Birds is a software for the complete management of the breeding of birds.
Indicated especially for the canariansGenesis Birds is a software for the complete management of the breeding of birds.
Indicated especially for the canarians","Categories
Other/Nonlisted Topic, Office/Business, Scientific/Engineering, Genealogy"
"Cantillizer performs distributional analysis of Hebrew Bible cantillation marks. The DB provides statistics showing the structure of the signs. Cantillizer supports two interpretations of cantillation marks, syntactic or semantic theory and music theory.Cantillizer performs distributional analysis of Hebrew Bible cantillation marks. The DB provides statistics showing the structure of the signs. Cantillizer supports two interpretations of cantillation marks, syntactic or semantic theory and music theory.","Categories
Religion and Philosophy, History"
