Description,Category
"Encrypted Electronic Journal Management: eJourn manages multiple journals, optionally encrypts them, and provides a calendar view and a search method for tracking entries.Encrypted Electronic Journal Management: eJourn manages multiple journals, optionally encrypts them, and provides a calendar view and a search method for tracking entries.","Categories
Office/Business, Sociology"
"C++ and Python based open source graph visualization and analysis software, primarily intended for use in the analysis of social networks (other applications are also conceivable).C++ and Python based open source graph visualization and analysis software, primarily intended for use in the analysis of social networks (other applications are also conceivable).","Categories
Data Visualization, Mathematics, Sociology"
slektsweb.no er en database som har til hensikt ĺ samle all slektsforskning i Norge pĺ en plass. Prosjektet er tenkt terminert mai 2003.slektsweb.no er en database som har til hensikt ĺ samle all slektsforskning i Norge pĺ en plass. Prosjektet er tenkt terminert mai 2003.,"Categories
Genealogy"
This is a file converter program designed to take output from Noldus Observer and other software and convert it into a file usable by the GridWare Dynamic Categorical Time-Series System.This is a file converter program designed to take output from Noldus Observer and other software and convert it into a file usable by the GridWare Dynamic Categorical Time-Series System.,"Categories
Sociology"
"KINFINDER is a genealogical application. It allows you to store, edit, and research genealogical data, with similar functionality to other genealogical programs.
KINFINDER is a true cross platform application, it supports Windows, Linux, MACOS/x.KINFINDER is a genealogical application. It allows you to store, edit, and research genealogical data, with similar functionality to other genealogical programs.
KINFINDER is a true cross platform application, it supports Windows, Linux, MACOS/x.","Categories
Genealogy"
"Create collaborative social websites (like Ning, Myspace, Yahoo or Google groups). Each group can create a multiple web pages. They get a drop in guestbook, blog, forum and wiki. Each group is fully customizable using xHTML, CSS, Javascript and PHP.Create collaborative social websites (like Ning, Myspace, Yahoo or Google groups). Each group can create a multiple web pages. They get a drop in guestbook, blog, forum and wiki. Each group is fully customizable using xHTML, CSS, Javascript and PHP.","Categories
Communications, Office Suites, Front-Ends, Sociology, Education"
"An expandable and portable XML file format and programming tools to retrieve various indices, readings and Meanings from that XML file. Originally based on Jim Breen's popular KanjiDic file.An expandable and portable XML file format and programming tools to retrieve various indices, readings and Meanings from that XML file. Originally based on Jim Breen's popular KanjiDic file.","Categories
Communications, Sociology, Education"
"A tool to help archivists and historians to scan, stock, display and analyse collections of newspapers.A tool to help archivists and historians to scan, stock, display and analyse collections of newspapers.","Categories
History, Digital Preservation, Research"
"Classifier4J is a java library that provides an API for automatic classification of text. The default (and only current) implementation of this API is a Bayesian classifier.

This library can be used for multiple purposes - as a spam filter or a blog clClassifier4J is a java library that provides an API for automatic classification of text. The default (and only current) implementation of this API is a Bayesian classifier.

This library can be used for multiple purposes - as a spam filter or a blog cl","Categories
Email Spam Filter, Other/Nonlisted Topic, Search Engines, Site Management, Sociology"
Online Archive System with Interactive SearchOnline Archive System with Interactive Search,"Categories
Genealogy, History"
"Note: we have moved to Github:
https://github.com/Nivocer/WebEnq

WebEnq is a online survey tool intended for development organisations: multi-lingual surveys, no javascript or cookies to fill in a survey, output as SPSS.Note: we have moved to Github:
https://github.com/Nivocer/WebEnq

WebEnq is a online survey tool intended for development organisations: multi-lingual surveys, no javascript or cookies to fill in a survey, output as SPSS.","Categories
Sociology, Exam"
gSwing is free software for viewing election results and a collection of tools for maintaining the data. It shows the perfomance of the main parties in elections over a number of years in a series of charts and graphs. gSwing is written in java.gSwing is free software for viewing election results and a collection of tools for maintaining the data. It shows the perfomance of the main parties in elections over a number of years in a series of charts and graphs. gSwing is written in java.,"Categories
Sociology"
TeacherEvaluation is built on top of phpsurveyor It is an online survey system. The program is abandoned and not in a useful state.TeacherEvaluation is built on top of phpsurveyor It is an online survey system. The program is abandoned and not in a useful state.,"Categories
Sociology"
"Diese Ini soll den logistischen Support für eine mögliche Freigabe der dol2day-Scripte liefern und dabei vor allem Support, Bug Tracking und Dokumentationen bereitstellen.Diese Ini soll den logistischen Support für eine mögliche Freigabe der dol2day-Scripte liefern und dabei vor allem Support, Bug Tracking und Dokumentationen bereitstellen.","Categories
Simulation Games, Message Board, Sociology"
The Goal is a set of crossplatform genealogy applications to import from gedcom files into your choice of SQL Databases which in turn can be used to display your familytree on a webpage or client applicationThe Goal is a set of crossplatform genealogy applications to import from gedcom files into your choice of SQL Databases which in turn can be used to display your familytree on a webpage or client application,"Categories
Front-Ends, Software Development, Genealogy"
"MessageReader is a java software that, given a Mail folder of a Symbian phone, takes all the sms messages (NOT (still) mms or anything else) and make a file in the unix mailbox format (suitable for e.g. kmail).MessageReader is a java software that, given a Mail folder of a Symbian phone, takes all the sms messages (NOT (still) mms or anything else) and make a file in the unix mailbox format (suitable for e.g. kmail).","Categories
Data Formats, Communications, Backup, Sociology"
JTEE aims to develop an Open Source Toolbox for carrying out empirical experiments. Java is used to allow easy migration to various platformsJTEE aims to develop an Open Source Toolbox for carrying out empirical experiments. Java is used to allow easy migration to various platforms,"Categories
Sociology"
Web-based family tree and much moreWeb-based family tree and much more,"Categories
Genealogy"
"I strongly recommend that, instead of creating a new project along these lines, that people check out gnuology. I would much rather see efforts go into building up one great project than split between many (for now, anyway :) ).I strongly recommend that, instead of creating a new project along these lines, that people check out gnuology. I would much rather see efforts go into building up one great project than split between many (for now, anyway :) ).","Categories
Database, Genealogy, History"
"QSYS ist as web-based survey software. In the current version, the software comes with an easy to use online-editor. No knowledge of HTML is necessary. All common question types as well as different participation modes are supported.QSYS ist as web-based survey software. In the current version, the software comes with an easy to use online-editor. No knowledge of HTML is necessary. All common question types as well as different participation modes are supported.","Categories
Sociology"
"L\'application Web de la ligne du temps (timeline) permet à l\'utilisateur de consulter, de créer et de partager des lignes du temps et des scénarios d\'apprentissage, qui sont représentées graphiquement avec une échelle temporelle. Flex 2 et Ruby.L\'application Web de la ligne du temps (timeline) permet à l\'utilisateur de consulter, de créer et de partager des lignes du temps et des scénarios d\'apprentissage, qui sont représentées graphiquement avec une échelle temporelle. Flex 2 et Ruby.","Categories
Data Visualization, History, Education"
"Representation and the analysis of the methodological, empirical and historical base of highly organized world outlook concepts; philosophical and religious systems; doctrines of the lowest order (scientific, ideological theories).Representation and the analysis of the methodological, empirical and historical base of highly organized world outlook concepts; philosophical and religious systems; doctrines of the lowest order (scientific, ideological theories).","Categories
Religion and Philosophy, Sociology"
A tool for organizing and documenting family history using XML files with a focus on web site generation.A tool for organizing and documenting family history using XML files with a focus on web site generation.,"Categories
Genealogy"
Web service for getting different views of archived documents. Images can efficiently be resized. Fragments of plain texts and images can be extracted and highlighted.Web service for getting different views of archived documents. Images can efficiently be resized. Fragments of plain texts and images can be extracted and highlighted.,"Categories
CGI Scripts, Image Converters, History"
A cemetery register maintenance web application.A cemetery register maintenance web application.,"Categories
Database, Genealogy, Knowledge Management"
"LibreOffice is a free and powerful office suite. Word processor, spreadsheet, presentations, diagrams, databases, formula editors, charts, and more. Compatible with Windows, Mac, and Linux.License
Mozilla Public License 1.0 (MPL)","Categories
Games/Entertainment, Dynamic Content, Sociology"
"MugShots is a directory tool for containing and maintaining contact information about people within an organization. It can create directories in printed form or PDF format, with or without pictures. People can be organized into subgroups as well.MugShots is a directory tool for containing and maintaining contact information about people within an organization. It can create directories in printed form or PDF format, with or without pictures. People can be organized into subgroups as well.","Categories
XML, Office Suites, Printing, Genealogy, Photo Management, Human Resources"
... a wireless brainstorming tool facilitated by a server-side knowledge engine ...... a wireless brainstorming tool facilitated by a server-side knowledge engine ...,"Categories
Conferencing, Sociology"
Arboreum is an XML based platform independent genealogy program designed for managing complex genealogical relationships and data sets. Features include import/export of GEDCOM 5.5 formated data and HTML based data navigation.Arboreum is an XML based platform independent genealogy program designed for managing complex genealogical relationships and data sets. Features include import/export of GEDCOM 5.5 formated data and HTML based data navigation.,"Categories
Genealogy, History"
"PTDsign presents: PTSleep, the opposite of an alarm! This you would use to wake yourself, but what do you do if you want the opposite: Sleeping? This sleeper! Play some nice music and let me fade the volume down for you and turn your pc off.PTDsign presents: PTSleep, the opposite of an alarm! This you would use to wake yourself, but what do you do if you want the opposite: Sleeping? This sleeper! Play some nice music and let me fade the volume down for you and turn your pc off.","Categories
Battery Monitoring, Audio Mixers, Medical, Psychology"
"We at Running Reality believe that we can use the power of today's computers and mobile devices to bring history to life in an accessible, immersive, and engaging way for K-12 students, history enthusiasts, and visitors to historical sites. Running Reality gives you a map that lets you go any place on any date from 3000BC to today and explore down to the street-level of history. This model has nations and cities but also ships, armies, buildings, and people. Towns grow, buildings are constructed, ships explore new seas, and armies battle. Harbors silt in, rivers change course, and cities are sacked and burned. When you are standing at a historical site and using your mobile phone, you can see all the events that happened around you at that exact spot then zoom out to see the context of what was happening more globally.We at Running Reality believe that we can use the power of today's computers and mobile devices to bring history to life in an accessible, immersive, and engaging way for K-12 students, history enthusiasts, and visitors to historical sites. Running Reality gives you a map that lets you go any place on any date from 3000BC to today and explore down to the street-level of history. This model has nations and cities but also ships, armies, buildings, and people. Towns grow, buildings are constructed, ships explore new seas, and armies battle. Harbors silt in, rivers change course, and cities are sacked and burned. When you are standing at a historical site and using your mobile phone, you can see all the events that happened around you at that exact spot then zoom out to see the context of what was happening more globally.","Categories
Simulation Games, Genealogy, History, Politics, Research"
"Provide a free graphic genealogy manager working ON LINE, without database module need. Setup : just copy files in a PHP server directory. Version upgrade : doesn't need upgrade process, source files copy is the only operation needed. Next version willProvide a free graphic genealogy manager working ON LINE, without database module need. Setup : just copy files in a PHP server directory. Version upgrade : doesn't need upgrade process, source files copy is the only operation needed. Next version will","Categories
Genealogy"
Digital space for building and confronting interpretations about documentsDigital space for building and confronting interpretations about documents,"Categories
History, Research, Knowledge Management"
GENIO or GENalogical Information Organizer is and simple genealogical software to make it easy to organize the information of our ancestors.GENIO or GENalogical Information Organizer is and simple genealogical software to make it easy to organize the information of our ancestors.,"Categories
Genealogy"
"Project has moved to https://github.com/DistributedProofreaders/dproofreaders


Distributed Proofreaders is a web application intended to ease the process of converting public domain books and other printed materials into e-texts. The main site is at http://www.pgdp.net

By breaking the work into individual pages, many proofreaders can be working on the same book at the same time. This significantly speeds up the proofreading/E-Text creation process.

When a proofer elects to proofread a page for a particular project, the text and image file are displayed on a single webpage. This allows the text file to be easily reviewed and compared to the image file, thus assisting the proofreading of the text file. The edited text is then submitted back to the site via the same webpage that it was edited on.

Once all pages for a particular book have been processed, a concatenated text file is made available for final clean-up and submitted to a Project Gutenberg site.Project has moved to https://github.com/DistributedProofreaders/dproofreaders


Distributed Proofreaders is a web application intended to ease the process of converting public domain books and other printed materials into e-texts. The main site is at http://www.pgdp.net

By breaking the work into individual pages, many proofreaders can be working on the same book at the same time. This significantly speeds up the proofreading/E-Text creation process.

When a proofer elects to proofread a page for a particular project, the text and image file are displayed on a single webpage. This allows the text file to be easily reviewed and compared to the image file, thus assisting the proofreading of the text file. The edited text is then submitted back to the site via the same webpage that it was edited on.

Once all pages for a particular book have been processed, a concatenated text file is made available for final clean-up and submitted to a Project Gutenberg site.","Categories
Text Processing, Library, History"
"mistat is a statistical program for use on Linux and Cygwin that uses commands from several popular statistical packages, and uses the associated libmistat.mistat is a statistical program for use on Linux and Cygwin that uses commands from several popular statistical packages, and uses the associated libmistat.","Categories
Mathematics, Sociology"
phpPedigree is intended to be an easy and inexpensive way for dog lovers worldwide to share pedigree and genetic information. The widely-available combination of MySQL and PHP has the potential for making such collaborations easier than ever before.phpPedigree is intended to be an easy and inexpensive way for dog lovers worldwide to share pedigree and genetic information. The widely-available combination of MySQL and PHP has the potential for making such collaborations easier than ever before.,"Categories
Database, Genealogy"
