Description,Category
"sdcv - console version of stardict,
cross-platform and international dictionary.sdcv - console version of stardict,
cross-platform and international dictionary.","Categories
Other/Nonlisted Topic, Education, Dictionary"
"hilite is a tiny utility which executes the command you specify, highlighting anything printed to stderr. It is designed mainly for use with builds, to make warnings and errors stick out like a sore cliche.
<p>
See News for more info.hilite is a tiny utility which executes the command you specify, highlighting anything printed to stderr. It is designed mainly for use with builds, to make warnings and errors stick out like a sore cliche.
<p>
See News for more info.","Categories
Other/Nonlisted Topic"
"iSCSIsim is a powerful generic test tool for iSCSI targets. Its capabilities include SCSI command injection, error insertion, and recovery testing: all with built-in validation of test results.iSCSIsim is a powerful generic test tool for iSCSI targets. Its capabilities include SCSI command injection, error insertion, and recovery testing: all with built-in validation of test results.","Categories
Other/Nonlisted Topic, Software Testing, Backup"
"SolarNetwork started as a simple set of client and server tools to collect and analyse solar power information from a distributed network of solar power collectors.

SolarNetwork is now expanding into a set of tools to not only collect and analyse information, but to also control and influence behaviour of a distributed network of nodes where energy is being generated and/or consumed. The name implies it is for solar generated energy only, the SolarNetwork can in fact be used with any form of distributed energy.SolarNetwork started as a simple set of client and server tools to collect and analyse solar power information from a distributed network of solar power collectors.

SolarNetwork is now expanding into a set of tools to not only collect and analyse information, but to also control and influence behaviour of a distributed network of nodes where energy is being generated and/or consumed. The name implies it is for solar generated energy only, the SolarNetwork can in fact be used with any form of distributed energy.","Categories
Other/Nonlisted Topic, Simulation"
"Pdf417decode.c can decode PDF417 barcodes from a pbm file. The program is capable of decoding all three compaction modes (binary, text and numeric), and performs Reed-Solomon error correction.Pdf417decode.c can decode PDF417 barcodes from a pbm file. The program is capable of decoding all three compaction modes (binary, text and numeric), and performs Reed-Solomon error correction.","Categories
Other/Nonlisted Topic, Office/Business"
Recipe database software for GNU/Linux and Microsoft Windows. For new releases please visit https://wedesoft.github.io/anymeal/Recipe database software for GNU/Linux and Microsoft Windows. For new releases please visit https://wedesoft.github.io/anymeal/,"Categories
Other/Nonlisted Topic, Front-Ends"
"The goal of this project is to provide a high-end, open source warehouse
management system: picoWMS. This system does not just track inventory, recieve goods, process orders, creates pick tickets but Manages the warehouse.The goal of this project is to provide a high-end, open source warehouse
management system: picoWMS. This system does not just track inventory, recieve goods, process orders, creates pick tickets but Manages the warehouse.","Categories
Other/Nonlisted Topic, Office/Business, Warehouse Management"
traveling-salesman is a GPS -route-planning and -navigation -system based on libosm and the OpenStreetMap.traveling-salesman is a GPS -route-planning and -navigation -system based on libosm and the OpenStreetMap.,"Categories
Other/Nonlisted Topic, GIS"
A java based aquarium management database.A java based aquarium management database.,"Categories
Other/Nonlisted Topic"
OpenDCN is an Apache/PHP/MySQL open-platform for e-Participation systems. The purpose of OpenDCN is to support and enhance citizens participation through an online deliberation platform that improve community networks with deliberative tools.OpenDCN is an Apache/PHP/MySQL open-platform for e-Participation systems. The purpose of OpenDCN is to support and enhance citizens participation through an online deliberation platform that improve community networks with deliberative tools.,"Categories
Other/Nonlisted Topic, Message Board, Content Management Systems (CMS), Social Networking"
"andLinux is a complete Ubuntu Linux system running seamlessly in Windows 2000 based systems (2000, XP, 2003, Vista, 7; 32-bit versions only). It is not just for development and runs almost all Linux applications without modification.andLinux is a complete Ubuntu Linux system running seamlessly in Windows 2000 based systems (2000, XP, 2003, Vista, 7; 32-bit versions only). It is not just for development and runs almost all Linux applications without modification.","Categories
Other/Nonlisted Topic, KDE"
"WebLocker is a free software that allows you to block annoying ads, block domains known to spread malware, block adult websites (Pornography), block social networks, block online gambling, stop DNS leaking and more features. Available for Windows: XP, 7, 8, 8.1 and 10.

We hope you enjoy using WebLocker!

TheYousSoft TeamWebLocker is a free software that allows you to block annoying ads, block domains known to spread malware, block adult websites (Pornography), block social networks, block online gambling, stop DNS leaking and more features. Available for Windows: XP, 7, 8, 8.1 and 10.

We hope you enjoy using WebLocker!

TheYousSoft Team","Categories
Other/Nonlisted Topic, Security, Cryptography"
Command line tool for QlikView QMS to start EDX tasks.Command line tool for QlikView QMS to start EDX tasks.,"Categories
Other/Nonlisted Topic, Command Line Tools"
"Keylogger is a simple keystroke logger for Windows, Mac and Linux. A keystroke logger or keylogger is basically a program that records keystrokes and saves them in a log file on your local computer. This keylogger is simple and bare bones, but works wonderfully and is useful for a number of things. You can use it to track key movements and make sure no one is using your computer while you’re away, or use it for self-analysis. In businesses and offices it can be used to monitor employee activity; in schools it can track keystrokes and log banned words.Keylogger is a simple keystroke logger for Windows, Mac and Linux. A keystroke logger or keylogger is basically a program that records keystrokes and saves them in a log file on your local computer. This keylogger is simple and bare bones, but works wonderfully and is useful for a number of things. You can use it to track key movements and make sure no one is using your computer while you’re away, or use it for self-analysis. In businesses and offices it can be used to monitor employee activity; in schools it can track keystrokes and log banned words.","Categories
Other/Nonlisted Topic, Security"
"With the application you can open and browse pdf books.
In addition you will be able to inspect the codes for characters or locate the images.
May be an example of basic use of pdfbox.

JDK-17 compatibilityWith the application you can open and browse pdf books.
In addition you will be able to inspect the codes for characters or locate the images.
May be an example of basic use of pdfbox.

JDK-17 compatibility","Categories
Other/Nonlisted Topic, PDF"
"Have to make a decision you don't care about? Use ""Random"" to save your time!

The app can help you get randomly generated numbers, letters, strings that you've added to list and answer 'Yes' or 'No'.

If you want to say something about the app, leave a review or report an issue on ""Random"" GitHub page.Have to make a decision you don't care about? Use ""Random"" to save your time!

The app can help you get randomly generated numbers, letters, strings that you've added to list and answer 'Yes' or 'No'.

If you want to say something about the app, leave a review or report an issue on ""Random"" GitHub page.","Categories
Other/Nonlisted Topic, Office/Business, Games/Entertainment"
"Boring to some, immensly entertaining to others, fractal investigation seems to have fallen out of favour with the kids these days: I aim to change that.
GET THE PREBUILT WINDOWS VERSION HERE: https://sourceforge.net/projects/wallfart/files/setupWallFArt.exe/downloadBoring to some, immensly entertaining to others, fractal investigation seems to have fallen out of favour with the kids these days: I aim to change that.
GET THE PREBUILT WINDOWS VERSION HERE: https://sourceforge.net/projects/wallfart/files/setupWallFArt.exe/download","Categories
Other/Nonlisted Topic, Desktop Environment, Fractal"
"Using the A-Frame WebVR framework, this web based application allows users to create VR and AR webpages for whatever they want - teaching resources, visualization, sharing your 3d models in a very cool way, and much much more! The VR pages can be used with google cardboard, but also can be viewed in the browser and used with the steam vive and oculus rift (untested).
You can try it at aframe-tools.sourceforge.io
More features are planned to be added in the near future!Using the A-Frame WebVR framework, this web based application allows users to create VR and AR webpages for whatever they want - teaching resources, visualization, sharing your 3d models in a very cool way, and much much more! The VR pages can be used with google cardboard, but also can be viewed in the browser and used with the steam vive and oculus rift (untested).
You can try it at aframe-tools.sourceforge.io
More features are planned to be added in the near future!","Categories
Other/Nonlisted Topic, Computer Aided Instruction (CAI), School Management"
"RealSpeech is a simple and basic Text-to-Speech Software. RealSpeech will take in text written in English and will make your computer speak it out.
Programed in C#.
Real Speech is my second major C# project as a 14-year old kid.

RealSpeech will run on Windows 8/8.1 and 10.
For Windows 7 or earlier you will have to install the latest version of .NET Framework to run RealSpeech.

Check out my previous C# project ""Bruv"" at:
sourceforge.net/projects/bruv

Thank You!RealSpeech is a simple and basic Text-to-Speech Software. RealSpeech will take in text written in English and will make your computer speak it out.
Programed in C#.
Real Speech is my second major C# project as a 14-year old kid.

RealSpeech will run on Windows 8/8.1 and 10.
For Windows 7 or earlier you will have to install the latest version of .NET Framework to run RealSpeech.

Check out my previous C# project ""Bruv"" at:
sourceforge.net/projects/bruv

Thank You!","Categories
Other/Nonlisted Topic"
