Description,Category
"SuperKaramba allows you to create cool desktop widgets with little to no programming experience. It's similar to ""Konfabulator"" for the Mac.SuperKaramba allows you to create cool desktop widgets with little to no programming experience. It's similar to ""Konfabulator"" for the Mac.","Categories
KDE Themes"
"We provide ported open source tools/applications including their complete sources and/or ready to use binaries for QNX, like XFree86, Lesstif, DDD, VNC, Nedit and cluster middleware like PVM.We provide ported open source tools/applications including their complete sources and/or ready to use binaries for QNX, like XFree86, Lesstif, DDD, VNC, Nedit and cluster middleware like PVM.","Categories
Desktop Environment, Software Development, System"
GPass is a small GNOME 2 application that allows the user to securely manage a collection of passwords. The password collection is stored in an encrypted file protected by a master passwordGPass is a small GNOME 2 application that allows the user to securely manage a collection of passwords. The password collection is stored in an encrypted file protected by a master password,"Categories
Security, GNOME"
"Babya System is a free shell replacement that is Windows XP compatible and easy to use. It has many useful features-like Babya Discoverer, which has automatic popup ad blocking, and easy access to Windows Control Panel applets.Babya System is a free shell replacement that is Windows XP compatible and easy to use. It has many useful features-like Babya Discoverer, which has automatic popup ad blocking, and easy access to Windows Control Panel applets.","Categories
Window Managers, System Shells"
Project SIS is being developed for building intelligent voice control system. It is based on free voice API CMU SPHINX and free TTS speech systems. The purpose of it is to develop voice computer management/controlling system.Project SIS is being developed for building intelligent voice control system. It is based on free voice API CMU SPHINX and free TTS speech systems. The purpose of it is to develop voice computer management/controlling system.,"Categories
Desktop Environment"
"krb5-ticket-watcher is a tray applet for watching, renewing, and reinitializing Kerberos tickets.krb5-ticket-watcher is a tray applet for watching, renewing, and reinitializing Kerberos tickets.","Categories
Security, Desktop Environment"
"LinuxMCE is a powerful system that will revolutionise your home. A fantastic expandable media centre and PVR is just the beginning. The system can also manage your network, security, lighting and phone calls and you can control it all from anywhere.LinuxMCE is a powerful system that will revolutionise your home. A fantastic expandable media centre and PVR is just the beginning. The system can also manage your network, security, lighting and phone calls and you can control it all from anywhere.","Categories
Desktop Environment, Home Theater PC, Home Automation"
"Minimalist Window Manager for X, featuring seamless virtual desktop, on-screen navigation and an application menu.Minimalist Window Manager for X, featuring seamless virtual desktop, on-screen navigation and an application menu.","Categories
Window Managers"
GAC is a GTK alarm clock application written in Python and it's desktop independent.GAC is a GTK alarm clock application written in Python and it's desktop independent.,"Categories
Desktop Environment"
Organize your favorites and/or bookmarks. https://favoriteorg.svn.sourceforge.net/svnroot/favoriteorg/trunk/Organize your favorites and/or bookmarks. https://favoriteorg.svn.sourceforge.net/svnroot/favoriteorg/trunk/,"Categories
Desktop Environment, Browsers"
"This is a small front-end to rdesktop that allows you to have multiple rdesktop sessions in a tabbed environment. It is designed to be quick, clean and easy. Not many features yet, but certainly functional.This is a small front-end to rdesktop that allows you to have multiple rdesktop sessions in a tabbed environment. It is designed to be quick, clean and easy. Not many features yet, but certainly functional.","Categories
KDE"
"This is a desktop client for blogging. Now it supports wordpress and blogger.

Update: The project development has been discontinued and it does not work on newer releases of most of the Linux distributions. If you are a programmer and wish to maintain it, please contact me.This is a desktop client for blogging. Now it supports wordpress and blogger.

Update: The project development has been discontinued and it does not work on newer releases of most of the Linux distributions. If you are a programmer and wish to maintain it, please contact me.","Categories
GNOME"
