Description,Category
Renderer for flam3 cosmic recursive fractal flames implemented on GPU. Requires a CUDA-capable graphics card.Renderer for flam3 cosmic recursive fractal flames implemented on GPU. Requires a CUDA-capable graphics card.,"Categories
3D Rendering, Image Viewers, Fractal"
Double Agent is an Open Source alternative to Microsoft™ Agent that allows Agent applications to work on Windows 7 or later. It is available in both 32-bit and 64-bit versions.Double Agent is an Open Source alternative to Microsoft™ Agent that allows Agent applications to work on Windows 7 or later. It is available in both 32-bit and 64-bit versions.,"Categories
Desktop Environment, Multimedia"
"Mega Switcher is a new interface for Equalizer APO :
- It's geared towards listening sessions (for 1 or 2 users simultaneously),
- It provides an easy way to manage your own collection of audio devices and all their EQ presets, using the power of Equalizer APO.
Full control is at your fingertips!

Headphones (AE-OE and IE) and Loudspeakers are supported. HeSuVi is supported too.

15.000 headphone EQ presets are included : Harman presets (thanks to the AutoEQ and Oratory1990 databases) and Optimum HiFi presets (derived from the Harman presets). A multi-band parametric EQ helps you fine-tune settings even further on the fly.

Everything is managed via a simple interface, keyboard hotkeys and a Tray Menu, so you can quickly switch EQ presets and sound modes. The small unobtrusive GUI gives you just the right amount of info at any given moment.

Mega Switcher automates a lot of things, making your listening sessions more enjoyable. Try it !Mega Switcher is a new interface for Equalizer APO :
- It's geared towards listening sessions (for 1 or 2 users simultaneously),
- It provides an easy way to manage your own collection of audio devices and all their EQ presets, using the power of Equalizer APO.
Full control is at your fingertips!

Headphones (AE-OE and IE) and Loudspeakers are supported. HeSuVi is supported too.

15.000 headphone EQ presets are included : Harman presets (thanks to the AutoEQ and Oratory1990 databases) and Optimum HiFi presets (derived from the Harman presets). A multi-band parametric EQ helps you fine-tune settings even further on the fly.

Everything is managed via a simple interface, keyboard hotkeys and a Tray Menu, so you can quickly switch EQ presets and sound modes. The small unobtrusive GUI gives you just the right amount of info at any given moment.

Mega Switcher automates a lot of things, making your listening sessions more enjoyable. Try it !","Categories
Audio Mixers, Sound/Audio, Home Theater PC"
"It's a side project that I made for myself since when I use my own mechanical keyboard at late night or in the office and my parents and my coworkers hate that a lot because the sound of the keyboard is very loud (especially in quiet places). So if you are facing this issue just like me then this product is for you!

- Plays typewriter sound

- You can add more keyboard sound set by recording any sound you like and add them to this app with some easy steps.

- Use your laptop keyboard or non-mechanical keyboard at work and still hear your loved sound.

- Use this app as any purpose as you want (such as demo for the buyer about the keyboard sound before they buy it, custom any sound for any key...)

With Mechvibes Editor, you can create a new sound pack, edit existing sound pack or share them with your friends.It's a side project that I made for myself since when I use my own mechanical keyboard at late night or in the office and my parents and my coworkers hate that a lot because the sound of the keyboard is very loud (especially in quiet places). So if you are facing this issue just like me then this product is for you!

- Plays typewriter sound

- You can add more keyboard sound set by recording any sound you like and add them to this app with some easy steps.

- Use your laptop keyboard or non-mechanical keyboard at work and still hear your loved sound.

- Use this app as any purpose as you want (such as demo for the buyer about the keyboard sound before they buy it, custom any sound for any key...)

With Mechvibes Editor, you can create a new sound pack, edit existing sound pack or share them with your friends.","Categories
Games/Entertainment, Players, Exam"
"Quickly generate a gallery to preview your (Look Up Tables) luts on selected still frame, or video.

1) Import a still image. (jpg, jpeg, png, bmp)
*) (Or select video. (mpg, mpeg, mp4, mov, mts, avi, webm, mkv))
2) Choose path to your lutsfolder. (cube, 3dl, dat, m3d)
3) Generate. (If video selected, use scroll wheel to preview luts)

All preview images that is generated is stored in '.\OUT' folder, and then deleted upon restart of the application.

> [Changelog]
- Version 2.8.4
Fixed:
Zoom ratio & dual-screen positioning.
luts with same name not being generated.
Lowered thumb resolution to handle more items.

Added:
Lots of quality of life changes. See ZIP file comments or Discussion tab.Quickly generate a gallery to preview your (Look Up Tables) luts on selected still frame, or video.

1) Import a still image. (jpg, jpeg, png, bmp)
*) (Or select video. (mpg, mpeg, mp4, mov, mts, avi, webm, mkv))
2) Choose path to your lutsfolder. (cube, 3dl, dat, m3d)
3) Generate. (If video selected, use scroll wheel to preview luts)

All preview images that is generated is stored in '.\OUT' folder, and then deleted upon restart of the application.

> [Changelog]
- Version 2.8.4
Fixed:
Zoom ratio & dual-screen positioning.
luts with same name not being generated.
Lowered thumb resolution to handle more items.

Added:
Lots of quality of life changes. See ZIP file comments or Discussion tab.","Categories
Image Viewers, Video, Photo Management"
"Veneta Viewer is a hardware-accelerated image viewer and image sequence player. It supports a large variety of formats, including many RAW images from cameras.
Please refer to the Wiki for a complete list of supported formats.Veneta Viewer is a hardware-accelerated image viewer and image sequence player. It supports a large variety of formats, including many RAW images from cameras.
Please refer to the Wiki for a complete list of supported formats.","Categories
Image Viewers"
"LPub3D is an Open Source WYSIWYG editing application for creating
LEGO® style digital building instructions. LPub3D is developed and
maintained by Trevor SANDY. It uses the LDraw™ parts library, the
most comprehensive library of digital Open Source LEGO® bricks
available (www.ldraw.org/ ) and reads the LDraw LDR and MPD model
file formats. LPub3D is available for free under the GNU Public License v3
and runs on Windows, Linux and macOS Operating Systems.
LPub3D is also available as a Linux 'no-install', multi-platform AppImage.
Portions of LPub3D are based on LPUB© 2007-2009 Kevin Clague,
LeoCAD© 2023 Leonardo Zide, LDView© 2023 Travis Cobbs &
Peter Bartfai and additional third party components.
LEGO® is a trademark of the LEGO Group of companies which does not
sponsor, authorize or endorse this application.

LEGO® is a trademark of the LEGO Group of companies which does not sponsor, authorize or endorse this application.

© 2015-2023 Trevor SANDYLPub3D is an Open Source WYSIWYG editing application for creating
LEGO® style digital building instructions. LPub3D is developed and
maintained by Trevor SANDY. It uses the LDraw™ parts library, the
most comprehensive library of digital Open Source LEGO® bricks
available (www.ldraw.org/ ) and reads the LDraw LDR and MPD model
file formats. LPub3D is available for free under the GNU Public License v3
and runs on Windows, Linux and macOS Operating Systems.
LPub3D is also available as a Linux 'no-install', multi-platform AppImage.
Portions of LPub3D are based on LPUB© 2007-2009 Kevin Clague,
LeoCAD© 2023 Leonardo Zide, LDView© 2023 Travis Cobbs &
Peter Bartfai and additional third party components.
LEGO® is a trademark of the LEGO Group of companies which does not
sponsor, authorize or endorse this application.

LEGO® is a trademark of the LEGO Group of companies which does not sponsor, authorize or endorse this application.

© 2015-2023 Trevor SANDY","Categories
3D Rendering, Computer Aided Instruction (CAI), Hobbies"
"EasyABC allows the user to create, edit, view, play, convert music written in the ABC music notation language. The program was written in Python 2.7 and WxPython by Nils Liberg and runs on Windows, OSX, and Linux. Nils Liberg is no longer supporting this open source package, however I have volunteered to continue its support and development.EasyABC allows the user to create, edit, view, play, convert music written in the ABC music notation language. The program was written in Python 2.7 and WxPython by Nils Liberg and runs on Windows, OSX, and Linux. Nils Liberg is no longer supporting this open source package, however I have volunteered to continue its support and development.","Categories
Audio Editing"
"The VideoWhisper Video Recorder allows site users to record webcam videos easily from website pages, including high definition recordings. This can be use on various sites to implement online features like:
+ video sharing, on demand video content
+ video messaging, video email
+ video content on member profiles, video teasers, video questionnaires
+ video comments for online posts and items, video discussions, video forums

Video Recorder application key features
+ 100% web based webcam recording
+ Record, Stop, Preview, Approve, Discard and Retry
+ HD h264 support (customizable quality settings)
+ FLV that can be played over RTMP / HTTP
+ RTMP player included (& more integrations)
+ iPhone, iPad playback with HTML5 (conversion required)
+ JPEG high quality snapshots

PHP Webcam Recorder :
+ Record from Webcam
+ Preview
+ Browse Videos
+ JwPlayer support
+ JPG Snapshots
+ HTML5 video conversion for iPhone, iPad, iPodThe VideoWhisper Video Recorder allows site users to record webcam videos easily from website pages, including high definition recordings. This can be use on various sites to implement online features like:
+ video sharing, on demand video content
+ video messaging, video email
+ video content on member profiles, video teasers, video questionnaires
+ video comments for online posts and items, video discussions, video forums

Video Recorder application key features
+ 100% web based webcam recording
+ Record, Stop, Preview, Approve, Discard and Retry
+ HD h264 support (customizable quality settings)
+ FLV that can be played over RTMP / HTTP
+ RTMP player included (& more integrations)
+ iPhone, iPad playback with HTML5 (conversion required)
+ JPEG high quality snapshots

PHP Webcam Recorder :
+ Record from Webcam
+ Preview
+ Browse Videos
+ JwPlayer support
+ JPG Snapshots
+ HTML5 video conversion for iPhone, iPad, iPod","Categories
Dynamic Content, Video Converters, Video Capture"
"WaveShop is an audio editor for Windows XP/Vista/7/8. Unlike many similar apps, WaveShop is bit-perfect, meaning samples aren't altered unless they need to be. Editing a portion of an audio file only affects that portion; the rest of the file is untouched. Blocks of audio can be cut and pasted without changing their contents at all. This is especially useful for patching a finished master without corrupting its dither.WaveShop is an audio editor for Windows XP/Vista/7/8. Unlike many similar apps, WaveShop is bit-perfect, meaning samples aren't altered unless they need to be. Editing a portion of an audio file only affects that portion; the rest of the file is untouched. Blocks of audio can be cut and pasted without changing their contents at all. This is especially useful for patching a finished master without corrupting its dither.","Categories
Audio Editing, Audio Analysis, Audio Recording"
