Description,Category
"Random verses from the Holy Bible to display on your website or web app. Coded in php/mysql. Scripture stored in a MySQL database. You can add more scripture using a tool such as phpMyAdmin. Another tool for christians to help spread the Gospel of Jesus Christ. Christianity is not a religion. It is a relationship. The latest version, 1.1, has more verses added to the database. Updated 12/18/2012Random verses from the Holy Bible to display on your website or web app. Coded in php/mysql. Scripture stored in a MySQL database. You can add more scripture using a tool such as phpMyAdmin. Another tool for christians to help spread the Gospel of Jesus Christ. Christianity is not a religion. It is a relationship. The latest version, 1.1, has more verses added to the database. Updated 12/18/2012","Categories
Dynamic Content, Site Management, Religion and Philosophy"
Webhelp is a tool to generate online help or documentation in an easy way. With the integrated WYSIWYG-Editor you can edit the content like in a desktop word processing software.Webhelp is a tool to generate online help or documentation in an easy way. With the integrated WYSIWYG-Editor you can edit the content like in a desktop word processing software.,"Categories
Content Management Systems (CMS), Wiki"
"The goal of this project is development webtop environment which it would run on smartphone web browser.
For last few months we've been making early stage of webtop environment(about 30% of archivement) and we are keep on running.The goal of this project is development webtop environment which it would run on smartphone web browser.
For last few months we've been making early stage of webtop environment(about 30% of archivement) and we are keep on running.","Categories
WWW/HTTP"
The complete and simply to use backup solution for video portalsThe complete and simply to use backup solution for video portals,"Categories
Internet, Video"
This program will be connect to ftp server and transfer file from server to client through socket. I will develop new version in 2012. Thanks for downloading and using!This program will be connect to ftp server and transfer file from server to client through socket. I will develop new version in 2012. Thanks for downloading and using!,"Categories
FTP Clients"
gwreports is a MySQL reporting tool implemented as a module for XOOPS and ImpressCMS.gwreports is a MySQL reporting tool implemented as a module for XOOPS and ImpressCMS.,"Categories
Front-Ends, Dynamic Content"
"Attention: code migrated to github:
https://github.com/ngeor/w3c-nant

NAnt task library written in C#.

Validates HTML and CSS against the online W3C validation services.

FTP NAnt tasks to upload and delete files on an FTP server.

Separate NAnt-independent assembly to reuse in .NET projects.Attention: code migrated to github:
https://github.com/ngeor/w3c-nant

NAnt task library written in C#.

Validates HTML and CSS against the online W3C validation services.

FTP NAnt tasks to upload and delete files on an FTP server.

Separate NAnt-independent assembly to reuse in .NET projects.","Categories
File Transfer Protocol (FTP), Build Tools, QA Automation"
"CIITIX-WiFi is a turnkey solution to your WiFi hotspot needs. Built onto the rock solid stable debian linux, setting up a secure (TTLS) WiFi hotspot is just minutes away. Note: We are in process of migration to sf.net. Thanks for your support.CIITIX-WiFi is a turnkey solution to your WiFi hotspot needs. Built onto the rock solid stable debian linux, setting up a secure (TTLS) WiFi hotspot is just minutes away. Note: We are in process of migration to sf.net. Thanks for your support.","Categories
Communications, Wireless, Internet"
"Commentics is an advanced PHP comment script with many features. Its main aims are to be integrable, customizable and secure. It is designed to be integrated into your existing pages.Commentics is an advanced PHP comment script with many features. Its main aims are to be integrable, customizable and secure. It is designed to be integrated into your existing pages.","Categories
Message Board"
"BSF4Rexx version for ooRexx 4.1.0 and later, exploiting the new ooRexx kernel (e.g. allowing implementation of Java methods in ooRexx, callbacks from Java to ooRexx). [Camouflages Java as the dynamically typed, caseless and easy to use ooRexx.]BSF4Rexx version for ooRexx 4.1.0 and later, exploiting the new ooRexx kernel (e.g. allowing implementation of Java methods in ooRexx, callbacks from Java to ooRexx). [Camouflages Java as the dynamically typed, caseless and easy to use ooRexx.]","Categories
Office/Business, Software Development, Internet"
"Tired of going into internet options to change your proxy server? Use Proxy Changer, an easy way to change, disable and enable proxy servers in Windows using a simple interface. NEW V2 with redesigned interface and developer API!Tired of going into internet options to change your proxy server? Use Proxy Changer, an easy way to change, disable and enable proxy servers in Windows using a simple interface. NEW V2 with redesigned interface and developer API!","Categories
Internet, Proxy Servers"
An easy web Image Gallery made with CakePHP. Changing the way how you publish your pictures on the web. Using various opensource tech you get a simple Image Gallery where you can group your images in albums-categories-galleries and assign tags.An easy web Image Gallery made with CakePHP. Changing the way how you publish your pictures on the web. Using various opensource tech you get a simple Image Gallery where you can group your images in albums-categories-galleries and assign tags.,"Categories
Dynamic Content"
"CMS-IDE is a Visual CMS, and enables template design and coding in the browser, multilingual...Based on Zend Framework , jQuery
http://youtube.com/embed/PgmLAgiZqX4?rel=0

http://www.youtube.com/watch?v=qgRPWqAuB8Q
INSTALLATION:
1.Download source as a ZIP and upload and extract it to the document root on the server.
2.Create database_user and database_password in hosting cpanel.
3.Point browser to the root URL
4.Folow installation steps...
If you have trouble with the instalation, do the

MANUAL INSTALLATION:
1.Download source as a ZIP and upload dev-application and library folder where you want - best is one step above document root
2.upload other folders & files to the document root
3.set appropriate paths in config settings in dev-application/config/config.ini
4.execute sql in phpmyadmin
5. make shure .htaccess is ok and put in the document rootCMS-IDE is a Visual CMS, and enables template design and coding in the browser, multilingual...Based on Zend Framework , jQuery
http://youtube.com/embed/PgmLAgiZqX4?rel=0

http://www.youtube.com/watch?v=qgRPWqAuB8Q
INSTALLATION:
1.Download source as a ZIP and upload and extract it to the document root on the server.
2.Create database_user and database_password in hosting cpanel.
3.Point browser to the root URL
4.Folow installation steps...
If you have trouble with the instalation, do the

MANUAL INSTALLATION:
1.Download source as a ZIP and upload dev-application and library folder where you want - best is one step above document root
2.upload other folders & files to the document root
3.set appropriate paths in config settings in dev-application/config/config.ini
4.execute sql in phpmyadmin
5. make shure .htaccess is ok and put in the document root","Categories
Content Management Systems (CMS)"
"Agora-Project is an intuitive and reliable groupware under GPL (Based on PHP/MySQL). It contains many modules: File Manager (with versioning), Calendars (with resource calendars), Task Manager, Bookmark manager, Contacts, News, Forum, Instant Messaging, etc.Agora-Project is an intuitive and reliable groupware under GPL (Based on PHP/MySQL). It contains many modules: File Manager (with versioning), Calendars (with resource calendars), Task Manager, Bookmark manager, Contacts, News, Forum, Instant Messaging, etc.","Categories
Groupware"
A portable AMP stack for web developers.A portable AMP stack for web developers.,"Categories
Browsers, Software Development"
"The goal of qHttpd project is building a highly customizable HTTP server which can be used in many projects not only for a HTTP delivery layer but also for a versatile communication protocol. By default, it supports WebDAV and LUA script hooking.The goal of qHttpd project is building a highly customizable HTTP server which can be used in many projects not only for a HTTP delivery layer but also for a versatile communication protocol. By default, it supports WebDAV and LUA script hooking.","Categories
HTTP Servers"
"Mantis2Go is an out of the box installation of MantisBT (a free popular web-based bugtracking system) for Windows.

Do not use for production purposes!

Maybe the easiest way to try MantisBT on Windows:

1. Start Mantis2Go installer
2. Choose directory where you want to install Mantis2Go (USB stick if you want)
3. Click ""Yes"" to start Mantis2GoMantis2Go is an out of the box installation of MantisBT (a free popular web-based bugtracking system) for Windows.

Do not use for production purposes!

Maybe the easiest way to try MantisBT on Windows:

1. Start Mantis2Go installer
2. Choose directory where you want to install Mantis2Go (USB stick if you want)
3. Click ""Yes"" to start Mantis2Go","Categories
QA Automation, Help Desk, Collaborative Development"
"MaxIPing is an easy to use python based application that allows users to perform basic networking tasks and create detailed log files.

MaxIPing can perform the following tasks, and automatically make a log file:
Ping
Traceroute
Netstat, with parametersMaxIPing is an easy to use python based application that allows users to perform basic networking tasks and create detailed log files.

MaxIPing can perform the following tasks, and automatically make a log file:
Ping
Traceroute
Netstat, with parameters","Categories
Internet"
The Saiphe FrameworkThe Saiphe Framework,"Categories
Dynamic Content, Frameworks"
"ShareOnFace! es un plugin para Joomla! que proporciona una funcionalidad simple pero útil: un botón para compartir artículos en Facebook.Es sumamente sencillo de instalar y personalizable, por lo que se integra perfectamente con cualquier sitio.ShareOnFace! es un plugin para Joomla! que proporciona una funcionalidad simple pero útil: un botón para compartir artículos en Facebook.Es sumamente sencillo de instalar y personalizable, por lo que se integra perfectamente con cualquier sitio.","Categories
Content Management Systems (CMS)"
"JPEGView is a lean, fast and highly configurable viewer/editor for JPEG, BMP, PNG, WEBP, TGA, GIF and TIFF images with a minimal GUI. Basic on-the-fly image processing is provided - allowing adjusting typical parameters as sharpness, color balance, rotation, perspective, contrast and local under-/overexposure.JPEGView is a lean, fast and highly configurable viewer/editor for JPEG, BMP, PNG, WEBP, TGA, GIF and TIFF images with a minimal GUI. Basic on-the-fly image processing is provided - allowing adjusting typical parameters as sharpness, color balance, rotation, perspective, contrast and local under-/overexposure.","Categories
Image Viewers"
"Wings 3D is an advanced subdivision modeler that is both powerful and easy to use (inspired by Nendo and Mirai from Izware).

Wings has a simple interface. Right-click menus give you easy access to common commands. These menus are context sensitive, so depending on your selection, a different menu pops up.Wings 3D is an advanced subdivision modeler that is both powerful and easy to use (inspired by Nendo and Mirai from Izware).

Wings has a simple interface. Right-click menus give you easy access to common commands. These menus are context sensitive, so depending on your selection, a different menu pops up.","Categories
3D Modeling"
"Greenshot is a lightweight screenshot software tool for Windows that quickly creates screenshots of a selected region, window, or full screen; you can even capture complete (scrolling) web pages from Internet Explorer. Greenshot easily annotates, highlights, or obfuscates parts of the screenshot. Greenshot also exports screenshots in various ways: save to file, send to printer, copy to clipboard, attach to e-mail, send Microsoft Office programs, or upload to photo sites like Flickr or Picasa. And Greenshot has a lot more options, to simplify the creation of, and work with, screenshots every day. Overall, Greenshot is easy to understand and configurable, that's why it is an efficient tool for project managers, software developers, technical writers, testers, and anyone else creating screenshots.Greenshot is a lightweight screenshot software tool for Windows that quickly creates screenshots of a selected region, window, or full screen; you can even capture complete (scrolling) web pages from Internet Explorer. Greenshot easily annotates, highlights, or obfuscates parts of the screenshot. Greenshot also exports screenshots in various ways: save to file, send to printer, copy to clipboard, attach to e-mail, send Microsoft Office programs, or upload to photo sites like Flickr or Picasa. And Greenshot has a lot more options, to simplify the creation of, and work with, screenshots every day. Overall, Greenshot is easy to understand and configurable, that's why it is an efficient tool for project managers, software developers, technical writers, testers, and anyone else creating screenshots.","Categories
Screen Capture, Graphic Design, Screen Recorders"
