Description,Category
"StarUML is an open source project to develop fast, flexible, extensible, featureful, and freely-available UML/MDA platform running on Win32 platform. The goal is a compelling replacement of commercial UML tools such as RationalRose, Together and so on.StarUML is an open source project to develop fast, flexible, extensible, featureful, and freely-available UML/MDA platform running on Win32 platform. The goal is a compelling replacement of commercial UML tools such as RationalRose, Together and so on.","Categories
UML, Code Generators"
Cobertura is a free Java tool that calculates the percentage of code accessed by tests. It can be used to identify which parts of your Java program are lacking test coverage. It is based on jcoverage.Cobertura is a free Java tool that calculates the percentage of code accessed by tests. It can be used to identify which parts of your Java program are lacking test coverage. It is based on jcoverage.,"Categories
Software Testing, QA Automation"
"This module provides a forked version of the JSF Pages from Entity Classes wizard inside NetBeans but produces PrimeFaces JSF pages with page layout, menu and dialog boxes. The page style is inspired by Emre Simtay's blog ""Simple CRUD Web Application with JSF 2.1, PrimeFaces 3.5, Maven and JPA"".This module provides a forked version of the JSF Pages from Entity Classes wizard inside NetBeans but produces PrimeFaces JSF pages with page layout, menu and dialog boxes. The page style is inspired by Emre Simtay's blog ""Simple CRUD Web Application with JSF 2.1, PrimeFaces 3.5, Maven and JPA"".","Categories
Code Generators, Admin Templates, CRUD Generators"
"The goal of this project is to provide a generator for lexical analyzers of maximum computational efficiency and maximum range of applications. This includes the support for Unicode (UTF8, UTF16, ...) and a large variety of other encodings directly and via nested converters such as ICU(tm) and IConv. Sophisticated buffer handling allows to operate on plain file streams, on sockets, or manually fed buffer content. 'Ready-to-build' examples explain related concepts and facilitate practical applications.The goal of this project is to provide a generator for lexical analyzers of maximum computational efficiency and maximum range of applications. This includes the support for Unicode (UTF8, UTF16, ...) and a large variety of other encodings directly and via nested converters such as ICU(tm) and IConv. Sophisticated buffer handling allows to operate on plain file streams, on sockets, or manually fed buffer content. 'Ready-to-build' examples explain related concepts and facilitate practical applications.","Categories
Code Generators, Compilers"
"JSmooth creates standard Windows executable files (.exe) that smartly launch java applications. It makes java deployment much smoother and user-friendly, as it is able to find and run Java VMs by itself, or help the user get one if none are available.JSmooth creates standard Windows executable files (.exe) that smartly launch java applications. It makes java deployment much smoother and user-friendly, as it is able to find and run Java VMs by itself, or help the user get one if none are available.","Categories
Build Tools, Compilers, Software Distribution, Installation/Setup"
"Eclipse SQL Client for database querying/browsing any JDBC compliant database. It supports plugins with specialized functionality for individual databases (Oracle, DB2, MySQL, PostgreSQL, Sybase, Informix) and can be extended.Eclipse SQL Client for database querying/browsing any JDBC compliant database. It supports plugins with specialized functionality for individual databases (Oracle, DB2, MySQL, PostgreSQL, Sybase, Informix) and can be extended.","Categories
Front-Ends, Software Development, SQL Clients, Database Clients"
Dlib is a C++ toolkit containing machine learning algorithms and tools for creating complex software in C++ to solve real world problems.Dlib is a C++ toolkit containing machine learning algorithms and tools for creating complex software in C++ to solve real world problems.,"Categories
Algorithms, Libraries, Machine Learning"
"The Clipper library performs clipping and offsetting for both lines and polygons. All four boolean clipping operations are supported - intersection, union, difference and exclusive-or. Polygons can be of any shape including self-intersecting polygons.

NOTE:
Since I've just released Clipper2 - https://github.com/AngusJohnson/Clipper2 ,
this library is now obsolete and no longer being maintained.The Clipper library performs clipping and offsetting for both lines and polygons. All four boolean clipping operations are supported - intersection, union, difference and exclusive-or. Polygons can be of any shape including self-intersecting polygons.

NOTE:
Since I've just released Clipper2 - https://github.com/AngusJohnson/Clipper2 ,
this library is now obsolete and no longer being maintained.","Categories
Algorithms"
PlantUml allows to quickly create some UML diagram using a simple textual description language.PlantUml allows to quickly create some UML diagram using a simple textual description language.,"Categories
UML, Documentation"
"SynEdit is a syntax highlighting edit control, not based on the Windows common controls. SynEdit is compatible with both Delphi and Kylix (C++ Builder mostly works, but is unsupported).SynEdit is a syntax highlighting edit control, not based on the Windows common controls. SynEdit is compatible with both Delphi and Kylix (C++ Builder mostly works, but is unsupported).","Categories
Text Editors, Software Development"
