Description,Category
"MediaWiki is the collaborative editing software that runs Wikipedia, the free encyclopedia, and other projects. MediaWiki is no longer distributed via SourceForge, for downloads and other information please visit www.mediawiki.org.MediaWiki is the collaborative editing software that runs Wikipedia, the free encyclopedia, and other projects. MediaWiki is no longer distributed via SourceForge, for downloads and other information please visit www.mediawiki.org.","Categories
HTML/XHTML, Other/Nonlisted Topic, Front-Ends, Message Board, Education"
PHP Http Proxy is a php script for taking webpages from one server and processes so that your main server is proctected/hidden. Usefull for those who have or require indirect access to the web and or their server.PHP Http Proxy is a php script for taking webpages from one server and processes so that your main server is proctected/hidden. Usefull for those who have or require indirect access to the web and or their server.,"Categories
WWW/HTTP, Networking"
"PeerProject is a versatile peer-to-peer filesharing client and file manager. Intuitive and aesthetic while supporting many networks and features. BitTorrent, G2, Gnutella, eDonkey, DC++, IRC, http/ftp & more. Mainstream fork of Shareaza p2p, for Windows & WINE.

Note: This project is idle, see Envy fork for further development.PeerProject is a versatile peer-to-peer filesharing client and file manager. Intuitive and aesthetic while supporting many networks and features. BitTorrent, G2, Gnutella, eDonkey, DC++, IRC, http/ftp & more. Mainstream fork of Shareaza p2p, for Windows & WINE.

Note: This project is idle, see Envy fork for further development.","Categories
BitTorrent, Gnutella, File Transfer Protocol (FTP)"
"PHP script to let non-technical users create and administer surveys, gather results, view statistics. All managed online after database initialization. Very easy (and recommended) to integrate into your own design.PHP script to let non-technical users create and administer surveys, gather results, view statistics. All managed online after database initialization. Very easy (and recommended) to integrate into your own design.","Categories
Communications, Dynamic Content"
"phpMyBitTorrent: BitTorrent Tracker written in PHP. Features include: hosting torrents from remote trackers, DHT, Compact Announce, alternate links (eD2K, Magnet), HTTP-Basic Authentication, Passkey Authentication, embedded HTML Editor, Mass-upload of tophpMyBitTorrent: BitTorrent Tracker written in PHP. Features include: hosting torrents from remote trackers, DHT, Compact Announce, alternate links (eD2K, Magnet), HTTP-Basic Authentication, Passkey Authentication, embedded HTML Editor, Mass-upload of to","Categories
HTML/XHTML, BitTorrent, Dynamic Content"
"iPhone Browser Simulator provides an iPhone sized web view with which to test your iPhone targetted apps, all in a pretty iPhone-inspired package.iPhone Browser Simulator provides an iPhone sized web view with which to test your iPhone targetted apps, all in a pretty iPhone-inspired package.","Categories
Browsers, Software Testing"
"AfterLogic WebMail Lite PHP is a free AJAX webmail application. Users can receive, view, manage, compose, and send email through web interface (IMAP and SMTP supported). Source code included.AfterLogic WebMail Lite PHP is a free AJAX webmail application. Users can receive, view, manage, compose, and send email through web interface (IMAP and SMTP supported). Source code included.","Categories
Email Clients, Dynamic Content"
LynxHD is a PHP helpdesk that is stylish and full of features. LynxHD has been updated with greater security and a new user interface. The Best Free PHP Helpdesk Solution.LynxHD is a PHP helpdesk that is stylish and full of features. LynxHD has been updated with greater security and a new user interface. The Best Free PHP Helpdesk Solution.,"Categories
Help Desk, Service Assurance, Knowledge Management"
"synchronize local files with your host, via FTP. Use your files anywhere and avoid any disk space limits...synchronize local files with your host, via FTP. Use your files anywhere and avoid any disk space limits...","Categories
File Sharing, File Transfer Protocol (FTP)"
"Brave is a free and open source browser that lets you browse safer and faster by blocking ads and trackers. Brave blocks harmful advertising, tracking pixels and cookies, and redirects sites to HTTPS.

Brave is available for macOS, Windows, and Linux.Brave is a free and open source browser that lets you browse safer and faster by blocking ads and trackers. Brave blocks harmful advertising, tracking pixels and cookies, and redirects sites to HTTPS.

Brave is available for macOS, Windows, and Linux.","Categories
Security, Browsers"
"ljArchive is a tool for downloading, browsing, and analyzing journal entries and comments from LiveJournal (or LiveJournal clones).ljArchive is a tool for downloading, browsing, and analyzing journal entries and comments from LiveJournal (or LiveJournal clones).","Categories
Site Management, Backup"
"OpenVPN GUI is a graphical frontend for OpenVPN running on Windows XP / Vista / 7 / 8. It creates an icon in the notification area from which you can control OpenVPN to start/stop your VPN tunnels, view the log and do other useful things.

NOTE: the official project page is now hosted on GitHub: https://github.com/OpenVPN/openvpn-gui/OpenVPN GUI is a graphical frontend for OpenVPN running on Windows XP / Vista / 7 / 8. It creates an icon in the notification area from which you can control OpenVPN to start/stop your VPN tunnels, view the log and do other useful things.

NOTE: the official project page is now hosted on GitHub: https://github.com/OpenVPN/openvpn-gui/","Categories
Security, VPN"
"FreeSMS is a PHP based application to manage an educational facility of teachers and students alike. It is a teacher and student management system providing marketing, registration, course management, attendance and a student evaluation system.FreeSMS is a PHP based application to manage an educational facility of teachers and students alike. It is a teacher and student management system providing marketing, registration, course management, attendance and a student evaluation system.","Categories
Database, LDAP, Internet, Education"
Capivara is a graphical file transfer and file synchronization application. It supports network protocols such as SFTP and FTP.Capivara is a graphical file transfer and file synchronization application. It supports network protocols such as SFTP and FTP.,"Categories
File Transfer Protocol (FTP), File Managers, Backup"
"FlareGet is a full featured, multi-threaded and multi-segment download manager and accelerator for Windows and LinuxFlareGet is a full featured, multi-threaded and multi-segment download manager and accelerator for Windows and Linux","Categories
File Transfer Protocol (FTP), WWW/HTTP, Internet, Download Managers"
"AutoVPNConnect is a nice tool for everyone that works daily with VPN. This tool keeps your VPN connection open. Every VPN connection created with the Windows built in VPN client is supported. This tool can connect to your VPN when starting Windows, and can be configured to work completely in background. Install it and enjoy!

Supported Windows versions:

Windows 7
Windows 8

Important note: AutoVPNConnect is since version 3.0 significantly improved. When you are running an older version, you should consider to upgrade to the latest version. See the page 'Files' for more information.AutoVPNConnect is a nice tool for everyone that works daily with VPN. This tool keeps your VPN connection open. Every VPN connection created with the Windows built in VPN client is supported. This tool can connect to your VPN when starting Windows, and can be configured to work completely in background. Install it and enjoy!

Supported Windows versions:

Windows 7
Windows 8

Important note: AutoVPNConnect is since version 3.0 significantly improved. When you are running an older version, you should consider to upgrade to the latest version. See the page 'Files' for more information.","Categories
Networking, VPN"
"A very flexible web based ticket/issue tracker with multiple clients and projects, fully configurable fields, categories, stati and status transitions - all on a per project basis. Track any process you want!

Available under an BSD license from MAPIX TechnologiesA very flexible web based ticket/issue tracker with multiple clients and projects, fully configurable fields, categories, stati and status transitions - all on a per project basis. Track any process you want!

Available under an BSD license from MAPIX Technologies","Categories
Help Desk"
"|es|f| is a web based HTML frontend for esniper, a lightweight console application for sniping eBay auctions.

It's written in PHP + Javascript and uses text files for all data storage, no database required.

Featuring extensions (modules and plugins), events handling, translations with TMX format, web based configuration.

Install |es|f| and esniper on your own server and enjoy bidding.|es|f| is a web based HTML frontend for esniper, a lightweight console application for sniping eBay auctions.

It's written in PHP + Javascript and uses text files for all data storage, no database required.

Featuring extensions (modules and plugins), events handling, translations with TMX format, web based configuration.

Install |es|f| and esniper on your own server and enjoy bidding.","Categories
Financial, WWW/HTTP"
"Highly Modular CMS framework includes: Wiki, Articles / News, phpBB Forum Bulletin Board, Blogs, Image Photo Gallery, ... includes TikiWiki upgrader. Databases supported: MySQL, Postgres, Oracle, Firebird, IIS/MS-SQL for PHP on Windows or Linux.Highly Modular CMS framework includes: Wiki, Articles / News, phpBB Forum Bulletin Board, Blogs, Image Photo Gallery, ... includes TikiWiki upgrader. Databases supported: MySQL, Postgres, Oracle, Firebird, IIS/MS-SQL for PHP on Windows or Linux.","Categories
Frameworks, Content Management Systems (CMS), Wiki"
"The CSS Parser is implemented as a package of Java classes, that inputs Cascading Style Sheets source text and outputs a Document Object Model Level 2 Style tree. Alternatively, applications can use SAC: The Simple API for CSS. Its purpose is to allow developers working with Java to incorporate Cascading Style Sheet information, primarily in conjunction with XML application developments.

The CSS Parser package includes parsers for:

* Cascading Style Sheets Level 3,
* Cascading Style Sheets Level 2.1,
* Cascading Style Sheets Level 2, and
* Cascading Style Sheets Level 1

The parser is freely available and without charge and is licenced under the terms of the Apache License, Version 2.0.The CSS Parser is implemented as a package of Java classes, that inputs Cascading Style Sheets source text and outputs a Document Object Model Level 2 Style tree. Alternatively, applications can use SAC: The Simple API for CSS. Its purpose is to allow developers working with Java to incorporate Cascading Style Sheet information, primarily in conjunction with XML application developments.

The CSS Parser package includes parsers for:

* Cascading Style Sheets Level 3,
* Cascading Style Sheets Level 2.1,
* Cascading Style Sheets Level 2, and
* Cascading Style Sheets Level 1

The parser is freely available and without charge and is licenced under the terms of the Apache License, Version 2.0.","Categories
Browsers"
Feedreader is a freeware Windows application that reads and displays Internet newsfeeds aka ATOM and RSS feeds based on XML. Version 3.0 is available on www.feedreader.comFeedreader is a freeware Windows application that reads and displays Internet newsfeeds aka ATOM and RSS feeds based on XML. Version 3.0 is available on www.feedreader.com,"Categories
WWW/HTTP"
"TinyMCE 3 ajax file manager plugin. Written in PHP. Supports image manipulation on the fly, and can be used as standalone file manager for your content management system.TinyMCE 3 ajax file manager plugin. Written in PHP. Supports image manipulation on the fly, and can be used as standalone file manager for your content management system.","Categories
Content Management Systems (CMS)"
"WikiquoteScreensaver is a screensaver that enables you to view thousands of quotes available at wikiquote.org. It supports quotes from the English, Spanish, French, German and Italian Wikiquote projects.WikiquoteScreensaver is a screensaver that enables you to view thousands of quotes available at wikiquote.org. It supports quotes from the English, Spanish, French, German and Italian Wikiquote projects.","Categories
Screen Savers, Wiki"
"silvertunnel.org is a project that provides an end-user browser, a Java library and additional Java security tools to easily access anonymity networks such as the Tor (torproject.org) network. Secure and easy to use. Tor4Java and Tor Browser.

Attention: see project status on page https://sourceforge.net/p/silvertunnel/discussion/962278/thread/83dc2d02/#silvertunnel.org is a project that provides an end-user browser, a Java library and additional Java security tools to easily access anonymity networks such as the Tor (torproject.org) network. Secure and easy to use. Tor4Java and Tor Browser.

Attention: see project status on page https://sourceforge.net/p/silvertunnel/discussion/962278/thread/83dc2d02/#","Categories
Cryptography, Browsers, Libraries"
"PHP iAddressBook is an address book for a single user. It supports tons of different fields, features a spotlight-like search, has transparent vCard import/export, multilanguage support, design templates and an intuitive interface.

http://iaddressbook.orgPHP iAddressBook is an address book for a single user. It supports tons of different fields, features a spotlight-like search, has transparent vCard import/export, multilanguage support, design templates and an intuitive interface.

http://iaddressbook.org","Categories
Office/Business, Dynamic Content"
"Tiny ftp server is a small ftp server, which is focused on performance and ease of use.Tiny ftp server is a small ftp server, which is focused on performance and ease of use.","Categories
File Transfer Protocol (FTP)"
"VirtueMart is an Open Source eCommerce Solution for Joomla! The other carts claim to be easy to use. VirtueMart is not only as easy to use as Joomla!, but it was easy to install and looks very easy to comprehend and maintain.VirtueMart is an Open Source eCommerce Solution for Joomla! The other carts claim to be easy to use. VirtueMart is not only as easy to use as Joomla!, but it was easy to install and looks very easy to comprehend and maintain.","Categories
Office/Business, Dynamic Content, Site Management"
"Conversion from *.mht files to *.htm files. mht2htm extracts all files from mht in single dir so you can open it on any OS. Also works with .eml, .msg, .nws... filesConversion from *.mht files to *.htm files. mht2htm extracts all files from mht in single dir so you can open it on any OS. Also works with .eml, .msg, .nws... files","Categories
HTML/XHTML, Email, WWW/HTTP"
A complete rewrite of the mobile java irc-client WLIrc. (http://wirelessirc.sourceforge.net) Aims to be more responsive and use less memory maintaining the current gui and looks.A complete rewrite of the mobile java irc-client WLIrc. (http://wirelessirc.sourceforge.net) Aims to be more responsive and use less memory maintaining the current gui and looks.,"Categories
IRC Clients, WWW/HTTP"
