Description,Category
Gobible is a J2ME based bible study software. It based on zefaniaXML-Modules to provide a wide spread of translations.Gobible is a J2ME based bible study software. It based on zefaniaXML-Modules to provide a wide spread of translations.,"Categories
Religion and Philosophy"
"LDSYouth pretends to be a useful tool for any LDS youth leader that needs to keep track about My Duty to God goals, birthdays, interviews, etc.LDSYouth pretends to be a useful tool for any LDS youth leader that needs to keep track about My Duty to God goals, birthdays, interviews, etc.","Categories
New Age"
"ACIP Tools and Content is a project for writing tools and systems for the freely available Asian Classics Input Project material at http://www.asianclassics.org. This includes filtering programs, translation programs, version handling, indexing, and otheACIP Tools and Content is a project for writing tools and systems for the freely available Asian Classics Input Project material at http://www.asianclassics.org. This includes filtering programs, translation programs, version handling, indexing, and othe","Categories
Documentation, Religion and Philosophy, Education"
Build up Christ's church through encouraging and facilitating the memorization of the scriptures and presenting the gospel to those who will listen.Build up Christ's church through encouraging and facilitating the memorization of the scriptures and presenting the gospel to those who will listen.,"Categories
Email, Religion and Philosophy"
childsafelinux aimes to be an easy to use and fast configuration tool to prevent children from seeing adult or illigal content through an internet/tcpip connection.childsafelinux aimes to be an easy to use and fast configuration tool to prevent children from seeing adult or illigal content through an internet/tcpip connection.,"Categories
WWW/HTTP, Bio-Informatics, Humanitarianism"
"An utility to 'optimize RAM performance', inspired by similar tools running on MS Windows.An utility to 'optimize RAM performance', inspired by similar tools running on MS Windows.","Categories
Religion and Philosophy, Systems Administration"
"Spatha is a multilingual, multiuser and nearly platform independent Bible study tool. It supports bookmarks, searches, commentaries, dictionaires, study notes, books, maps and many more. It is easy to use and yet efficient to perform complex tasks.Spatha is a multilingual, multiuser and nearly platform independent Bible study tool. It supports bookmarks, searches, commentaries, dictionaires, study notes, books, maps and many more. It is easy to use and yet efficient to perform complex tasks.","Categories
Religion and Philosophy"
"Games that are fun for the whole family, and promote and educate about Islam to Muslims and non-Muslims alike, as well as providing some fun and relaxation. We're always looking for artists - please contact me if you are interested in contributing!Games that are fun for the whole family, and promote and educate about Islam to Muslims and non-Muslims alike, as well as providing some fun and relaxation. We're always looking for artists - please contact me if you are interested in contributing!","Categories
Games/Entertainment, Religion and Philosophy, Education"
"An online Bible module that you can use within Postnuke or just to insert it into your own website/web application. It will contain possibilities to include translations (hebrew, dutch etc). The Dutch Statenvertaling will be inserted initially. Many searAn online Bible module that you can use within Postnuke or just to insert it into your own website/web application. It will contain possibilities to include translations (hebrew, dutch etc). The Dutch Statenvertaling will be inserted initially. Many sear","Categories
Religion and Philosophy"
"InfoCentral is a project to build an all-in-one, centralized, web-based administrative solution for churches, schools, and non-profit organizations using the latest Java and rich-web technologies. The old PHP version is no longer in development.InfoCentral is a project to build an all-in-one, centralized, web-based administrative solution for churches, schools, and non-profit organizations using the latest Java and rich-web technologies. The old PHP version is no longer in development.","Categories
Communications, Office/Business, Database, Religion and Philosophy, Education"
"This program shows the time elapsed since its first run in a particular
directory. I've written it because I believe that people trying to get away from their
addictions may find it useful to see how long they managed to, until now.This program shows the time elapsed since its first run in a particular
directory. I've written it because I believe that people trying to get away from their
addictions may find it useful to see how long they managed to, until now.","Categories
Desktop Environment, Games/Entertainment, Religion and Philosophy"
View St. Jerome's Latin Vulgate with side-by-side Douay-Rheims English translation. Includes full-text searching.View St. Jerome's Latin Vulgate with side-by-side Douay-Rheims English translation. Includes full-text searching.,"Categories
Religion and Philosophy, History"
