Description,Category
"Bonsole is a set of tool (Web Browser, client library) to allow writing rich console applications. It uses xslt2 and xml2 libraries to allow of creating semantic output, (xml) which is parsed by xslt to create html/xml file to be parsed by browser, or which is parsed by xslt to create text output with escape sequences.Bonsole is a set of tool (Web Browser, client library) to allow writing rich console applications. It uses xslt2 and xml2 libraries to allow of creating semantic output, (xml) which is parsed by xslt to create html/xml file to be parsed by browser, or which is parsed by xslt to create text output with escape sequences.","Categories
Terminals, Terminal Emulators"
"- - - 𝑫𝒆𝒇𝑳𝒂𝒏𝒈,𝑽𝒆𝒓𝒚 𝑺𝒊𝒎𝒑𝒍𝒆,𝑽𝒆𝒓𝒚 𝑬𝒍𝒆𝒈𝒂𝒏𝒕 - - -
This is DefLang.
It’s work on NodeJS.
News : I added DefLang to Package.
Type “npm install deflang”!
Please Upvote this! : https://repl.it/language-requests/p/deflang
This Language need some package.
Please install package by go deflang directory and type “npm install”
Latest Version : 3.5.0 (deflang350.zip)
(deflapp.exe for Linux Users,it’s can run by “./DefLang [filename]”)- - - 𝑫𝒆𝒇𝑳𝒂𝒏𝒈,𝑽𝒆𝒓𝒚 𝑺𝒊𝒎𝒑𝒍𝒆,𝑽𝒆𝒓𝒚 𝑬𝒍𝒆𝒈𝒂𝒏𝒕 - - -
This is DefLang.
It’s work on NodeJS.
News : I added DefLang to Package.
Type “npm install deflang”!
Please Upvote this! : https://repl.it/language-requests/p/deflang
This Language need some package.
Please install package by go deflang directory and type “npm install”
Latest Version : 3.5.0 (deflang350.zip)
(deflapp.exe for Linux Users,it’s can run by “./DefLang [filename]”)","Categories
Terminals, Office/Business, Languages"
"This should be the best COM tools you ever used. A modern UI and powerful functions that gives you best understand of you serial port data.
这可能是最好的串口助手软件。现代化的外观设计和强大的功能设置会帮助你更好的理解你的串口日志。

Please select the right file to fit your system, comNG support Windows, Mac OS and Debian based linux distributions.
请选择正确的安装文件，comNG支持Windows， Mac 和 基于Debian的Linux系统（包括Deepin 20，我自己试过了）。

For details please refer to github repo: https://github.com/xenkuo/comNG
需要了解详细用法请访问 gitee 页面： https://gitee.com/xenkuo/comNG

However the best doc is located at: https://xenkuo.github.io/
不过最完整的介绍是在： https://xenkuo.github.io/This should be the best COM tools you ever used. A modern UI and powerful functions that gives you best understand of you serial port data.
这可能是最好的串口助手软件。现代化的外观设计和强大的功能设置会帮助你更好的理解你的串口日志。

Please select the right file to fit your system, comNG support Windows, Mac OS and Debian based linux distributions.
请选择正确的安装文件，comNG支持Windows， Mac 和 基于Debian的Linux系统（包括Deepin 20，我自己试过了）。

For details please refer to github repo: https://github.com/xenkuo/comNG
需要了解详细用法请访问 gitee 页面： https://gitee.com/xenkuo/comNG

However the best doc is located at: https://xenkuo.github.io/
不过最完整的介绍是在： https://xenkuo.github.io/","Categories
Serial"
"COM Serial Terminal
Linux-Ubuntu x64 VersionCOM Serial Terminal
Linux-Ubuntu x64 Version","Categories
Serial, Hardware Drivers, Embedded Systems"
"LCXterm is a ncurses-based terminal emulator that brings additional conveniences to the raw Linux console and other terminals. LCXterm can: enable GPM mouse to work through a network connection; speed up the console significantly; provide a long and persistent scrollback; transfer files via Xmodem, Ymodem, Zmodem, and Kermit; provide user-defined function key macros; and many more.LCXterm is a ncurses-based terminal emulator that brings additional conveniences to the raw Linux console and other terminals. LCXterm can: enable GPM mouse to work through a network connection; speed up the console significantly; provide a long and persistent scrollback; transfer files via Xmodem, Ymodem, Zmodem, and Kermit; provide user-defined function key macros; and many more.","Categories
Terminals, Terminal Emulators, Other file transfer protocol"
"Find the next step in your career. Find and apply for remote jobs and jobs in your area using the Slashdot Job Board. Browse by job, company, location, and more.Features
Fully featured.
Compatible with Arduino.","Categories
Serial"
"PROJECT MOVED TO: https://github.com/damogranlabs/serial-tool
See releases page: https://github.com/damogranlabs/serial-tool/releases


Serial Tool is a utility for developing serial communications, custom protocols or device testing. You can set up bytes to send accordingly to your protocol and save configuration to a file – which can be used another time.
You can send multiple byte arrays, you can send sequence of different byte arrays and put delay between them. You can read data in HEX or ASCII. You can even write a note to yourself like: “CH1: toggle LED 1”.PROJECT MOVED TO: https://github.com/damogranlabs/serial-tool
See releases page: https://github.com/damogranlabs/serial-tool/releases


Serial Tool is a utility for developing serial communications, custom protocols or device testing. You can set up bytes to send accordingly to your protocol and save configuration to a file – which can be used another time.
You can send multiple byte arrays, you can send sequence of different byte arrays and put delay between them. You can read data in HEX or ASCII. You can even write a note to yourself like: “CH1: toggle LED 1”.","Categories
Serial, Communications"
"A small, simple terminal program capable of detecting packet delimiting silent period.
This is just something for refresh on Win32 programming for me, and will be part of a bigger project in the future.A small, simple terminal program capable of detecting packet delimiting silent period.
This is just something for refresh on Win32 programming for me, and will be part of a bigger project in the future.","Categories
Serial"
"Full Telnet ANSI terminal for 8-bit Commodore GEOS (and compatible operating systems) with C64Net WiFi Modems:
See README for details.Full Telnet ANSI terminal for 8-bit Commodore GEOS (and compatible operating systems) with C64Net WiFi Modems:
See README for details.","Categories
Telnet"
"Input : non blocking keyboard handling.
Output : clean console, print at x,y coordinates, echo on/off, cursor on/off.

Developed for learning game programming and MVC.

Uses native code through JNI. Provides windows and linux versions. Includes code:blocks and eclipse projects for native and java code.

You can use the classes InputProxy and OutpoutProxy in your projects. For usage examples, see their main() methods.Input : non blocking keyboard handling.
Output : clean console, print at x,y coordinates, echo on/off, cursor on/off.

Developed for learning game programming and MVC.

Uses native code through JNI. Provides windows and linux versions. Includes code:blocks and eclipse projects for native and java code.

You can use the classes InputProxy and OutpoutProxy in your projects. For usage examples, see their main() methods.","Categories
Terminals, Console Games, Libraries"
"NOTE: This project's source code is hosted at GitLab. View the source code here:
https://gitlab.com/jessieh/eopkg-fish-completions

This .fish file provides full completion definitions with descriptions for the eopkg package manager. It includes context-sensitive option completion and package name caching for both installed and remotely available packages.

The cache files are built from system metadata files that are maintained by eopkg, so caching is highly performant.NOTE: This project's source code is hosted at GitLab. View the source code here:
https://gitlab.com/jessieh/eopkg-fish-completions

This .fish file provides full completion definitions with descriptions for the eopkg package manager. It includes context-sensitive option completion and package name caching for both installed and remotely available packages.

The cache files are built from system metadata files that are maintained by eopkg, so caching is highly performant.","Categories
Terminals, System Shells"
"2.2.1:
• Bug fixing VPN
Make your Raspberry Pi 3, Pi 4 or a Ubuntu PC to a thin client system. xtc is easy to install and easy to configure. Connect to your server with RDP, VNC, XDMCP, X2GO or ssh. Make a connection to a server with VPN. Support for Raspberry Pi 400 and Pi 4 case oneninedesign and case Argon ONE with power switch.

Download: https://vmfree.org/xtc/xtcen.html2.2.1:
• Bug fixing VPN
Make your Raspberry Pi 3, Pi 4 or a Ubuntu PC to a thin client system. xtc is easy to install and easy to configure. Connect to your server with RDP, VNC, XDMCP, X2GO or ssh. Make a connection to a server with VPN. Support for Raspberry Pi 400 and Pi 4 case oneninedesign and case Argon ONE with power switch.

Download: https://vmfree.org/xtc/xtcen.html","Categories
Terminal Emulators, Office/Business"
"Uart32 is a C++ wrapper around the win32 Serial Port API that allows blocking-mode access to the COM port. This library works great for accessing a UART serial port from a background worker thread. It features: a simple c++ class. (temporarily removed for maintainance. Use DLL API Instead)
built in per access timeout on data receive.
a C-API wrapper that is exportable to
C# DLL import classUart32 is a C++ wrapper around the win32 Serial Port API that allows blocking-mode access to the COM port. This library works great for accessing a UART serial port from a background worker thread. It features: a simple c++ class. (temporarily removed for maintainance. Use DLL API Instead)
built in per access timeout on data receive.
a C-API wrapper that is exportable to
C# DLL import class","Categories
Serial, Hardware Drivers, Libraries"
讓你可以暢遊 Ptt.cc !讓你可以暢遊 Ptt.cc !,"Categories
Telnet, BBS"
..,"Categories
Terminals"
