Description,Category
"GLE is a graphics scripting language designed for creating publication quality graphs, plots, diagrams, figures, and slides. Text can be formatted with LaTeX/TeX markup. Its output formats include EPS, PS, PDF, JPEG, and PNG. GLE can operate as either a command line or GUI application.GLE is a graphics scripting language designed for creating publication quality graphs, plots, diagrams, figures, and slides. Text can be formatted with LaTeX/TeX markup. Its output formats include EPS, PS, PDF, JPEG, and PNG. GLE can operate as either a command line or GUI application.","Categories
Graphics, Data Visualization"
"A powerful editor for video games based on or similar to id Software's series of Quake games. Currently QuArK supports 41 distinct games, 5 generic game engines, and a countless number of expansions packs, addons, and mods. It integrates a map editor, model editor, archive editors, texture management, and much more.A powerful editor for video games based on or similar to id Software's series of Quake games. Currently QuArK supports 41 distinct games, 5 generic game engines, and a countless number of expansions packs, addons, and mods. It integrates a map editor, model editor, archive editors, texture management, and much more.","Categories
First Person Shooters, 3D Modeling, Graphic Design"
"SPTK is a suite of speech signal processing tools for UNIX
environments, e.g., LPC analysis, PARCOR analysis, LSP analysis,
PARCOR synthesis filter, LSP synthesis filter, vector
quantization techniques, and other extended versions of them.SPTK is a suite of speech signal processing tools for UNIX
environments, e.g., LPC analysis, PARCOR analysis, LSP analysis,
PARCOR synthesis filter, LSP synthesis filter, vector
quantization techniques, and other extended versions of them.","Categories
Speech, Audio Analysis, Sound Synthesis"
"libdc1394 is a library that provides a high level programming interface for application developers who wish to control and capture streams from IEEE 1394 based cameras that conform to the 1394-based Digital Camera Specifications (also known as the IIDC or DCAM Specifications). libdc1394 also supports some USB cameras that are IIDC compliant.

Besides capture and control, libdc1394 provides a full set of colour space conversion functions (including RAW decoding), vendor specific functions and direct camera register access.

Keywords: ieee1394, IIDC, DCAM, firewire, USB, machine vision, computer vision, video capture, librarylibdc1394 is a library that provides a high level programming interface for application developers who wish to control and capture streams from IEEE 1394 based cameras that conform to the 1394-based Digital Camera Specifications (also known as the IIDC or DCAM Specifications). libdc1394 also supports some USB cameras that are IIDC compliant.

Besides capture and control, libdc1394 provides a full set of colour space conversion functions (including RAW decoding), vendor specific functions and direct camera register access.

Keywords: ieee1394, IIDC, DCAM, firewire, USB, machine vision, computer vision, video capture, library","Categories
Hardware Drivers, Scientific/Engineering, Video Capture"
"Aural Probe is a sample librarian tool for computer musicians/audio engineers. Automatically and non-destructively index your disorganised sample collection from a list of folders into categories (kick, snare, hihats etc.) based on folder/filename wildcard matches. Easily audition samples, load/save favourites, and drag-and-drop straight into your sequencer.Aural Probe is a sample librarian tool for computer musicians/audio engineers. Automatically and non-destructively index your disorganised sample collection from a list of folders into categories (kick, snare, hihats etc.) based on folder/filename wildcard matches. Easily audition samples, load/save favourites, and drag-and-drop straight into your sequencer.","Categories
Audio Editing, Audio Analysis, Music Composition"
"Simple Movie Catalog will scan a given directory for movies, query imdb for info and generate a catalog in html which offers sorting and grouping of found movies by different criteria.

Note: source code has been moved to github: https://github.com/damienlangg/SimpleMovieCatalogSimple Movie Catalog will scan a given directory for movies, query imdb for info and generate a catalog in html which offers sorting and grouping of found movies by different criteria.

Note: source code has been moved to github: https://github.com/damienlangg/SimpleMovieCatalog","Categories
File Managers, Multimedia"
The development continues on the Git-hub https://github.com/Eule/StreamRipStarThe development continues on the Git-hub https://github.com/Eule/StreamRipStar,"Categories
Audio Recording"
"Edit MP3 ID3 and Ogg/Speex Vorbis tags easily. Create support files for audiobook NFO, SFV, PAR, M3U. Test file base on SFV and PAR.Edit MP3 ID3 and Ogg/Speex Vorbis tags easily. Create support files for audiobook NFO, SFV, PAR, M3U. Test file base on SFV and PAR.","Categories
Audio Editing"
"Chamonix is a CHM viewer for Mac OS X 10.4. It is an Objective-C app that uses CHM lib (http://sourceforge.net/projects/chmlib), Cocoa and WebKit. It supports ToC, Indexing, Search and Favourites and multiple CHM documents.Chamonix is a CHM viewer for Mac OS X 10.4. It is an Objective-C app that uses CHM lib (http://sourceforge.net/projects/chmlib), Cocoa and WebKit. It supports ToC, Indexing, Search and Favourites and multiple CHM documents.","Categories
Data Formats, Image Viewers"
"GeSHi - Generic Syntax Highlighter for PHP. Used to highlight almost any code for the web. Nearly 150 supported languages: PHP, HTML, C and more. Styles can be changed on the fly and CSS classes can be used to reduce the amount of XHTML compliant output.GeSHi - Generic Syntax Highlighter for PHP. Used to highlight almost any code for the web. Nearly 150 supported languages: PHP, HTML, C and more. Styles can be changed on the fly and CSS classes can be used to reduce the amount of XHTML compliant output.","Categories
Dynamic Content, Software Development, Presentation"
"<b>Direct Youtube To Mp3 Downloader App Link</b>
↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓

https://fvdtube.com/en/youtube-mp3-converter/ <<<< Direct APK ***********

Youtube to mp3 Downloader for Android Phones is the best app for those who love watching youtube videos and the best thing about this application is that, you can download whatever youtube you like and keep it with you forever. The videos can be downloaded in whatever format you like as per the quality and resolution. Youtube Downloader for Android Phones also allows multiple video downloading at one time. This is surely one cool app for android phones.<b>Direct Youtube To Mp3 Downloader App Link</b>
↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓

https://fvdtube.com/en/youtube-mp3-converter/ <<<< Direct APK ***********

Youtube to mp3 Downloader for Android Phones is the best app for those who love watching youtube videos and the best thing about this application is that, you can download whatever youtube you like and keep it with you forever. The videos can be downloaded in whatever format you like as per the quality and resolution. Youtube Downloader for Android Phones also allows multiple video downloading at one time. This is surely one cool app for android phones.","Categories
Communications, Video Downloaders, YouTube Downloaders"
