Description,Category
"An APT repository hosting the Mozilla builds of the latest official releases of Firefox, Thunderbird, and Seamonkey. Do not manually download the files - read the wiki, https://sourceforge.net/p/ubuntuzilla/wiki/ for instructions on using the repository.An APT repository hosting the Mozilla builds of the latest official releases of Firefox, Thunderbird, and Seamonkey. Do not manually download the files - read the wiki, https://sourceforge.net/p/ubuntuzilla/wiki/ for instructions on using the repository.","Categories
Software Distribution, Systems Administration, Installation/Setup"
"Cyberoam iView; the Intelligent Logging & Reporting solution provides organizations network visibility across multiple devices to achieve higher levels of security, data confidentiality while meeting the requirements of regulatory compliance.

To know more about Cyberoam and it’s security solutions visit us at www.cyberoam.com.Cyberoam iView; the Intelligent Logging & Reporting solution provides organizations network visibility across multiple devices to achieve higher levels of security, data confidentiality while meeting the requirements of regulatory compliance.

To know more about Cyberoam and it’s security solutions visit us at www.cyberoam.com.","Categories
Security, Monitoring, Logging, SIEM"
User contributed components that extends the functionality of NHibernate. More information in the wiki: http://www.nhforge.org/wikis/. Development List: http://groups.google.com/group/nhcdevsUser contributed components that extends the functionality of NHibernate. More information in the wiki: http://www.nhforge.org/wikis/. Development List: http://groups.google.com/group/nhcdevs,"Categories
Database, Code Generators, Search"
"Data Crow allows you to use the standard movie & video (divx, xvid, DVD, Blu-ray, etc), book (and eBooks), images, games & software, music (mp3 and other music files) cataloging modules. Besides these modules, which you can change to fit your requirements, you can create new modules (want to catalogue your stamps, equipment, or anything else?).

The GUI is skinnable.

Reporting (using JasperReports and their community edition JasperSoft Developer Studio ), loan administration, item importing & exporting, backup & restore and many other optional features are waiting for you.Data Crow allows you to use the standard movie & video (divx, xvid, DVD, Blu-ray, etc), book (and eBooks), images, games & software, music (mp3 and other music files) cataloging modules. Besides these modules, which you can change to fit your requirements, you can create new modules (want to catalogue your stamps, equipment, or anything else?).

The GUI is skinnable.

Reporting (using JasperReports and their community edition JasperSoft Developer Studio ), loan administration, item importing & exporting, backup & restore and many other optional features are waiting for you.","Categories
File Managers, Collection Management, Cataloguing"
"GNOME Partition Editor for creating, reorganizing, and deleting disk partitions. It uses libparted from the parted project to detect and manipulate partition tables. Optional file system tools permit managing file systems not included in libparted.GNOME Partition Editor for creating, reorganizing, and deleting disk partitions. It uses libparted from the parted project to detect and manipulate partition tables. Optional file system tools permit managing file systems not included in libparted.","Categories
Storage"
"iperf was developed by NLANR/DAST as a modern alternative for measuring maximum TCP and UDP bandwidth performance. Iperf allows the tuning of various parameters and UDP characteristics. Iperf reports bandwidth, delay jitter, and datagram loss.

iperf version 2 (in this repository) is no longer maintained by its original developers. Current ESnet development efforts are focused on version 3 of iperf (otherwise known as iperf3), which is available at:

https://github.com/esnet/iperf
http://software.es.net/iperf

Meanwhile, a third party has taken up development and maintenance of iperf2. As of this update (November 2017), this work can be found in the following repository:

https://sourceforge.net/projects/iperf2/iperf was developed by NLANR/DAST as a modern alternative for measuring maximum TCP and UDP bandwidth performance. Iperf allows the tuning of various parameters and UDP characteristics. Iperf reports bandwidth, delay jitter, and datagram loss.

iperf version 2 (in this repository) is no longer maintained by its original developers. Current ESnet development efforts are focused on version 3 of iperf (otherwise known as iperf3), which is available at:

https://github.com/esnet/iperf
http://software.es.net/iperf

Meanwhile, a third party has taken up development and maintenance of iperf2. As of this update (November 2017), this work can be found in the following repository:

https://sourceforge.net/projects/iperf2/","Categories
Monitoring"
"The best USB Flash method is using Rofus to create a bootable USB
Most common problem + easy fix: https://askubuntu.com/questions/985612/running-ubuntu-from-a-usb-failed-to-load-ldlinux-c32

Please note: default password is pass
Lonero OS is based off of the Lubuntu OS, and has a few adding things such as:
1) The uncompiled source binaries of: GitPrep, SMesh, Kademlia, Beaker Browser, and VPNBook
2) Telegram Desktop installed
3) DuckDuckGo should be the default browser
This project is part of an aim to create an open, distributed, censorship resistant operating system, and this is the beta of that.The best USB Flash method is using Rofus to create a bootable USB
Most common problem + easy fix: https://askubuntu.com/questions/985612/running-ubuntu-from-a-usb-failed-to-load-ldlinux-c32

Please note: default password is pass
Lonero OS is based off of the Lubuntu OS, and has a few adding things such as:
1) The uncompiled source binaries of: GitPrep, SMesh, Kademlia, Beaker Browser, and VPNBook
2) Telegram Desktop installed
3) DuckDuckGo should be the default browser
This project is part of an aim to create an open, distributed, censorship resistant operating system, and this is the beta of that.","Categories
Operating System Kernels, OS distribution, Live CD"
"tkdiff is a graphical front end to the diff program. It provides a side-by-side view of the differences between two text files, along with several innovative features such as diff bookmarks, a graphical map of differences for quick navigation, and a facility for slicing diff regions to achieve exactly the merge output desired.tkdiff is a graphical front end to the diff program. It provides a side-by-side view of the differences between two text files, along with several innovative features such as diff bookmarks, a graphical map of differences for quick navigation, and a facility for slicing diff regions to achieve exactly the merge output desired.","Categories
Source Code Analysis, Code Review, Diff Tools"
"PHPfileNavigator is a PHP Open Source Web File Manager. Easy to install and use. All in CSS and Valid XHTML 1.1, allow manage all possibilities with files and folders.PHPfileNavigator is a PHP Open Source Web File Manager. Easy to install and use. All in CSS and Valid XHTML 1.1, allow manage all possibilities with files and folders.","Categories
Site Management, File Managers"
"Privoxy is a non-caching web proxy with advanced filtering capabilities for enhancing privacy, modifying web page data and HTTP headers, controlling access, and removing ads and other obnoxious Internet junk. Privoxy has a flexible configuration and can be customized to suit individual needs and tastes.

It has application for both stand-alone systems and multi-user networks.Privoxy is a non-caching web proxy with advanced filtering capabilities for enhancing privacy, modifying web page data and HTTP headers, controlling access, and removing ads and other obnoxious Internet junk. Privoxy has a flexible configuration and can be customized to suit individual needs and tastes.

It has application for both stand-alone systems and multi-user networks.","Categories
WWW/HTTP, Firewall"
