Description,Category
"CMSimple_XH is a modular, easy-to-install and easy-to-use one administrator Content Management System (CMS) without database. Contents are stored in flat files. Upload it to a server with php 4.3 or higher and it runs. (On some servers writing permissions have to be given.)CMSimple_XH is a modular, easy-to-install and easy-to-use one administrator Content Management System (CMS) without database. Contents are stored in flat files. Upload it to a server with php 4.3 or higher and it runs. (On some servers writing permissions have to be given.)","Categories
Content Management Systems (CMS)"
"ClickHeat is a visual heatmap of clicks on a HTML page, showing hot and cold click zones. Requires Javascript on the client to track clicks, PHP and GD on the server to log clicks and generate the heatmap.

You should download it on Github where the project has moved: https://github.com/dugwood/clickheatClickHeat is a visual heatmap of clicks on a HTML page, showing hot and cold click zones. Requires Javascript on the client to track clicks, PHP and GD on the server to log clicks and generate the heatmap.

You should download it on Github where the project has moved: https://github.com/dugwood/clickheat","Categories
WWW/HTTP, Log Analysis"
A general purpose source code indexer and cross-referencer that provides web-based browsing of source code with links to the definition and usage of any identifier. Supports multiple languages. Up-to-date information in http://lxr.sourceforge.netA general purpose source code indexer and cross-referencer that provides web-based browsing of source code with links to the definition and usage of any identifier. Supports multiple languages. Up-to-date information in http://lxr.sourceforge.net,"Categories
Search Engines, Source Code Analysis, Source Code Management"
"This is the Standard French translation project for phpBB3. We are doing translations of the actual software itself (language files, packages and imagesets).This is the Standard French translation project for phpBB3. We are doing translations of the actual software itself (language files, packages and imagesets).","Categories
BBS, Message Board, Internationalization (I18N)"
"Jena is Java toolkit for developing semantic web applications based on W3C recommendations for RDF and OWL. It provides an RDF API; ARP, an RDF parser; SPARQL, the W3C RDF query language; an OWL API; and rule-based inference for RDFS and OWL.

Jena is now an Apache project:

http://jena.apache.org/Jena is Java toolkit for developing semantic web applications based on W3C recommendations for RDF and OWL. It provides an RDF API; ARP, an RDF parser; SPARQL, the W3C RDF query language; an OWL API; and rule-based inference for RDFS and OWL.

Jena is now an Apache project:

http://jena.apache.org/","Categories
Database, WWW/HTTP"
"EGroupware has moved to Github, please find all our downloads there: https://github.com/EGroupware/egroupware/releases

EGroupware is a multi-user, web-based groupware suite. Currently available modules include: email, addressbook, calendar, infolog (notes, to-do's, phone calls), content management, wiki, project management, tracker, timesheet, knowledge base, CalDAV/CardDAVEGroupware has moved to Github, please find all our downloads there: https://github.com/EGroupware/egroupware/releases

EGroupware is a multi-user, web-based groupware suite. Currently available modules include: email, addressbook, calendar, infolog (notes, to-do's, phone calls), content management, wiki, project management, tracker, timesheet, knowledge base, CalDAV/CardDAV","Categories
File Sharing, Email Clients, Scheduling, Office Suites, Project Management, Site Management"
"Fetch the latest version on https://get.typo3.org.

TYPO3 is an enterprise class Web CMS written in PHP/MySQL. It's designed to be extended with custom written backend modules and frontend libraries for special functionality.
It has very powerful integration of image manipulation.Fetch the latest version on https://get.typo3.org.

TYPO3 is an enterprise class Web CMS written in PHP/MySQL. It's designed to be extended with custom written backend modules and frontend libraries for special functionality.
It has very powerful integration of image manipulation.","Categories
Site Management, Content Management Systems (CMS)"
"Untangle is a Linux-based network gateway with pluggable modules for network applications like spam blocking, web filtering, anti-virus, anti-spyware, intrusion prevention, bandwidth control, captive portal, VPN, firewall, and more. Visit http://untangle.comUntangle is a Linux-based network gateway with pluggable modules for network applications like spam blocking, web filtering, anti-virus, anti-spyware, intrusion prevention, bandwidth control, captive portal, VPN, firewall, and more. Visit http://untangle.com","Categories
Email, Security, Networking, Logging, Internet"
"PHPFusion is an award-winning open source content management system (CMS).
PHPFusion is written in PHP and MySQL and includes a simple, comprehensive administration system.
Demos : https://demos.php-fusion.co.uk/PHPFusion is an award-winning open source content management system (CMS).
PHPFusion is written in PHP and MySQL and includes a simple, comprehensive administration system.
Demos : https://demos.php-fusion.co.uk/","Categories
Message Board, Site Management, Content Management Systems (CMS)"
"LibreOffice is a free and powerful office suite. Word processor, spreadsheet, presentations, diagrams, databases, formula editors, charts, and more. Compatible with Windows, Mac, and Linux.License
GNU Library or Lesser General Public License version 2.0 (LGPLv2)","Categories
Email, Office/Business, Games/Entertainment, Browsers, Design, Education"
