Description,Category
"Converts Google Earth KML file to a CSV file, and vice versa. This enables you to plot all custom POIs with Google Earth first before transferring them into your Garmin GPS using the POI Loader.Converts Google Earth KML file to a CSV file, and vice versa. This enables you to plot all custom POIs with Google Earth first before transferring them into your Garmin GPS using the POI Loader.","Categories
Data Formats, Information Analysis, GIS"
"This project has been moved to CodePlex: http://nhapi.codeplex.com/

.Net version of HAPI (http://hl7api.sourceforge.net/). Object oriented HL7 2.X parser. This was ported from the original HAPI by Bryan Tripp and University Health Network. HL7 parser/encoder written in Microsoft .Net C#. Can encode/decode both XML and PiThis project has been moved to CodePlex: http://nhapi.codeplex.com/

.Net version of HAPI (http://hl7api.sourceforge.net/). Object oriented HL7 2.X parser. This was ported from the original HAPI by Bryan Tripp and University Health Network. HL7 parser/encoder written in Microsoft .Net C#. Can encode/decode both XML and Pi","Categories
Medical"
"DarwiinRemote is a tiny program & library which reads data from and sends data to Nintendo Wii Remote (Wiimote), nunchuk, & classic controller.DarwiinRemote is a tiny program & library which reads data from and sends data to Nintendo Wii Remote (Wiimote), nunchuk, & classic controller.","Categories
Games/Entertainment, Hardware, HMI"
rtmc9s12-Target is a MATLAB/Simulink block-set for real-time control on Freescale MC9S12 microcontrollers.rtmc9s12-Target is a MATLAB/Simulink block-set for real-time control on Freescale MC9S12 microcontrollers.,"Categories
Robotics, Embedded Systems"
"MIRA - Sequence assembler and sequence mapping for whole genome shotgun and EST / RNASeq sequencing data. Can use Sanger, 454, Illumina and IonTorrent data. PacBio: CCS and error corrected data usable, uncorrected not yet.MIRA - Sequence assembler and sequence mapping for whole genome shotgun and EST / RNASeq sequencing data. Can use Sanger, 454, Illumina and IonTorrent data. PacBio: CCS and error corrected data usable, uncorrected not yet.","Categories
Bio-Informatics"
"Marcion is a software forming a study environment of ancient languages (esp. Coptic, Greek, Latin) and providing many tools and resources (dictionaties, grammars, texts). Although Marcion is focused on to study the gnosticism and early christianity, it is an universal library working with various file formats and allowing to collect, organize and backup texts of any kind.

Overview of gnostic sources in Coptic language delivered with Marcion: Nag Hammadi Library; Berlin Codex; Codex Tchacos (Gospel of Judas); Askew Codex (Pistis Sophia); Bruce Codex (Books of Jeu)

Overview of sources of early christianity in Coptic, Greek and Latin languages: Septuagint (LXX); Greek New Testament; Coptic New Testament (Sahidic, Bohairic); Latin VulgateMarcion is a software forming a study environment of ancient languages (esp. Coptic, Greek, Latin) and providing many tools and resources (dictionaties, grammars, texts). Although Marcion is focused on to study the gnosticism and early christianity, it is an universal library working with various file formats and allowing to collect, organize and backup texts of any kind.

Overview of gnostic sources in Coptic language delivered with Marcion: Nag Hammadi Library; Berlin Codex; Codex Tchacos (Gospel of Judas); Askew Codex (Pistis Sophia); Bruce Codex (Books of Jeu)

Overview of sources of early christianity in Coptic, Greek and Latin languages: Septuagint (LXX); Greek New Testament; Coptic New Testament (Sahidic, Bohairic); Latin Vulgate","Categories
Library, Religion and Philosophy, Linguistics"
"This project, initially developed at University College London, contains programs to perform rigid, affine and non-linear registration of nifti or analyse images. Two versions of the algorithms are included, a CPU- and a GPU- (using CUDA) based implementation.This project, initially developed at University College London, contains programs to perform rigid, affine and non-linear registration of nifti or analyse images. Two versions of the algorithms are included, a CPU- and a GPU- (using CUDA) based implementation.","Categories
Bio-Informatics, Medical"
Blaze is an application launcher that distinguishes from amongst the others by being able to automate recurrent tasks performed in the file-system or even any application on Microsoft Windows.Blaze is an application launcher that distinguishes from amongst the others by being able to automate recurrent tasks performed in the file-system or even any application on Microsoft Windows.,"Categories
Desktop Environment, Search, HMI"
"Make a Linux distribution that is focused on the development of Arduino and IOT. This distribution must be in ""Live"" format and fully functional.
If the user likes the distribution it is possible to do a final installation.
The license is in GNU format totally free and free for use in any segment whether personal, academic or commercial.

Build Features:
Distro Base: Debian 9.5 AMD64bit
Size: 4Gb
Xwindow manager: Mate, XFCEMake a Linux distribution that is focused on the development of Arduino and IOT. This distribution must be in ""Live"" format and fully functional.
If the user likes the distribution it is possible to do a final installation.
The license is in GNU format totally free and free for use in any segment whether personal, academic or commercial.

Build Features:
Distro Base: Debian 9.5 AMD64bit
Size: 4Gb
Xwindow manager: Mate, XFCE","Categories
3D Printing"
"NEW V3 version with RTC and buzzer (require V3+ ECG Logger Viewer application)

The ECG Logger project is a Wearable Cardio Monitor for Long-Term (up to 24h) ECG Data Acquisition and Analysis (aka Holter) with an ECG live (real-time) mode.

This project provides a very low-cost open-source ""Hardware and Software"" for a Cardiac Rhythmic Holter. The hardware has been made very simple and is based on an Arduino Nano micro-controller with boards for SD card mass-storage, instrumentation differential amplifier and RTC. It can help monitoring arrhythmia syndromes such as bradycardia, tachycardia, extra-systoles, pause or flutter.

WARNING:
In no case it can be use to replace a professional medical examination.
Device MUST NOT BE CONNECTED to appliance powered by mains - risk of electrical shocks
**************************************************************************************

see also:
ECG Logger Viewer application : https://sourceforge.net/projects/ecg-logger-viewer/NEW V3 version with RTC and buzzer (require V3+ ECG Logger Viewer application)

The ECG Logger project is a Wearable Cardio Monitor for Long-Term (up to 24h) ECG Data Acquisition and Analysis (aka Holter) with an ECG live (real-time) mode.

This project provides a very low-cost open-source ""Hardware and Software"" for a Cardiac Rhythmic Holter. The hardware has been made very simple and is based on an Arduino Nano micro-controller with boards for SD card mass-storage, instrumentation differential amplifier and RTC. It can help monitoring arrhythmia syndromes such as bradycardia, tachycardia, extra-systoles, pause or flutter.

WARNING:
In no case it can be use to replace a professional medical examination.
Device MUST NOT BE CONNECTED to appliance powered by mains - risk of electrical shocks
**************************************************************************************

see also:
ECG Logger Viewer application : https://sourceforge.net/projects/ecg-logger-viewer/","Categories
Medical, Education, Healthcare"
