Description,Category
"CLI tool and python library that converts the output of popular command-line tools and file types to JSON or Dictionaries. This allows piping of output to tools like jq and simplifying automation scripts. jc JSONifies the output of many CLI tools and file types for easier parsing in scripts. This allows further command-line processing of output with tools like jq or jello by piping commands. The JC parsers can also be used as python modules. In this case, the output will be a python dictionary, or a list of dictionaries, instead of JSON. Two representations of the data are available. The default representation uses a strict schema per parser and converts known numbers to int/float JSON values. Certain known values of None are converted to JSON null, known boolean values are converted, and, in some cases, additional semantic context fields are added.CLI tool and python library that converts the output of popular command-line tools and file types to JSON or Dictionaries. This allows piping of output to tools like jq and simplifying automation scripts. jc JSONifies the output of many CLI tools and file types for easier parsing in scripts. This allows further command-line processing of output with tools like jq or jello by piping commands. The JC parsers can also be used as python modules. In this case, the output will be a python dictionary, or a list of dictionaries, instead of JSON. Two representations of the data are available. The default representation uses a strict schema per parser and converts known numbers to int/float JSON values. Certain known values of None are converted to JSON null, known boolean values are converted, and, in some cases, additional semantic context fields are added.","Categories
Terminals, JSON, Libraries"
"Command Line by Jeroen Janssens, published by O’Reilly Media in October 2021. Obtain, scrub, explore, and model data with Unix Power Tools. This repository contains the full text, data, and scripts used in the second edition of the book Data Science at the Command Line by Jeroen Janssens. This thoroughly revised guide demonstrates how the flexibility of the command line can help you become a more efficient and productive data scientist. You’ll learn how to combine small yet powerful command-line tools to quickly obtain, scrub, explore, and model your data. To get you started, author Jeroen Janssens provides a Docker image packed with over 100 Unix power tools, useful whether you work with Windows, macOS, or Linux. You’ll quickly discover why the command line is an agile, scalable, and extensible technology. Even if you’re comfortable processing data with Python or R, you’ll learn how to greatly improve your data science workflow by leveraging the command line’s power.Command Line by Jeroen Janssens, published by O’Reilly Media in October 2021. Obtain, scrub, explore, and model data with Unix Power Tools. This repository contains the full text, data, and scripts used in the second edition of the book Data Science at the Command Line by Jeroen Janssens. This thoroughly revised guide demonstrates how the flexibility of the command line can help you become a more efficient and productive data scientist. You’ll learn how to combine small yet powerful command-line tools to quickly obtain, scrub, explore, and model your data. To get you started, author Jeroen Janssens provides a Docker image packed with over 100 Unix power tools, useful whether you work with Windows, macOS, or Linux. You’ll quickly discover why the command line is an agile, scalable, and extensible technology. Even if you’re comfortable processing data with Python or R, you’ll learn how to greatly improve your data science workflow by leveraging the command line’s power.","Categories
Terminals, Education, Research, Data Science"
"A full-featured framework for building command-line applications (CLI) with node.js, including help generation, colored output, verbosity control, custom logger, coercion and casting, typos suggestions, and auto-complete for bash/zsh/fish.A full-featured framework for building command-line applications (CLI) with node.js, including help generation, colored output, verbosity control, custom logger, coercion and casting, typos suggestions, and auto-complete for bash/zsh/fish.","Categories
Terminals, Build Tools, Frameworks"
"screenFetch is a ""Bash Screenshot Information Tool"". This handy Bash script can be used to generate one of those nifty terminal theme information + ASCII distribution logos you see in everyone's screenshots nowadays. It will auto-detect your distribution and display an ASCII version of that distribution's logo and some valuable information to the right. There are options to specify no ASCII art, colors, taking a screenshot upon displaying info, and even customizing the screenshot command! This script is very easy to add to and can easily be extended. To run screenFetch, open a terminal of some sort and type in the command screenfetch or wherever you saved the script to. This will generate an ASCII logo with the information printed to the side of the logo. There are some options that may be specified on the command line.screenFetch is a ""Bash Screenshot Information Tool"". This handy Bash script can be used to generate one of those nifty terminal theme information + ASCII distribution logos you see in everyone's screenshots nowadays. It will auto-detect your distribution and display an ASCII version of that distribution's logo and some valuable information to the right. There are options to specify no ASCII art, colors, taking a screenshot upon displaying info, and even customizing the screenshot command! This script is very easy to add to and can easily be extended. To run screenFetch, open a terminal of some sort and type in the command screenfetch or wherever you saved the script to. This will generate an ASCII logo with the information printed to the side of the logo. There are some options that may be specified on the command line.","Categories
Terminals"
"719 unique Pokemon. Select Pokemon by name or by index number. Ability to change the Desktop Wallpaper & the Terminal background. Internal search system for finding Pokemon. Supports iTerm2, ConEmu, Terminology, Windows Terminal, and Tilix terminal emulators. Supports Windows, MacOS, GNOME, Openbox (with feh), i3wm (with feh), and sway for desktops.719 unique Pokemon. Select Pokemon by name or by index number. Ability to change the Desktop Wallpaper & the Terminal background. Internal search system for finding Pokemon. Supports iTerm2, ConEmu, Terminology, Windows Terminal, and Tilix terminal emulators. Supports Windows, MacOS, GNOME, Openbox (with feh), i3wm (with feh), and sway for desktops.","Categories
Terminals, KDE Themes"
"airgeddon is an alive project growing day by day. Interface mode switcher (Monitor-Managed) keeping selection even on interface name changing. DoS over wireless networks using different methods (mdk3, mdk4, aireplay-ng). ""DoS Pursuit mode"" is available to avoid AP channel hopping (available also on DoS performed on Evil Twin attacks). Full support for 2.4Ghz and 5Ghz bands. Assisted WPA/WPA2 personal networks Handshake file and PMKID capturing. Cleaning and optimizing Handshake captured files. Offline password decrypting on WPA/WPA2 captured files for personal networks (Handshakes and PMKIDs) using a dictionary, brute-force, and rule-based attacks with aircrack, crunch and hashcat tools. Enterprise networks captured password decrypting based on john the ripper, crunch, asleap and hashcat tools. GPU support available for hashcat. Only Rogue/Fake AP mode to sniff using external sniffer (Hostapd + DHCP + DoS).airgeddon is an alive project growing day by day. Interface mode switcher (Monitor-Managed) keeping selection even on interface name changing. DoS over wireless networks using different methods (mdk3, mdk4, aireplay-ng). ""DoS Pursuit mode"" is available to avoid AP channel hopping (available also on DoS performed on Evil Twin attacks). Full support for 2.4Ghz and 5Ghz bands. Assisted WPA/WPA2 personal networks Handshake file and PMKID capturing. Cleaning and optimizing Handshake captured files. Offline password decrypting on WPA/WPA2 captured files for personal networks (Handshakes and PMKIDs) using a dictionary, brute-force, and rule-based attacks with aircrack, crunch and hashcat tools. Enterprise networks captured password decrypting based on john the ripper, crunch, asleap and hashcat tools. GPU support available for hashcat. Only Rogue/Fake AP mode to sniff using external sniffer (Hostapd + DHCP + DoS).","Categories
Terminals, Networking, Wireless"
"A Quicker and better SSH/Telnet/Serial/Shell/Sftp client for DevOps. WindTerm is a partial open source project, and the source will be gradually opened. Open source code includes, but is not limited to, the classes that can be used independently, such as functional, algorithms, GUI widgets, etc., as well as functional libraries, such as networks, protocols, etc., as well as all types that require open source according to the license. SSH v2, Telnet, Raw TCP, Serial, Shell protocols were implemented. Supports SSH auto-execution when the session is authenticated. Integrated local file manager, supports the move to, copy to, copy from, remove, rename, make new file/directory and so on. Supports Windows Cmd, PowerShell and Cmd, PowerShell as administrator. Supports Linux bash, zsh, PowerShell core, and so on. Supports MacOS bash, zsh, PowerShell core, and so on.A Quicker and better SSH/Telnet/Serial/Shell/Sftp client for DevOps. WindTerm is a partial open source project, and the source will be gradually opened. Open source code includes, but is not limited to, the classes that can be used independently, such as functional, algorithms, GUI widgets, etc., as well as functional libraries, such as networks, protocols, etc., as well as all types that require open source according to the license. SSH v2, Telnet, Raw TCP, Serial, Shell protocols were implemented. Supports SSH auto-execution when the session is authenticated. Integrated local file manager, supports the move to, copy to, copy from, remove, rename, make new file/directory and so on. Supports Windows Cmd, PowerShell and Cmd, PowerShell as administrator. Supports Linux bash, zsh, PowerShell core, and so on. Supports MacOS bash, zsh, PowerShell core, and so on.","Categories
Terminals, DevOps, SFTP Clients"
"A shell parser, formatter, and interpreter. Supports POSIX Shell, Bash, and mksh. Requires Go 1.16 or later. To parse shell scripts, inspect them, and print them out, see the syntax examples. For high-level operations like performing shell expansions on strings, see the shell examples. shfmt formats shell programs. See canonical.sh for a quick look at its default style. shfmt formats shell programs. If the only argument is a dash (-) or no arguments are given, standard input will be used. If a given path is a directory, all shell scripts found under that directory will be used. When indexing Bash associative arrays, always use quotes. The static parser will otherwise have to assume that the index is an arithmetic expression. Some builtins like export and let are parsed as keywords. A subset of the Go packages are available as an npm package called mvdan-sh.A shell parser, formatter, and interpreter. Supports POSIX Shell, Bash, and mksh. Requires Go 1.16 or later. To parse shell scripts, inspect them, and print them out, see the syntax examples. For high-level operations like performing shell expansions on strings, see the shell examples. shfmt formats shell programs. See canonical.sh for a quick look at its default style. shfmt formats shell programs. If the only argument is a dash (-) or no arguments are given, standard input will be used. If a given path is a directory, all shell scripts found under that directory will be used. When indexing Bash associative arrays, always use quotes. The static parser will otherwise have to assume that the index is an arithmetic expression. Some builtins like export and let are parsed as keywords. A subset of the Go packages are available as an npm package called mvdan-sh.","Categories
Terminals, User Interface (UI)"
"letsencrypt/acme client implemented as a shell-script, just add water. Dehydrated is a client for signing certificates with an ACME-server (e.g. Let’s Encrypt or ZeroSSL) implemented as a relatively simple bash script. It uses the OpenSSL utility for everything related to actually handling keys and certificates, so you need to have that installed. Other dependencies are cURL, sed, grep, mktemp (all found on almost any system, cURL being the only exception). Please keep in mind that this software and even the acme-protocol are relatively young and may still have some unresolved issues. Feel free to report any issues you find with this script or contribute by submitting a pull request. dehydrated is looking for a config file in a few different places, it will use the first one it can find.letsencrypt/acme client implemented as a shell-script, just add water. Dehydrated is a client for signing certificates with an ACME-server (e.g. Let’s Encrypt or ZeroSSL) implemented as a relatively simple bash script. It uses the OpenSSL utility for everything related to actually handling keys and certificates, so you need to have that installed. Other dependencies are cURL, sed, grep, mktemp (all found on almost any system, cURL being the only exception). Please keep in mind that this software and even the acme-protocol are relatively young and may still have some unresolved issues. Feel free to report any issues you find with this script or contribute by submitting a pull request. dehydrated is looking for a config file in a few different places, it will use the first one it can find.","Categories
Terminals, User Interface (UI)"
"It remembers which directories you use most frequently, so you can ""jump"" to them in just a few keystrokes. zoxide works on all major shells. zoxide is a smarter cd command, inspired by z and auto jump. fzf is a command-line fuzzy finder, used by zoxide for interactive selection. zoxide supports fzf v0.21.0+. Environment variables can be used for configuration. They must be set before zoxide init is called.It remembers which directories you use most frequently, so you can ""jump"" to them in just a few keystrokes. zoxide works on all major shells. zoxide is a smarter cd command, inspired by z and auto jump. fzf is a command-line fuzzy finder, used by zoxide for interactive selection. zoxide supports fzf v0.21.0+. Environment variables can be used for configuration. They must be set before zoxide init is called.","Categories
Terminals"
