Description,Category
"The ftp4j library implements a Java full-featured FTP client. With ftp4j embedded in your application you can: transfer files (upload and download), browse the FTP site (directory listing), create, delete, rename and move directories and files.The ftp4j library implements a Java full-featured FTP client. With ftp4j embedded in your application you can: transfer files (upload and download), browse the FTP site (directory listing), create, delete, rename and move directories and files.","Categories
File Transfer Protocol (FTP), Object Oriented, Libraries, FTP Clients"
"A high speed file transfer protocol using UDP and TCP for high speed long distance networks, much faster than new TCP congestion control algorithms. Based on Indiana University 2002 Tsunami source code. Contains real-time VSIB DAQ extensions. Further info on http://tsunami-udp.sourceforge.netA high speed file transfer protocol using UDP and TCP for high speed long distance networks, much faster than new TCP congestion control algorithms. Based on Indiana University 2002 Tsunami source code. Contains real-time VSIB DAQ extensions. Further info on http://tsunami-udp.sourceforge.net","Categories
Streaming, Internet"
"This project has moved to GitHub! https://github.com/flatpressblog/flatpress

FlatPress is a new blog engine. Written from scratch, it features same plugin interface as WordPress and plain compatibility with SimplePHPBlog stored entries. Plus, a template based theming engine, and full conformance to web standards and usabilityThis project has moved to GitHub! https://github.com/flatpressblog/flatpress

FlatPress is a new blog engine. Written from scratch, it features same plugin interface as WordPress and plain compatibility with SimplePHPBlog stored entries. Plus, a template based theming engine, and full conformance to web standards and usability","Categories
Site Management"
"httpfs depends on FUSE. It uses HTTP/1.1 extensions to read arbitrary bytes from a file on a web-server. This is particular interesting for an iso, since it can be investigated (loop device) without actually downloading the whole iso.httpfs depends on FUSE. It uses HTTP/1.1 extensions to read arbitrary bytes from a file on a web-server. This is particular interesting for an iso, since it can be investigated (loop device) without actually downloading the whole iso.","Categories
WWW/HTTP, File Systems"
An open source project originally designed to provide the University of Michigan with a secure single sign-on web authentication system. Cosign is part of the National Science Foundation Middleware Initiative (NMI) EDIT software release.An open source project originally designed to provide the University of Michigan with a secure single sign-on web authentication system. Cosign is part of the National Science Foundation Middleware Initiative (NMI) EDIT software release.,"Categories
Security, WWW/HTTP, Systems Administration"
"CSSBox is an (X)HTML/CSS rendering engine written in pure Java. Its primary purpose is to provide a complete information about the rendered page suitable for further processing. However, it also allows displaying the rendered document.CSSBox is an (X)HTML/CSS rendering engine written in pure Java. Its primary purpose is to provide a complete information about the rendered page suitable for further processing. However, it also allows displaying the rendered document.","Categories
HTML/XHTML, Browsers, Libraries"
"WebInject is a tool for automated testing of web applications and web services. It can be used to test system components with HTTP interfaces, as a test harness to create a suite of functional and regression tests, or for service-level monitoring.WebInject is a tool for automated testing of web applications and web services. It can be used to test system components with HTTP interfaces, as a test harness to create a suite of functional and regression tests, or for service-level monitoring.","Categories
WWW/HTTP, QA Automation, Monitoring, Benchmark, Automated Testing"
Moved to https://jwebunit.github.io/jwebunitMoved to https://jwebunit.github.io/jwebunit,"Categories
WWW/HTTP, Software Testing, QA Automation"
"SSL-Explorer is a fully-featured, web-based SSL VPN server. This project is no longer actively maintained as the SSL-Explorer technology has now been acquired by Barracuda Networks, Inc.SSL-Explorer is a fully-featured, web-based SSL VPN server. This project is no longer actively maintained as the SSL-Explorer technology has now been acquired by Barracuda Networks, Inc.","Categories
Cryptography, Systems Administration, Networking, Internet, VPN"
"myGifts manages xmas/birthday wish-lists, as well as gift registries for weddings or newborns. People can add gifts to their lists, decide who can(cannot) see them, claim gifts or add ideas to other lists, and much moremyGifts manages xmas/birthday wish-lists, as well as gift registries for weddings or newborns. People can add gifts to their lists, decide who can(cannot) see them, claim gifts or add ideas to other lists, and much more","Categories
Other/Nonlisted Topic, Dynamic Content"
Cewolf is a tag library for charts of all kinds. It enables every JSP to easily embed chart images. It can be used by any web applications running in a servlet container. No Java scriplet code is needed to define charts.Cewolf is a tag library for charts of all kinds. It enables every JSP to easily embed chart images. It can be used by any web applications running in a servlet container. No Java scriplet code is needed to define charts.,"Categories
Dynamic Content, Graphics, Data Visualization"
