Description,Category
VisualSubSync is a subtitle program using audio waveform representation as its cornerstone. SRT and SSA/ASS subtitle formats are supported. It also provides some tools to help improving the quality of your subtitle.VisualSubSync is a subtitle program using audio waveform representation as its cornerstone. SRT and SSA/ASS subtitle formats are supported. It also provides some tools to help improving the quality of your subtitle.,"Categories
Word Processors, Non-Linear Editor, Special Effects"
Library communicating with PTP enabled devices (digital photo cameras and so on).Library communicating with PTP enabled devices (digital photo cameras and so on).,"Categories
Digital Camera"
"MP4Cam2AVI is a MP4/MOV/M2TS to AVI repackaging tool for digital photo-video cameras, it makes their clips editable in VirtualDub, MovieMaker and other AVI editors. Also it can combine (join) multiple clips from camera into a single AVI movie, preserving audio/video sync.
No video recompression (by default), no quality loss, fast operation (5-20x realtime). No installation needed - just download, unzip and run mp4cam2avi.exe.MP4Cam2AVI is a MP4/MOV/M2TS to AVI repackaging tool for digital photo-video cameras, it makes their clips editable in VirtualDub, MovieMaker and other AVI editors. Also it can combine (join) multiple clips from camera into a single AVI movie, preserving audio/video sync.
No video recompression (by default), no quality loss, fast operation (5-20x realtime). No installation needed - just download, unzip and run mp4cam2avi.exe.","Categories
Video Converters"
"ZynAddSubFX is a powerful realtime, multi-timbral software synthesizer for Linux, OSX, and Windows. It is microtonal, and the instruments made by it sounds like those from professional keyboards. The program has effects like Reverb, Echo, Chorus, Phaser...ZynAddSubFX is a powerful realtime, multi-timbral software synthesizer for Linux, OSX, and Windows. It is microtonal, and the instruments made by it sounds like those from professional keyboards. The program has effects like Reverb, Echo, Chorus, Phaser...","Categories
Sound Synthesis"
"DVDStyler is a cross-platform free DVD authoring application that makes possible for video enthusiasts to create professional-looking DVDs. DVDStyler provides over 20 DVD menu templates, allowing you to create your own menu designs and photo slideshows. After you select your DVD label name, video quality, video format, aspect ratio, and audio format, you can select a template to add video materials to. DVDStyler's interface supports drag-and-drop so you can add project buttons and movies around with ease. Some basic video editing operations such as trimming and cropping are also available.DVDStyler is a cross-platform free DVD authoring application that makes possible for video enthusiasts to create professional-looking DVDs. DVDStyler provides over 20 DVD menu templates, allowing you to create your own menu designs and photo slideshows. After you select your DVD label name, video quality, video format, aspect ratio, and audio format, you can select a template to add video materials to. DVDStyler's interface supports drag-and-drop so you can add project buttons and movies around with ease. Some basic video editing operations such as trimming and cropping are also available.","Categories
Video Converters, DVD, DVD Burners"
"Thumbnail me is a free and open source thumbnails generator built on movie thumbnailer. Thumbnail me is coded in C++ and uses the Qt 4.8.0 library. This software is actually available on Windows Xp / 2k3 / 2k8 / Vista / 7 x86/x64 and Linux x86/x64.

Source Code :
3.5 (Never released) : https://github.com/kwent/thumbnailme
3.0 (Current version) : http://sourceforge.net/projects/thumbnailme/files/Sources/thumbnailme_3.0_Windows_Sources.zip/download

Source Documentation : http://www.thumbnailme.com/docThumbnail me is a free and open source thumbnails generator built on movie thumbnailer. Thumbnail me is coded in C++ and uses the Qt 4.8.0 library. This software is actually available on Windows Xp / 2k3 / 2k8 / Vista / 7 x86/x64 and Linux x86/x64.

Source Code :
3.5 (Never released) : https://github.com/kwent/thumbnailme
3.0 (Current version) : http://sourceforge.net/projects/thumbnailme/files/Sources/thumbnailme_3.0_Windows_Sources.zip/download

Source Documentation : http://www.thumbnailme.com/doc","Categories
Screen Capture, Video Converters, Photo Management, Thumbnail Makers"
Provides optical character recognition (OCR) solutions for Vietnamese language.Provides optical character recognition (OCR) solutions for Vietnamese language.,"Categories
Other/Nonlisted Topic, Scanner, Image Converters, OCR"
"GnomeBaker is a CD/DVD burning application for the Gnome desktop.

I am considering closing the project, please mail me at mario.danic AT gmail.com if you have any concerns about that.GnomeBaker is a CD/DVD burning application for the Gnome desktop.

I am considering closing the project, please mail me at mario.danic AT gmail.com if you have any concerns about that.","Categories
GNOME, CD Ripping, DVD Burners, CD Burners"
"[ENG]
Mod FreeCAD-PCB allow you to import PCB boards to FreeCAD.

Scope of mod:
- support for many different layers,
- possible to choose colours, transparency and names for each layer,
- mod allows you to import IGES models with colours,
- possible to show holes/vias independent.

[PL]
Moduł FreeCAD-PCB pozwala na importowanie płytek PCB do programu FreeCAD.

Możliwości modułu:
- wsparcie dla wielu różnych warstw,
- wyświetlanie otworów, przelotek niezależnie od siebie,
- możliwość wyboru koloru, przeźroczystości oraz nazwy dla poszczególnych warstw,
- importowanie modeli zapisanych w formacie IGS wraz z kolorami.

*****

Supported software:
- Eagle (*.brd)
- Razen (*.rzp)
- FreePCB (*.fpc)
- gEDA (*.pcb)
- FidoCadJ (*.fcd)
- KiCad (*.kicad_pcb)
- IDF v2/v3

Requirements: FreeCAD >= 0.14

Project forum: https://sourceforge.net/p/eaglepcb2freecad/forum/[ENG]
Mod FreeCAD-PCB allow you to import PCB boards to FreeCAD.

Scope of mod:
- support for many different layers,
- possible to choose colours, transparency and names for each layer,
- mod allows you to import IGES models with colours,
- possible to show holes/vias independent.

[PL]
Moduł FreeCAD-PCB pozwala na importowanie płytek PCB do programu FreeCAD.

Możliwości modułu:
- wsparcie dla wielu różnych warstw,
- wyświetlanie otworów, przelotek niezależnie od siebie,
- możliwość wyboru koloru, przeźroczystości oraz nazwy dla poszczególnych warstw,
- importowanie modeli zapisanych w formacie IGS wraz z kolorami.

*****

Supported software:
- Eagle (*.brd)
- Razen (*.rzp)
- FreePCB (*.fpc)
- gEDA (*.pcb)
- FidoCadJ (*.fcd)
- KiCad (*.kicad_pcb)
- IDF v2/v3

Requirements: FreeCAD >= 0.14

Project forum: https://sourceforge.net/p/eaglepcb2freecad/forum/","Categories
3D Modeling, Electronic Design Automation (EDA)"
"Rompr has MOVED to

https://fatg3erman.github.io/RompR/Rompr has MOVED to

https://fatg3erman.github.io/RompR/","Categories
Players, Sound/Audio, MP3"
