Description,Category
"<b>Project homepage moved to http://f2soft.ax3.net </b> The program for fast viewing files of various formats. There is no edit possibility, just quick view. The implemented view modes and corresponding file types are: Text, Binary, Hex, Unicode, Multime<b>Project homepage moved to http://f2soft.ax3.net </b> The program for fast viewing files of various formats. There is no edit possibility, just quick view. The implemented view modes and corresponding file types are: Text, Binary, Hex, Unicode, Multime","Categories
Other/Nonlisted Topic"
"Modifications to IBM's MVS 3.8j operating system (delivered via turnkey-mvs) to add some z/OS (MVS/XA, OS/390) functionality, especially 31-bit addressing.Modifications to IBM's MVS 3.8j operating system (delivered via turnkey-mvs) to add some z/OS (MVS/XA, OS/390) functionality, especially 31-bit addressing.","Categories
Other/Nonlisted Topic"
"The Inside Security Rescue Toolkit is a multi-purpose disaster recovery and network analysis system. It runs from a credit card-sized CD-ROM for convenient transport or download. It has read-write support for NTFS-partitions, full partition handling suppThe Inside Security Rescue Toolkit is a multi-purpose disaster recovery and network analysis system. It runs from a credit card-sized CD-ROM for convenient transport or download. It has read-write support for NTFS-partitions, full partition handling supp","Categories
Other/Nonlisted Topic, Security"
"Panini is a visual tool for creating perspective views from panoramic and wide angle photographs. More than a pano viewer, more than a view camera, with features of both. For Linux/Unix, Win32, and Mac systems with OpenGL 2.0 +
Nov. 2017: now hosted at https://github.com/lazarus-pkgs/paniniPanini is a visual tool for creating perspective views from panoramic and wide angle photographs. More than a pano viewer, more than a view camera, with features of both. For Linux/Unix, Win32, and Mac systems with OpenGL 2.0 +
Nov. 2017: now hosted at https://github.com/lazarus-pkgs/panini","Categories
Other/Nonlisted Topic, Data Visualization"
Module for VirtuaWin (virtual desktop manager for MS Windows) which represents desktop layout as small skinned window.Module for VirtuaWin (virtual desktop manager for MS Windows) which represents desktop layout as small skinned window.,"Categories
Other/Nonlisted Topic"
Provides optical character recognition (OCR) solutions for Vietnamese language.Provides optical character recognition (OCR) solutions for Vietnamese language.,"Categories
Other/Nonlisted Topic, Scanner, Image Converters, OCR"
"pdf2xml convertor based on Xpdf library (http://www.foolabs.com/xpdf/home.html). It converts information contained in a PDF file into XML. First, you need to install xpdf and libxml2 (see documentation).
Hervé Déjean
Xerox Research Centre Europe

http://www.xrce.xerox.com/About-XRCE/People/Herve-Dejeanpdf2xml convertor based on Xpdf library (http://www.foolabs.com/xpdf/home.html). It converts information contained in a PDF file into XML. First, you need to install xpdf and libxml2 (see documentation).
Hervé Déjean
Xerox Research Centre Europe

http://www.xrce.xerox.com/About-XRCE/People/Herve-Dejean","Categories
XML, Other/Nonlisted Topic, Cataloguing"
"This project was originally a quick and dirty method for me to convert my ebook collection in various formats to a kindle compatible format without worrying about the ebook source type. It takes PDF, Lit, and HTML files and converts them to .mobi.This project was originally a quick and dirty method for me to convert my ebook collection in various formats to a kindle compatible format without worrying about the ebook source type. It takes PDF, Lit, and HTML files and converts them to .mobi.","Categories
Other/Nonlisted Topic, Mobile"
"Animal Shelter Manager is a complete computer solution for animal sanctuaries and shelters. Features complete animal management, document generation, full reporting, charts, internet publishing, pet search engine integration and more.Animal Shelter Manager is a complete computer solution for animal sanctuaries and shelters. Features complete animal management, document generation, full reporting, charts, internet publishing, pet search engine integration and more.","Categories
Other/Nonlisted Topic, Office/Business, Database"
.Net implementation of an Excel file reader for reading unencrypted Excel 97 and up BIFF and XLSX based files..Net implementation of an Excel file reader for reading unencrypted Excel 97 and up BIFF and XLSX based files.,"Categories
Other/Nonlisted Topic"
"DIGS stands for Dependability Infrastructure for Grid Services, and that's what it is. Here you should find tools and techniques to help you to write dependable (fault tolerant) Grid services. For Java only at the moment.DIGS stands for Dependability Infrastructure for Grid Services, and that's what it is. Here you should find tools and techniques to help you to write dependable (fault tolerant) Grid services. For Java only at the moment.","Categories
Other/Nonlisted Topic, Internet"
"rdesktop project has now been moved to GitHub [1] and this SourceForge project exists for historical reasons. Read the announcement [2] about this move for more information,

[1] http://github.com/rdesktop
[2] http://sourceforge.net/p/rdesktop/mailman/message/34389893rdesktop project has now been moved to GitHub [1] and this SourceForge project exists for historical reasons. Read the announcement [2] about this move for more information,

[1] http://github.com/rdesktop
[2] http://sourceforge.net/p/rdesktop/mailman/message/34389893","Categories
Other/Nonlisted Topic"
"With this program you will be able to organize your (legally obtained) android .apk file collection.
Features include getting Play Store information and screenshots from each apk file, and storing them offline for later viewing.With this program you will be able to organize your (legally obtained) android .apk file collection.
Features include getting Play Store information and screenshots from each apk file, and storing them offline for later viewing.","Categories
Other/Nonlisted Topic, Cataloguing"
"NEW! Works with current IE, Firefox, and Chrome browsers. See the 'Loading & Saving' Woas page for details (in Woas file).

Woas is a complete wiki in a single HTML file that works in every major browser, including older versions (even IE6!). It can store and display images and files within itself and is incredibly useful for research and documentation.

This is my version of the WoaS (stickwiki) project. It is starting out as the home of my fixes to the 0.12.0 version that I am calling 0.13.0 (and hope will be published as such in the WoaS project), but may transition over time into a new and possibly incompatible version of the original tool, depending on what happens in the original project.

I have dropped the 'Legacy' subproject; this project performs essentially the same function. After two years of inactivity it appears there may be life in the old project yet, so I am not making any decisions right now beyond using this project for my own, fixed version of WoaS 0.12.0.NEW! Works with current IE, Firefox, and Chrome browsers. See the 'Loading & Saving' Woas page for details (in Woas file).

Woas is a complete wiki in a single HTML file that works in every major browser, including older versions (even IE6!). It can store and display images and files within itself and is incredibly useful for research and documentation.

This is my version of the WoaS (stickwiki) project. It is starting out as the home of my fixes to the 0.12.0 version that I am calling 0.13.0 (and hope will be published as such in the WoaS project), but may transition over time into a new and possibly incompatible version of the original tool, depending on what happens in the original project.

I have dropped the 'Legacy' subproject; this project performs essentially the same function. After two years of inactivity it appears there may be life in the old project yet, so I am not making any decisions right now beyond using this project for my own, fixed version of WoaS 0.12.0.","Categories
Other/Nonlisted Topic, Documentation"
"Piko solar inverter interface. Get online real time data and status. Get also history data. Database management of data. Exports, graphs, ... Manage data and stats using a SQLite or MySQL database. Third party intergration. See the Wiki home page for more informations.Piko solar inverter interface. Get online real time data and status. Get also history data. Database management of data. Exports, graphs, ... Manage data and stats using a SQLite or MySQL database. Third party intergration. See the Wiki home page for more informations.","Categories
Other/Nonlisted Topic, Ecosystem Sciences, Interface Engine/Protocol Translator"
"Pytrainer is a tool to log all your sport excursion coming from GPS devices (with a focus on ForeRunnner 205, 305 and 405) or GPX (http://www.topografix.com) files. Pytrainer supports GPS track files and displays it in graphs, maps...Pytrainer is a tool to log all your sport excursion coming from GPS devices (with a focus on ForeRunnner 205, 305 and 405) or GPX (http://www.topografix.com) files. Pytrainer supports GPS track files and displays it in graphs, maps...","Categories
Other/Nonlisted Topic"
The PTP daemon (PTPd) implements the Precision Time protocol (PTP) as defined by the IEEE 1588 standard. PTP was developed to provide very precise time coordination of LAN connected computers. PTPd boasts an advanced set of features and is highly configurable.The PTP daemon (PTPd) implements the Precision Time protocol (PTP) as defined by the IEEE 1588 standard. PTP was developed to provide very precise time coordination of LAN connected computers. PTPd boasts an advanced set of features and is highly configurable.,"Categories
Other/Nonlisted Topic, System, Test and Measurement"
"Sports Tactics Board is a utility that allows coaches, trainers and officials to describe sports tactics, strategies and positioning using a magnetic or chalk-board style approach. Supports soccer, hockey, volleyball and floorball.Sports Tactics Board is a utility that allows coaches, trainers and officials to describe sports tactics, strategies and positioning using a magnetic or chalk-board style approach. Supports soccer, hockey, volleyball and floorball.","Categories
Other/Nonlisted Topic, Games/Entertainment, Education"
"The environment modules package provides for an easy dynamic modification of a user's environment via modulefiles. which typically instruct the module command to alter or set shell environment variables such as PATH, MANPATH, etc. as well as define aliases over a variety of shells.The environment modules package provides for an easy dynamic modification of a user's environment via modulefiles. which typically instruct the module command to alter or set shell environment variables such as PATH, MANPATH, etc. as well as define aliases over a variety of shells.","Categories
Other/Nonlisted Topic, Desktop Environment, System"
"Porting tool, to make Windows programs/games into Mac OS X apps. GUI building, made for ease of use and customization.Porting tool, to make Windows programs/games into Mac OS X apps. GUI building, made for ease of use and customization.","Categories
Other/Nonlisted Topic, Software Development"
