Description,Category
"mkahawa is a swahili word for Cafe. mkahawa builds on the small but fast Cafe Con Leche (CCL) - the light, but ultra-fast C++ Internet Cafe Management Software for Linux and Windows. This is but a continuation of CCL development in just another form.mkahawa is a swahili word for Cafe. mkahawa builds on the small but fast Cafe Con Leche (CCL) - the light, but ultra-fast C++ Internet Cafe Management Software for Linux and Windows. This is but a continuation of CCL development in just another form.","Categories
Other/Nonlisted Topic"
"SimPE is a Tool for editing nearly all aspects of Sims 2, starting from simple Character changes (Skills, Names,Relationships...) up to the creation of new Objects and Color Options, containing Wrappers and Editor for nearly all Sims 2 Filetypes.SimPE is a Tool for editing nearly all aspects of Sims 2, starting from simple Character changes (Skills, Names,Relationships...) up to the creation of new Objects and Color Options, containing Wrappers and Editor for nearly all Sims 2 Filetypes.","Categories
Other/Nonlisted Topic, Simulation Games"
"Notes is an open source, cross-platform note-taking application. Write down your thoughts with ease, and always have them with you with this simple, streamlined app.Notes is an open source, cross-platform note-taking application. Write down your thoughts with ease, and always have them with you with this simple, streamlined app.","Categories
Text Editors, Other/Nonlisted Topic, To-Do Lists"
"Take a look at http://hor.sourceforge.net/ for all the information.

Organizza la tua salute e quella dei tuoi cari
Visitate il sito http://hor.sourceforge.net/ per maggiori informazioni.

Organize a sua saúde e a dos seus entes queridos
Veja http://hor.sourceforge.net/ para toda a informação.

Organiser votre santé et celle de vos proches
Jetez un oeil à http://hor.sourceforge.net/ pour toutes les informations.

Organiza tu salud y la de tus seres queridos
Eche un vistazo a http://hor.sourceforge.net/ para obtener toda la información

Organisieren Sie Ihre Gesundheit und die Gesundheit Ihrer Liebenden
Schauen Sie sich auf http://hor.sourceforge.net/ um mehr darüber zu erfahren.

Организуйте ваше здоровье и здоровье ваших близких
Зайдите на http://hor.sourceforge.net/ для просмотра всей информации.Take a look at http://hor.sourceforge.net/ for all the information.

Organizza la tua salute e quella dei tuoi cari
Visitate il sito http://hor.sourceforge.net/ per maggiori informazioni.

Organize a sua saúde e a dos seus entes queridos
Veja http://hor.sourceforge.net/ para toda a informação.

Organiser votre santé et celle de vos proches
Jetez un oeil à http://hor.sourceforge.net/ pour toutes les informations.

Organiza tu salud y la de tus seres queridos
Eche un vistazo a http://hor.sourceforge.net/ para obtener toda la información

Organisieren Sie Ihre Gesundheit und die Gesundheit Ihrer Liebenden
Schauen Sie sich auf http://hor.sourceforge.net/ um mehr darüber zu erfahren.

Организуйте ваше здоровье и здоровье ваших близких
Зайдите на http://hor.sourceforge.net/ для просмотра всей информации.","Categories
Other/Nonlisted Topic, Healthcare"
"A utility to produce MTF (modulation transfer function, a measure of edge acuity) maps of images. The program will automatically detect dark rectangular objects on light backgrounds, and extract MTF values on all edges. Can help to tune SLR autofocus. See http://mtfmapper.blogspot.com for more usage examples.A utility to produce MTF (modulation transfer function, a measure of edge acuity) maps of images. The program will automatically detect dark rectangular objects on light backgrounds, and extract MTF values on all edges. Can help to tune SLR autofocus. See http://mtfmapper.blogspot.com for more usage examples.","Categories
Other/Nonlisted Topic"
Here you'll find several Open Source Software ported/compiled for AmigaOS (and compatible systems). This project was created with the aim to give support to the ppl who don't have the time/compiler to do it for itself since most stuff compiles OOTBHere you'll find several Open Source Software ported/compiled for AmigaOS (and compatible systems). This project was created with the aim to give support to the ppl who don't have the time/compiler to do it for itself since most stuff compiles OOTB,"Categories
Other/Nonlisted Topic"
"Linguistico is a linguistics tools project based on Italian language. Tools are: dictionaries, thesaurus, words definitions, scripts, programs, ... For: OpenOffice.org LibreOffice ThunderBird Mozilla FireFox - MySpell MyThes Aspell HunSpellLinguistico is a linguistics tools project based on Italian language. Tools are: dictionaries, thesaurus, words definitions, scripts, programs, ... For: OpenOffice.org LibreOffice ThunderBird Mozilla FireFox - MySpell MyThes Aspell HunSpell","Categories
Text Editors, Other/Nonlisted Topic, Office/Business"
"A Java training software for the daum electronic ergo_bikes TRS 4008/8008, vitaPC and fitnessPC. The software communicates with the ergo_bike via the serial port (resp. USB) and provides a real-time graphical representation of the data in multiple diagrams and 7-segment displays. It provides the fix programs of the ergo-bike and user defined watt- and height-programs.
Training data can be stored, analyzed and compared with other trainings.
User programs (at this time just watt-controlled EUP) can be imported easily.A Java training software for the daum electronic ergo_bikes TRS 4008/8008, vitaPC and fitnessPC. The software communicates with the ergo_bike via the serial port (resp. USB) and provides a real-time graphical representation of the data in multiple diagrams and 7-segment displays. It provides the fix programs of the ergo-bike and user defined watt- and height-programs.
Training data can be stored, analyzed and compared with other trainings.
User programs (at this time just watt-controlled EUP) can be imported easily.","Categories
Other/Nonlisted Topic, Hobbies, Sports Games"
"JWNL is a Java API for accessing the WordNet relational dictionary. WordNet is widely used for developing NLP applications, and a Java API such as JWNL will allow developers to more easily use Java for building NLP applications.JWNL is a Java API for accessing the WordNet relational dictionary. WordNet is widely used for developing NLP applications, and a Java API such as JWNL will allow developers to more easily use Java for building NLP applications.","Categories
Other/Nonlisted Topic, Scientific/Engineering"
RapidCRC is a tool for windows for checking and creating CRC32 and MD5 checksums (.sfv/.md5 files). Goal is to use the fastest available (assembly) implementations for this task. Specialty: direct support for CRC32 checksums stored in filenames.RapidCRC is a tool for windows for checking and creating CRC32 and MD5 checksums (.sfv/.md5 files). Goal is to use the fastest available (assembly) implementations for this task. Specialty: direct support for CRC32 checksums stored in filenames.,"Categories
File Sharing, Other/Nonlisted Topic, Archiving"
"Parcellite is a lightweight GTK+ clipboard manager. This is a stripped down, basic-features-only clipboard manager with a small memory footprint for those who like simplicity.Parcellite is a lightweight GTK+ clipboard manager. This is a stripped down, basic-features-only clipboard manager with a small memory footprint for those who like simplicity.","Categories
Other/Nonlisted Topic, Desktop Environment, Clipboard Managers"
"A Club member administration tool written in PHP using a MySQL database. Clubdata is highly configurable, supports different membership types, a lot of membership features, mass e-mails, Excel-export, PDF-export and sophisticated authentication. ClubA Club member administration tool written in PHP using a MySQL database. Clubdata is highly configurable, supports different membership types, a lot of membership features, mass e-mails, Excel-export, PDF-export and sophisticated authentication. Club","Categories
Email, Other/Nonlisted Topic, Office/Business, WWW/HTTP"
A description of the Garmin IMG file format. Includes some experimental/sample code for parsing IMG files.A description of the Garmin IMG file format. Includes some experimental/sample code for parsing IMG files.,"Categories
Other/Nonlisted Topic"
"JDiveLog is a logbook for scuba diving written in Java. It manages all important dive data, as well as the pictures taken during the dive. Features include import of UDCF data, data from Suunto/Uwatec computers, profile generation, web page generator.JDiveLog is a logbook for scuba diving written in Java. It manages all important dive data, as well as the pictures taken during the dive. Features include import of UDCF data, data from Suunto/Uwatec computers, profile generation, web page generator.","Categories
Other/Nonlisted Topic, Hobbies, Sports Games"
"GPSProxy is a .NET Compact Framework application that copies GPS data from one COM port on a Pocket PC to another, optionally translating the GPS data format from NMEA 0183 to the Garmin GPS protocol. See version 1.16 for a Windows XP version.GPSProxy is a .NET Compact Framework application that copies GPS data from one COM port on a Pocket PC to another, optionally translating the GPS data format from NMEA 0183 to the Garmin GPS protocol. See version 1.16 for a Windows XP version.","Categories
Other/Nonlisted Topic"
SamsChannelEditor is a desktop application for editing a channel list from your Samsung TV. Now sorting channels should be much easier.SamsChannelEditor is a desktop application for editing a channel list from your Samsung TV. Now sorting channels should be much easier.,"Categories
Other/Nonlisted Topic"
"Web Version is now live at www.RRonline.org
Come visit our new Online lookups.

This project is designed to compile the data and calculations needed for metallic cartridge and shot shell reloading. All data comes from documented sources.

Soon to be available in web form for tablets and smartphones.Web Version is now live at www.RRonline.org
Come visit our new Online lookups.

This project is designed to compile the data and calculations needed for metallic cartridge and shot shell reloading. All data comes from documented sources.

Soon to be available in web form for tablets and smartphones.","Categories
Other/Nonlisted Topic"
"Llama Alarm Clock is a simple, easy to use, alarm clock. You can display a 12 or 24 hour clock and set alarms in either form (they work regardless of your display mode) and plays any .wav media file you choose to wake you up ***NOW SUPPORTS .MP3 FILES*** (Thank you Jake Rooney). It comes with 2 alarms (If you have version 1.3 make sure to use the new default ones). Uses JLayer to play mp3 files. Make sure you're downloading the latest version (1.6 currently), recently 1.5 just got a whole bunch of new downloads and it has a bug for the AM alarms that was fixed in 1.6.Llama Alarm Clock is a simple, easy to use, alarm clock. You can display a 12 or 24 hour clock and set alarms in either form (they work regardless of your display mode) and plays any .wav media file you choose to wake you up ***NOW SUPPORTS .MP3 FILES*** (Thank you Jake Rooney). It comes with 2 alarms (If you have version 1.3 make sure to use the new default ones). Uses JLayer to play mp3 files. Make sure you're downloading the latest version (1.6 currently), recently 1.5 just got a whole bunch of new downloads and it has a bug for the AM alarms that was fixed in 1.6.","Categories
Other/Nonlisted Topic, Time Tracking"
"This is a desktop client for fullonsms.com to send free sms in INDIA direct from desktop. About me: Hi, m Ayush Pateria, i am 15 years old, bt i have a great interest in programming and software developing. Contact me at Email: ayushpateria@yahoo.comThis is a desktop client for fullonsms.com to send free sms in INDIA direct from desktop. About me: Hi, m Ayush Pateria, i am 15 years old, bt i have a great interest in programming and software developing. Contact me at Email: ayushpateria@yahoo.com","Categories
Other/Nonlisted Topic"
"SamyGo ChanEdit is a program to manipulate TV channel line-up of Samsung TV on a PC.
Today it only supports channel lists of Samsung C and D Series TVSamyGo ChanEdit is a program to manipulate TV channel line-up of Samsung TV on a PC.
Today it only supports channel lists of Samsung C and D Series TV","Categories
Other/Nonlisted Topic"
"Portable command line utility for encoding and recording audio signals (chirps) to set the speed, incline, and resistance functions of iFit technology equipped exercise machines. Writes generated settings signals to music file format.Portable command line utility for encoding and recording audio signals (chirps) to set the speed, incline, and resistance functions of iFit technology equipped exercise machines. Writes generated settings signals to music file format.","Categories
Other/Nonlisted Topic, Sound Synthesis"
"empty - run applications under pseudo-terminal (PTY) sessions to dialogue with interactive programs. Replace TCL/Expect with a simple tool and use your favorite shell (sh, bash, csh, tcsh, ksh, zsh, etc)empty - run applications under pseudo-terminal (PTY) sessions to dialogue with interactive programs. Replace TCL/Expect with a simple tool and use your favorite shell (sh, bash, csh, tcsh, ksh, zsh, etc)","Categories
Terminals, Other/Nonlisted Topic, Software Development, System"
"An Open Source IEC 61131-3 Integrated Development Environment, providing PLCOpen SoftPLC programming, CanOpen IO's, and SVG based HMI.An Open Source IEC 61131-3 Integrated Development Environment, providing PLCOpen SoftPLC programming, CanOpen IO's, and SVG based HMI.","Categories
Other/Nonlisted Topic, Compilers, Robotics, Simulation, Data Visualization, HMI"
"myGifts manages xmas/birthday wish-lists, as well as gift registries for weddings or newborns. People can add gifts to their lists, decide who can(cannot) see them, claim gifts or add ideas to other lists, and much moremyGifts manages xmas/birthday wish-lists, as well as gift registries for weddings or newborns. People can add gifts to their lists, decide who can(cannot) see them, claim gifts or add ideas to other lists, and much more","Categories
Other/Nonlisted Topic, Dynamic Content"
DIETA is a simple program that allows you to maintain the registration of a daily diary for your diet. It contains a useful database with the composition of a conspicuous number of foods that you can modify and expand as you like.DIETA is a simple program that allows you to maintain the registration of a daily diary for your diet. It contains a useful database with the composition of a conspicuous number of foods that you can modify and expand as you like.,"Categories
Other/Nonlisted Topic"
"A complete C++ Text User Interface (TUI) featuring windows, dialogs (buttons, check and radio boxes, input boxes, etc.), mouse support, menues, etc. It's available for various platforms and compilers.A complete C++ Text User Interface (TUI) featuring windows, dialogs (buttons, check and radio boxes, input boxes, etc.), mouse support, menues, etc. It's available for various platforms and compilers.","Categories
Other/Nonlisted Topic"
"Open Auto Classifieds is a free, open source vehicle classifieds manager. Intended to be easy to install and easy to administer. OAC is Based on open technologies such as PHP, MySQL, XHTML, and CSS styling, making it easy to customize for your needs.Open Auto Classifieds is a free, open source vehicle classifieds manager. Intended to be easy to install and easy to administer. OAC is Based on open technologies such as PHP, MySQL, XHTML, and CSS styling, making it easy to customize for your needs.","Categories
Other/Nonlisted Topic, Content Management Systems (CMS)"
This program allows you to install Eclipse to any removable mass storage device. All settings are stored back onto the drive and no personal data is left behind.This program allows you to install Eclipse to any removable mass storage device. All settings are stored back onto the drive and no personal data is left behind.,"Categories
Other/Nonlisted Topic"
"A computer aided dispatch (CAD) solution aimed towards smaller entities that need to dispatch and keep track of resources. It was built with public safety in mind, but could be used for other applications as well. Google Maps provides a visual overview.A computer aided dispatch (CAD) solution aimed towards smaller entities that need to dispatch and keep track of resources. It was built with public safety in mind, but could be used for other applications as well. Google Maps provides a visual overview.","Categories
Other/Nonlisted Topic"
"NeoJournal is an offline, personal journalling/diary application written in VB.Net and C#.NeoJournal is an offline, personal journalling/diary application written in VB.Net and C#.","Categories
Text Editors, Other/Nonlisted Topic, To-Do Lists"
"Tea Timer is a virtual egg timer/alarm clock for Windows. Written in C#, it utilizes the .NET framework. Key features include: * Runs in tray. * Mulitple timers. * User defined presets. * Audible and visual alert. * Alarm mode. * Ability to pause timers.Tea Timer is a virtual egg timer/alarm clock for Windows. Written in C#, it utilizes the .NET framework. Key features include: * Runs in tray. * Mulitple timers. * User defined presets. * Audible and visual alert. * Alarm mode. * Ability to pause timers.","Categories
Other/Nonlisted Topic, Scheduling"
"CtrlSee is a clipboard manager. Better yet, Ctrl See makes is easy to pull recently copied text and images back into the clipboard for use. It works specifically with hotkeys and allows you to preview the clipboard items prior to selecting them.CtrlSee is a clipboard manager. Better yet, Ctrl See makes is easy to pull recently copied text and images back into the clipboard for use. It works specifically with hotkeys and allows you to preview the clipboard items prior to selecting them.","Categories
Other/Nonlisted Topic, Desktop Environment, Data Recovery, Clipboard Managers"
"MediaWiki is the collaborative editing software that runs Wikipedia, the free encyclopedia, and other projects. MediaWiki is no longer distributed via SourceForge, for downloads and other information please visit www.mediawiki.org.MediaWiki is the collaborative editing software that runs Wikipedia, the free encyclopedia, and other projects. MediaWiki is no longer distributed via SourceForge, for downloads and other information please visit www.mediawiki.org.","Categories
HTML/XHTML, Other/Nonlisted Topic, Front-Ends, Message Board, Education"
"PowerTalk automatically speaks Microsoft PowerPoint presentations. For presenters who find speaking difficult, audiences containing people with visual impairments and fun educational uses. Uses synthesised computer speech provided with WindowsPowerTalk automatically speaks Microsoft PowerPoint presentations. For presenters who find speaking difficult, audiences containing people with visual impairments and fun educational uses. Uses synthesised computer speech provided with Windows","Categories
Communications, Other/Nonlisted Topic, Bio-Informatics, Education"
"id3lib is/was a software library for reading, writing, and manipulating ID3v2 tags. Additionally it is possible to get some basic mp3 header information like bitrate etc.
However, we now recommend moving to taglib. https://taglib.org/id3lib is/was a software library for reading, writing, and manipulating ID3v2 tags. Additionally it is possible to get some basic mp3 header information like bitrate etc.
However, we now recommend moving to taglib. https://taglib.org/","Categories
Other/Nonlisted Topic, Software Development, Sound/Audio"
"Florence is an extensible scalable on-screen virtual keyboard for GNOME that stays out of your way when not needed. You need it if you can't use a real keyboard either because of a handicap, broken keyboard or tablet PC but you can use a pointing devide.Florence is an extensible scalable on-screen virtual keyboard for GNOME that stays out of your way when not needed. You need it if you can't use a real keyboard either because of a handicap, broken keyboard or tablet PC but you can use a pointing devide.","Categories
Other/Nonlisted Topic, GNOME, HMI"
"On-Screen Protractor is a simple java application that allows to measure an angle on the screen.
Originally the program was conceived to assess the angle between north and a given point on any map open on the screen, therefore the background of the application window is transparent and the angle is measured from the positive y-axis and clockwise. The application allows to move the origin of reference axes and to rotate the axes as needed.On-Screen Protractor is a simple java application that allows to measure an angle on the screen.
Originally the program was conceived to assess the angle between north and a given point on any map open on the screen, therefore the background of the application window is transparent and the angle is measured from the positive y-axis and clockwise. The application allows to move the origin of reference axes and to rotate the axes as needed.","Categories
Other/Nonlisted Topic"
Joomla! 1.5 weather moduleJoomla! 1.5 weather module,"Categories
Other/Nonlisted Topic"
UTAC is a Toolfor the TEMPer and TEMPerHum USB Thermometer / Hygrometer. The TEMPer is a small USB Stick who can read the Temperature / Humidity-UTAC is a Toolfor the TEMPer and TEMPerHum USB Thermometer / Hygrometer. The TEMPer is a small USB Stick who can read the Temperature / Humidity-,"Categories
Other/Nonlisted Topic, Desktop Environment, Scientific/Engineering"
A multiplayer RPG that connects as a psuedo server to an IRCD. Built in the tradition of old BBS Door games such as LORD (http://en.wikipedia.org/wiki/Legend_of_the_Red_Dragon). Forest fights add experience and gold needed to best your master (gain levelA multiplayer RPG that connects as a psuedo server to an IRCD. Built in the tradition of old BBS Door games such as LORD (http://en.wikipedia.org/wiki/Legend_of_the_Red_Dragon). Forest fights add experience and gold needed to best your master (gain level,"Categories
IRC Clients, BBS, Other/Nonlisted Topic, Turn Based Strategy, Role-Playing Games (RPG), Multi-User Dungeons (MUD)"
A Windows tray utility that toggles between your current layout and the Dvorak layout. Also includes stay on top layout display. Great for training and shared machines.A Windows tray utility that toggles between your current layout and the Dvorak layout. Also includes stay on top layout display. Great for training and shared machines.,"Categories
Other/Nonlisted Topic"
"An easy to use application to design your kitchen garden or your house farm. Helps you plan your plants ( vegetables, fruit trees, herbs, flowers ) so that it respects the rules of crop rotation and companion planting. Based on square foot gardening.

A fork of https://sourceforge.net/projects/kitchengarden. The windows installer contains all necessary files. A Linux and Mac package contains scripts and instructions to install the dependencies, and run KGA. If you download the jar directly, you must have Java 9+, including javafx. Oracle and OpenJDK java runtimes no longer include javaFX, and it must be separately installed. Alternatively https://www.azul.com/downloads/zulu-community/ is a JRE that provides a free 'JRE FX' installable that includes java and javafx. Installing it is the easiest way to run KGA on another OS.

Kitchen garden aid is primarily tested on java 15, with javafx 15 on windows. If you notice a bug, especially on another OS please report it so I can fix.An easy to use application to design your kitchen garden or your house farm. Helps you plan your plants ( vegetables, fruit trees, herbs, flowers ) so that it respects the rules of crop rotation and companion planting. Based on square foot gardening.

A fork of https://sourceforge.net/projects/kitchengarden. The windows installer contains all necessary files. A Linux and Mac package contains scripts and instructions to install the dependencies, and run KGA. If you download the jar directly, you must have Java 9+, including javafx. Oracle and OpenJDK java runtimes no longer include javaFX, and it must be separately installed. Alternatively https://www.azul.com/downloads/zulu-community/ is a JRE that provides a free 'JRE FX' installable that includes java and javafx. Installing it is the easiest way to run KGA on another OS.

Kitchen garden aid is primarily tested on java 15, with javafx 15 on windows. If you notice a bug, especially on another OS please report it so I can fix.","Categories
Other/Nonlisted Topic, Scientific/Engineering"
"GReortes 3 is a Greek personal calendar and religious holidays application for Linux 64bit OSs written in C !
Tested successfully on many popular distributions ( Ubuntu , Debian, MX Linux, Arch, Linux Mint , Fedora, KDE Neon , Kubuntu etc.)
Allows the user to keep a personal diary for which data can be searched anytime.
Details in Greek ....GReortes 3 is a Greek personal calendar and religious holidays application for Linux 64bit OSs written in C !
Tested successfully on many popular distributions ( Ubuntu , Debian, MX Linux, Arch, Linux Mint , Fedora, KDE Neon , Kubuntu etc.)
Allows the user to keep a personal diary for which data can be searched anytime.
Details in Greek ....","Categories
Other/Nonlisted Topic, Calendar, Religion and Philosophy"
"This software will help you to convert a .csv(Comma-Separated Values) files to .vcf(vCard 2.1) files. For example, you'll find it very helpful for transfering your contacts from old-types cell phones, wich can export it's phonebook to csv only, to newer ones or even smartphones, etc.
The latest version from now on has the ability of language selection. The built in languages are: English, Ukrainian and Russian. Besides, users can even make own translations now and store them into languages.ini file (I would appreciate if users will send me a new language sections for ini file, so I would be able to include them into release.).This software will help you to convert a .csv(Comma-Separated Values) files to .vcf(vCard 2.1) files. For example, you'll find it very helpful for transfering your contacts from old-types cell phones, wich can export it's phonebook to csv only, to newer ones or even smartphones, etc.
The latest version from now on has the ability of language selection. The built in languages are: English, Ukrainian and Russian. Besides, users can even make own translations now and store them into languages.ini file (I would appreciate if users will send me a new language sections for ini file, so I would be able to include them into release.).","Categories
Other/Nonlisted Topic, CSV"
