Description,Category
"EHR/EMR cross-platform software for the design, implementation and use of autonomous, open, database models for multilingual medical knowledge management systems from primary care to continuing care.EHR/EMR cross-platform software for the design, implementation and use of autonomous, open, database models for multilingual medical knowledge management systems from primary care to continuing care.","Categories
Database, Medical, Knowledge Management"
"R portable configures R to work with the PortableApps framework, so that R can be ran from a thumb drive or portable hard drive without leaving artifacts on the computer.R portable configures R to work with the PortableApps framework, so that R can be ran from a thumb drive or portable hard drive without leaving artifacts on the computer.","Categories
Statistics"
"Java Marine API is an NMEA 0183 library for Java.

For furher info and latest source code, see project's Github pages.

http://github.com/ktuukkan/marine-api/Java Marine API is an NMEA 0183 library for Java.

For furher info and latest source code, see project's Github pages.

http://github.com/ktuukkan/marine-api/","Categories
Data Formats, Libraries, GPS"
"Variant detection in massively parallel sequencing. For one sample, calls SNPs, indels, and consensus genotypes. For tumor-normal pairs, further classifies each variant as Germline, Somatic, or LOH, and also detects somatic copy number changes. THE LATEST VERSION IS AVAILABLE ON GITHUBVariant detection in massively parallel sequencing. For one sample, calls SNPs, indels, and consensus genotypes. For tumor-normal pairs, further classifies each variant as Germline, Somatic, or LOH, and also detects somatic copy number changes. THE LATEST VERSION IS AVAILABLE ON GITHUB","Categories
Bio-Informatics"
This is a simple BACnet Server aimed at developers who want to explore or test their BACnet Client implementations of the ASHRAE BACnet protocol. It is based on Steve Karg's fine implementation of the BACnet Stack.This is a simple BACnet Server aimed at developers who want to explore or test their BACnet Client implementations of the ASHRAE BACnet protocol. It is based on Steve Karg's fine implementation of the BACnet Stack.,"Categories
Data Formats, SCADA"
"A memory device programmer (Flash / EPROM / E2PROM) board and software, connected to PC by USB port. Placa e software para gravação de memórias (Flash / EPROM / E2PROM), conectada ao PC através de porta USB.A memory device programmer (Flash / EPROM / E2PROM) board and software, connected to PC by USB port. Placa e software para gravação de memórias (Flash / EPROM / E2PROM), conectada ao PC através de porta USB.","Categories
Hardware, Embedded Systems, Test and Measurement"
"asciiTeX is an ASCII equation renderer, i.e., it can generate ASCII-art representations of mathematical formula's. You can use asciiTeX to quickly insert equations in e.g. e-mails, in comments in your source-code, etc. The syntax is similar to LaTeXasciiTeX is an ASCII equation renderer, i.e., it can generate ASCII-art representations of mathematical formula's. You can use asciiTeX to quickly insert equations in e.g. e-mails, in comments in your source-code, etc. The syntax is similar to LaTeX","Categories
Scientific/Engineering"
Machine Learning framework in PythonMachine Learning framework in Python,"Categories
Machine Learning"
The tools in this package allow conversion of tracts from one CAMINO to TRACKVIS and vice versa in a very effective way with ability to handle over a million tracts.The tools in this package allow conversion of tracts from one CAMINO to TRACKVIS and vice versa in a very effective way with ability to handle over a million tracts.,"Categories
Interface Engine/Protocol Translator"
Msieve is a C library implementing a suite of algorithms to factor large integers. It contains an implementation of the SIQS and GNFS algorithms; the latter has helped complete some of the largest public factorizations knownMsieve is a C library implementing a suite of algorithms to factor large integers. It contains an implementation of the SIQS and GNFS algorithms; the latter has helped complete some of the largest public factorizations known,"Categories
Cryptography, Mathematics"
TML has moved to http://www.villalon.cl/tml.html and the code to https://github.com/villalon/tmlTML has moved to http://www.villalon.cl/tml.html and the code to https://github.com/villalon/tml,"Categories
Artificial Intelligence, Linguistics, Research"
