Description,Category
"[[We are in the progress of moving to github]]
Metalinks is a project to facilitate data distribution over mirrors and P2P networks. It does so by defining an XML format and the tools to handle these. The metalink files contain all the information needed to download and verify files.[[We are in the progress of moving to github]]
Metalinks is a project to facilitate data distribution over mirrors and P2P networks. It does so by defining an XML format and the tools to handle these. The metalink files contain all the information needed to download and verify files.","Categories
XML, File Sharing, Cryptography"
"MD5 Hash Calculator for VB6 (Module).
You can add the module to your project.MD5 Hash Calculator for VB6 (Module).
You can add the module to your project.","Categories
Cryptography, Hash Calculators"
Tool to automatically fire regular security scans with Nessus. Compare results of the current scan with the previous scan and report on the delta in a web interface. Main objective of the tool is to make repeated scans more efficient. Not affiliatedTool to automatically fire regular security scans with Nessus. Compare results of the current scan with the previous scan and report on the delta in a web interface. Main objective of the tool is to make repeated scans more efficient. Not affiliated,"Categories
Security"
"PyLoris is a scriptable tool for testing a server's vulnerability to connection exhaustion denial of service (DoS) attacks. PyLoris can utilize SOCKS proxies and SSL connections, and can target protocols such as HTTP, FTP, SMTP, IMAP, and Telnet.PyLoris is a scriptable tool for testing a server's vulnerability to connection exhaustion denial of service (DoS) attacks. PyLoris can utilize SOCKS proxies and SSL connections, and can target protocols such as HTTP, FTP, SMTP, IMAP, and Telnet.","Categories
Security, HTTP Servers, Performance Testing"
"srm (secure rm) is a command-line compatible rm(1) which overwrites file contents before unlinking. The goal is to provide drop in security for users who wish to prevent recovery of deleted information, even if the machine is compromised.srm (secure rm) is a command-line compatible rm(1) which overwrites file contents before unlinking. The goal is to provide drop in security for users who wish to prevent recovery of deleted information, even if the machine is compromised.","Categories
Security, Systems Administration"
"This project is devoted to provide a simple software layer for digital signature, when an hardware cryptographic token is required. The default implementation tries to comply as strictly as possible with the italian law digital signature directives.This project is devoted to provide a simple software layer for digital signature, when an hardware cryptographic token is required. The default implementation tries to comply as strictly as possible with the italian law digital signature directives.","Categories
Cryptography"
ZoneMinder is video and cctv surveillance and security application. It supports multiple video or IP cameras and a sophisticated motion detection system based around zones. Both live streams and historic events can be viewed via the web interface.ZoneMinder is video and cctv surveillance and security application. It supports multiple video or IP cameras and a sophisticated motion detection system based around zones. Both live streams and historic events can be viewed via the web interface.,"Categories
Security, Image Viewers, Capture"
DirBuster is a multi threaded java application designed to brute force directories and files names on web/application servers.DirBuster is a multi threaded java application designed to brute force directories and files names on web/application servers.,"Categories
Security, Software Testing"
The libSRTP project has been moved to https://github.com/cisco/libsrtpThe libSRTP project has been moved to https://github.com/cisco/libsrtp,"Categories
Internet Phone, Telephony, Cryptography, Networking"
uTorrent users can benefit from having naughty IP addresses removed from the torrent swarm.uTorrent users can benefit from having naughty IP addresses removed from the torrent swarm.,"Categories
BitTorrent, Security, Networking"
