Description,Category
"SimMetrics is a Similarity Metric Library, e.g. from edit distance's (Levenshtein, Gotoh, Jaro etc) to other metrics, (e.g Soundex, Chapman). Work provided by UK Sheffield University funded by (AKT) an IRC sponsored by EPSRC, grant number GR/N15764/01.SimMetrics is a Similarity Metric Library, e.g. from edit distance's (Levenshtein, Gotoh, Jaro etc) to other metrics, (e.g Soundex, Chapman). Work provided by UK Sheffield University funded by (AKT) an IRC sponsored by EPSRC, grant number GR/N15764/01.","Categories
Algorithms, Artificial Intelligence"
"The source code has been migrated and is now hosted on Github: https://github.com/jenetics/jenetics

Jenetics is an advanced Genetic Algorithm, Evolutionary Algorithm and Genetic Programming library, respectively, written in modern day Java. It is designed with a clear separation of the several algorithm concepts, e. g. Gene, Chromosome, Genotype, Phenotype, Population and fitness Function. Jenetics allows you to minimize or maximize the given fitness function without tweaking it. In contrast to other GA implementations, the library uses the concept of an evolution stream (EvolutionStream) for executing the evolution steps. Since the EvolutionStream implements the Java Stream interface, it works smoothly with the rest of the Java Stream API.

Other repositories:
- https://github.com/jenetics/jenetics

Maven:
- https://mvnrepository.com/artifact/io.jeneticsThe source code has been migrated and is now hosted on Github: https://github.com/jenetics/jenetics

Jenetics is an advanced Genetic Algorithm, Evolutionary Algorithm and Genetic Programming library, respectively, written in modern day Java. It is designed with a clear separation of the several algorithm concepts, e. g. Gene, Chromosome, Genotype, Phenotype, Population and fitness Function. Jenetics allows you to minimize or maximize the given fitness function without tweaking it. In contrast to other GA implementations, the library uses the concept of an evolution stream (EvolutionStream) for executing the evolution steps. Since the EvolutionStream implements the Java Stream interface, it works smoothly with the rest of the Java Stream API.

Other repositories:
- https://github.com/jenetics/jenetics

Maven:
- https://mvnrepository.com/artifact/io.jenetics","Categories
Genetic Algorithms, Bio-Informatics, Artificial Intelligence"
"Modbus RTU and TCP/IP slave simulator. For Testing, Training or Learning these protocols - includes an AllenBradley DF1 master and a slave mode.Modbus RTU and TCP/IP slave simulator. For Testing, Training or Learning these protocols - includes an AllenBradley DF1 master and a slave mode.","Categories
HMI, SCADA"
Biogenesis is an artificial life program that simulates the processes involved in the evolution of organisms. It shows colored segment based organisms that mutate and evolve in a 2D environment. Biogenesis is based on Primordial Life.Biogenesis is an artificial life program that simulates the processes involved in the evolution of organisms. It shows colored segment based organisms that mutate and evolve in a 2D environment. Biogenesis is based on Primordial Life.,"Categories
Simulation Games, Intelligent Agents, Education"
"A framework and runtime environment for exploring agent-based models designed to support the definition of models using an expressive, high-level and extensible Java API and to support the exploration of these models in both interactive and batch modA framework and runtime environment for exploring agent-based models designed to support the definition of models using an expressive, high-level and extensible Java API and to support the exploration of these models in both interactive and batch mod","Categories
Frameworks, Simulation"
"ANts P2P realizes a third generation P2P net. It protects your privacy while you are connected and makes you not trackable, hiding your identity (ip) and crypting everything you are sending/receiving from others.ANts P2P realizes a third generation P2P net. It protects your privacy while you are connected and makes you not trackable, hiding your identity (ip) and crypting everything you are sending/receiving from others.","Categories
File Sharing, Security, Intelligent Agents"
"Display, log and upload data to the internet from your Oregon Scientific or AcuRite 02032C weather station. The Arduino WxShield also supported. See project web site for FAQs. Use Open Discussion for support requests.Display, log and upload data to the internet from your Oregon Scientific or AcuRite 02032C weather station. The Arduino WxShield also supported. See project web site for FAQs. Use Open Discussion for support requests.","Categories
Interface Engine/Protocol Translator, Earth Sciences, Weather, Weather Station"
"Open source server for GPS trackers. It includes support for popular devices: TK101, TK102, TK103, TK201, TK202, TK203, TK206, GPS-103, GL100, GL200, AVL-05, AVL-08, Mini MT, GT30i, GT60, VT300, VT310, VT400, PST-AVL01, PT60, PT300X, PT30, MVT340, MVT380, MVT600, GT30, GT30X, MT80, GT200, GT300, GT500, Datamax, ST210, ST900, ST910 and many others. Application includes embedded web server to track devices on map.

Official web page: https://www.traccar.org/

Demo: https://www.traccar.org/demo-server/

Source code repository: https://github.com/tananaev/traccar

Issues tracker: https://github.com/tananaev/traccar/issuesOpen source server for GPS trackers. It includes support for popular devices: TK101, TK102, TK103, TK201, TK202, TK203, TK206, GPS-103, GL100, GL200, AVL-05, AVL-08, Mini MT, GT30i, GT60, VT300, VT310, VT400, PST-AVL01, PT60, PT300X, PT30, MVT340, MVT380, MVT600, GT30, GT30X, MT80, GT200, GT300, GT500, Datamax, ST210, ST900, ST910 and many others. Application includes embedded web server to track devices on map.

Official web page: https://www.traccar.org/

Demo: https://www.traccar.org/demo-server/

Source code repository: https://github.com/tananaev/traccar

Issues tracker: https://github.com/tananaev/traccar/issues","Categories
Mapping, GPS, GIS"
"TreeForm Syntax tree drawing software is a Linguistic Syntax/Semantics tree drawing editor. Designed for graphical n-ary tree drawing. Mac users can install the software through the new package, but must give authority through ""System Preferences"" > ""Security & Privacy"". Windows and Linux users can run the software through the JAR file directly. All users must have Java 8 or higher installed. https://java.com/en/download/TreeForm Syntax tree drawing software is a Linguistic Syntax/Semantics tree drawing editor. Designed for graphical n-ary tree drawing. Mac users can install the software through the new package, but must give authority through ""System Preferences"" > ""Security & Privacy"". Windows and Linux users can run the software through the JAR file directly. All users must have Java 8 or higher installed. https://java.com/en/download/","Categories
Data Visualization, Computer Aided Instruction (CAI)"
"Eagle Mode is a zoomable user interface (ZUI) with file manager, file viewers, games, and more.

This project is about a futuristic style of human-computer interaction, where the user can visit almost everything simply by zooming in. It features a portable C++ toolkit API for developing such ZUIs, and it features the Eagle Mode application, which provides a virtual cosmos with plugin applications.

The most important one is the professional file manager with its rich, scriptable command set. It integrates file viewers for most of the common file types, as well as an audio and video player. Furthermore, the virtual cosmos contains a chess game, a netwalk game, a 3D minesweeper game, a multi-function clock, a stock watchlist, some fractals, and a Linux kernel configurator in form of a kernel patch.Eagle Mode is a zoomable user interface (ZUI) with file manager, file viewers, games, and more.

This project is about a futuristic style of human-computer interaction, where the user can visit almost everything simply by zooming in. It features a portable C++ toolkit API for developing such ZUIs, and it features the Eagle Mode application, which provides a virtual cosmos with plugin applications.

The most important one is the professional file manager with its rich, scriptable command set. It integrates file viewers for most of the common file types, as well as an audio and video player. Furthermore, the virtual cosmos contains a chess game, a netwalk game, a 3D minesweeper game, a multi-function clock, a stock watchlist, some fractals, and a Linux kernel configurator in form of a kernel patch.","Categories
Board Games, Puzzle Games, User Interface (UI), File Managers, HMI, Media Players"
