Description,Category
NOTICE: Nulloy is not hosted on SourceForge anymore. Please visit http://nulloy.com to download the latest version.NOTICE: Nulloy is not hosted on SourceForge anymore. Please visit http://nulloy.com to download the latest version.,"Categories
Players, MP3, Audio Analysis"
"Hierarchical Approximate Convex Decomposition of 3D Meshes

Check out also the new V-HACD https://code.google.com/p/v-hacd/Hierarchical Approximate Convex Decomposition of 3D Meshes

Check out also the new V-HACD https://code.google.com/p/v-hacd/","Categories
Games/Entertainment, Graphics"
"DyrnwynConverter is a free video and audio converter. DyrnwynConverter is a GUI for the popular command line video and audio converter, FFmpeg. DyrnwynConverter is a modified version of WinFF 1.3.2 by Matthew WeatherfordDyrnwynConverter is a free video and audio converter. DyrnwynConverter is a GUI for the popular command line video and audio converter, FFmpeg. DyrnwynConverter is a modified version of WinFF 1.3.2 by Matthew Weatherford","Categories
Video Converters"
"JSTx is used for displaying overlay graphics and text on top of a Philips television, changing channels, receiving remote control keys and changing television display modes. It is a command line utility to execute jointSPACE commands on a device that supports the jointSPACE protocol for Philips televisions (see http://jointspace.sourceforge.net for details on jointSPACE, which is based on DirectFB).
It is used in various home automation/internet-of-things projects.
There are three versions: 0.23 for 2009/2010 Philips televisions (xxx5 en xxx4 series), 0.24 for 2011-2012 televisions (xxx6-xxx7) and 0.24_2013 for 2013-2014 televisions (xxx8-xxx9 (only non-Android)). New Android sets (2014+) do not come with Jointspace and are not supported. It works on Linux operating systems. A Raspberry-Pi version is also available.JSTx is used for displaying overlay graphics and text on top of a Philips television, changing channels, receiving remote control keys and changing television display modes. It is a command line utility to execute jointSPACE commands on a device that supports the jointSPACE protocol for Philips televisions (see http://jointspace.sourceforge.net for details on jointSPACE, which is based on DirectFB).
It is used in various home automation/internet-of-things projects.
There are three versions: 0.23 for 2009/2010 Philips televisions (xxx5 en xxx4 series), 0.24 for 2011-2012 televisions (xxx6-xxx7) and 0.24_2013 for 2013-2014 televisions (xxx8-xxx9 (only non-Android)). New Android sets (2014+) do not come with Jointspace and are not supported. It works on Linux operating systems. A Raspberry-Pi version is also available.","Categories
Presentation, Home Automation, IoT"
PHP class encapsulating manipulation with ICC profiles saved in JPEG images. Written in pure PHP without any 3rd party libraries and/or utilities.PHP class encapsulating manipulation with ICC profiles saved in JPEG images. Written in pure PHP without any 3rd party libraries and/or utilities.,"Categories
Libraries, Metadata Editors"
Face-following and facial expression detection based on OpenCV.Face-following and facial expression detection based on OpenCV.,"Categories
Realtime Processing"
"fiScanner - A (WIA) image scanner application for Windows Vista or greater, providing better scanning functionality than Windows Fax and Scan. Allows the output folder and (base) filename to be specified, and also allows for multiple scans at once.

Does not support Windows XP.fiScanner - A (WIA) image scanner application for Windows Vista or greater, providing better scanning functionality than Windows Fax and Scan. Allows the output folder and (base) filename to be specified, and also allows for multiple scans at once.

Does not support Windows XP.","Categories
Scanner"
"This is a nice Windows and Linux screenshot tool for make, edit, share and exchange screenshots between people via the internet. This tool oriented for QA testers, programmers, designers, sales managers, support centers and other people.This is a nice Windows and Linux screenshot tool for make, edit, share and exchange screenshots between people via the internet. This tool oriented for QA testers, programmers, designers, sales managers, support centers and other people.","Categories
Presentation, Screen Capture, Desktop Publishing"
A tool for finding missing or corrupt images in a sequence. Also generates basic statistics from Exif data. Targeting time-lapse and render-farm users when using post-processing tools such as After Effects.A tool for finding missing or corrupt images in a sequence. Also generates basic statistics from Exif data. Targeting time-lapse and render-farm users when using post-processing tools such as After Effects.,"Categories
3D Rendering, Digital Camera, Still Capture"
"osgXI is a general interface of GPU effects, resource managers, and game developing components. It also includes a NVIDIA CG module and an Autodesk Maya exporter for use. osgXI is based on the OpenSceneGraph project.osgXI is a general interface of GPU effects, resource managers, and game developing components. It also includes a NVIDIA CG module and an Autodesk Maya exporter for use. osgXI is based on the OpenSceneGraph project.","Categories
3D Rendering, Game Development Frameworks"
"The MangaStream Downloader is an open source application written in Java for managing and downloading manga from the site mangastream.com and mangafox.me. It is written under the GNU-GPL license and uses an open source HTML parser - TagSoup.

Follow the project page on Facebook for updates: https://www.facebook.com/MangastreamDownloaderThe MangaStream Downloader is an open source application written in Java for managing and downloading manga from the site mangastream.com and mangafox.me. It is written under the GNU-GPL license and uses an open source HTML parser - TagSoup.

Follow the project page on Facebook for updates: https://www.facebook.com/MangastreamDownloader","Categories
Search Engines, Multimedia"
New control application for your great VOX Tonelab ST device. Planned is to be able to control all settings you can set on the device in realtime from your pc! Also channel switching. Platform independent java project.New control application for your great VOX Tonelab ST device. Planned is to be able to control all settings you can set on the device in realtime from your pc! Also channel switching. Platform independent java project.,"Categories
MIDI"
