Description,Category
wview is a unix application for weather stations. It archives weather data from the station. Generates full html web sites with graphics. ftp/ssh export capability. MySQL/PostgreSQL archiving. International. Weather alarms. Data feed. RSS feed.wview is a unix application for weather stations. It archives weather data from the station. Generates full html web sites with graphics. ftp/ssh export capability. MySQL/PostgreSQL archiving. International. Weather alarms. Data feed. RSS feed.,"Categories
WWW/HTTP, Archiving, Information Analysis, Weather, Weather Station"
"Webminstats is a Webmin's module which display a graphical log of historic information. It's modular in design, as to be able to log everything from CPU usage to email box size.Webminstats is a Webmin's module which display a graphical log of historic information. It's modular in design, as to be able to log everything from CPU usage to email box size.","Categories
Systems Administration, Monitoring"
The PTP daemon (PTPd) implements the Precision Time protocol (PTP) as defined by the IEEE 1588 standard. PTP was developed to provide very precise time coordination of LAN connected computers. PTPd boasts an advanced set of features and is highly configurable.The PTP daemon (PTPd) implements the Precision Time protocol (PTP) as defined by the IEEE 1588 standard. PTP was developed to provide very precise time coordination of LAN connected computers. PTPd boasts an advanced set of features and is highly configurable.,"Categories
Other/Nonlisted Topic, System, Test and Measurement"
"Collectl is a light-weight performance monitoring tool capable of reporting interactively as well as logging to disk. It reports statistics on cpu, disk, infiniband, lustre, memory, network, nfs, process, quadrics, slabs and more in easy to read format.Collectl is a light-weight performance monitoring tool capable of reporting interactively as well as logging to disk. It reports statistics on cpu, disk, infiniband, lustre, memory, network, nfs, process, quadrics, slabs and more in easy to read format.","Categories
Software Testing, Systems Administration, Monitoring, Benchmark, Clustering, File Systems"
"RHash (Recursive Hasher) is a console utility for computing and verifying hash sums of files. It supports CRC32, CRC32C, MD4, MD5, SHA1, SHA256, SHA512, SHA3, AICH, ED2K, DC++ TTH, BTIH, Tiger, GOST R 34.11-2012, RIPEMD-160, HAS-160, EDON-R, and Whirlpool.RHash (Recursive Hasher) is a console utility for computing and verifying hash sums of files. It supports CRC32, CRC32C, MD4, MD5, SHA1, SHA256, SHA512, SHA3, AICH, ED2K, DC++ TTH, BTIH, Tiger, GOST R 34.11-2012, RIPEMD-160, HAS-160, EDON-R, and Whirlpool.","Categories
Cryptography, Algorithms, System"
Interleave is a business process management application. It enables you to model your business process and make it available online. It's meant to replace processes which currently rely on paper or spreadsheets and it has a good workflow engine.Interleave is a business process management application. It enables you to model your business process and make it available online. It's meant to replace processes which currently rely on paper or spreadsheets and it has a good workflow engine.,"Categories
Office/Business, Search Engines, Archiving, Systems Administration"
"eChanter is an Open Source electronic bagpipe project, based on the Arduino platform, using capacitive touch sensors, with polyphonic wavetable synthesis PCM audio at 8KHz. See Files for the development version, eChanter v3.0.eChanter is an Open Source electronic bagpipe project, based on the Arduino platform, using capacitive touch sensors, with polyphonic wavetable synthesis PCM audio at 8KHz. See Files for the development version, eChanter v3.0.","Categories
MIDI, Sound Synthesis, Embedded Systems"
The Saint Jude Project is a Project to develop Kernel-Level IDS mechinisms to protect the integrity of host systems.The Saint Jude Project is a Project to develop Kernel-Level IDS mechinisms to protect the integrity of host systems.,"Categories
Security, Operating System Kernels"
GLDirect is the utility package for Windows 95/98/Me/2000/XP that enables OpenGL based games and applications to access 3D hardware acceleration through the Direct3D drivers provided by your graphics hardware manufacturer.GLDirect is the utility package for Windows 95/98/Me/2000/XP that enables OpenGL based games and applications to access 3D hardware acceleration through the Direct3D drivers provided by your graphics hardware manufacturer.,"Categories
Hardware Drivers"
"cIPS is a robust TCP/IP stack for embedded devices.The cIPS library runs without an Operating System and is entirely abstract from any platform. However, it has been fully tested on the Xilinx Spartan 3E Starter Kit.cIPS is a robust TCP/IP stack for embedded devices.The cIPS library runs without an Operating System and is entirely abstract from any platform. However, it has been fully tested on the Xilinx Spartan 3E Starter Kit.","Categories
Streaming, Networking, Internet"
